Path	Group	Primary dataset	Total	ParkingZeroBias0	ParkingZeroBias1	ParkingZeroBias2	ParkingZeroBias3
HLT_Photon120_R9Id90_HE10_Iso40_EBOnly_PFMET40_v6	HIG	SinglePhoton	1	1	0	0	0
HLT_DiPFJetAve260_v4	JME	JetHT	1	0	0	0	1
HLT_Photon75_R9Id90_HE10_Iso40_EBOnly_VBF_v5	HIG	SinglePhoton	1	0	0	1	0
HLT_Photon90_R9Id90_HE10_IsoM_v6	SMP,SUSY	SinglePhoton	1	0	0	0	1
HLT_PFMET400_v3	PPD	MET	1	0	1	0	0
HLT_PFMET170_NotCleaned_v4	JME	MET	1	1	0	0	0
HLT_DiPFJetAve300_HFJEC_v5	FSQ,JME	JetHT	1	0	1	0	0
HLT_HT575_v3	EXO	DisplacedJet	1	0	0	1	0
HLT_DiPFJet40_DEta3p5_MJJ600_PFMETNoMu140_v2	HIG	HTMHT	1	0	0	0	1
HLT_Ele24_eta2p1_WPLoose_Gsf_v5	TAU,HIG	SingleElectron	1	0	1	0	0
HLT_PFMETTypeOne190_HBHE_BeamHaloCleaned_v1	JME	MET	1	0	0	1	0
HLT_L2Mu10_v2	Muon	SingleMuon	1	1	0	0	0
HLT_VBF_DisplacedJet40_DisplacedTrack_v3	EXO	DisplacedJet	1	0	0	0	1
HLT_TkMu27_v5	SMP	SingleMuon	1	0	0	0	1
HLT_Photon90_v6	EXO	SinglePhoton	1	0	0	0	1
HLT_MET250_v3	PPD	MET	1	0	1	0	0
HLT_PFHT475_v4	SUSY	JetHT	1	0	0	0	1
HLT_PFHT400_DiPFJetAve90_PFAlphaT0p52_v4	SUSY	HTMHT	1	1	0	0	0
HLT_DoubleJet90_Double30_DoubleBTagCSV_p087_v2	HIG	BTagCSV	1	0	0	0	1
HLT_DiCentralPFJet170_v2	EXO	JetHT	1	0	1	0	0
HLT_MET300_v3	PPD	MET	1	0	1	0	0
HLT_PFMET170_HBHE_BeamHaloCleaned_v1	JME	MET	1	0	0	1	0
HLT_Ele16_Ele12_Ele8_CaloIdL_TrackIdL_v6	HIG	DoubleEG	1	0	1	0	0
HLT_Mu50_IsoVVVL_PFHT400_v2	SUSY	SingleMuon	1	0	0	0	1
HLT_PFHT300_v4	SUSY	JetHT	1	0	1	0	0
HLT_L2DoubleMu28_NoVertex_2Cha_Angle2p5_Mass10_v4	EXO	DoubleMuon	1	0	0	1	0
HLT_Photon90_R9Id90_HE10_Iso40_EBOnly_VBF_v5	HIG	SinglePhoton	1	1	0	0	0
HLT_HT325_v3	EXO	DisplacedJet	1	0	0	0	1
HLT_HT350_DisplacedDijet80_Tight_DisplacedTrack_v4	EXO	DisplacedJet	0	0	0	0	0
HLT_DoubleMu23NoFiltersNoVtxDisplaced_v3	EXO	DoubleMuon	0	0	0	0	0
HLT_HcalCalibration_v2	AlCa/HCAL	TestEnablesEcalHcal	0	0	0	0	0
HLT_AK8PFJet140_v1	SMP	JetHT	0	0	0	0	0
HLT_Photon22_R9Id90_HE10_Iso40_EBOnly_PFMET40_v6	HIG	SinglePhoton	0	0	0	0	0
HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v3	BPH	Charmonium	0	0	0	0	0
HLT_Photon30_v6	SMP,EXO	SinglePhoton	0	0	0	0	0
HLT_CaloMHTNoPU90_PFMET90_PFMHT90_IDTight_v4	HIG	MET	0	0	0	0	0
HLT_HT200_DisplacedDijet40_DisplacedTrack_v3	EXO	DisplacedJet	0	0	0	0	0
HLT_HT500_DisplacedDijet40_Inclusive_v4	EXO	DisplacedJet	0	0	0	0	0
HLT_Mu20_Mu10_v3	HIG,SMP	DoubleMuon	0	0	0	0	0
HLT_Photon30_R9Id90_HE10_IsoM_v6	SMP,SUSY	SinglePhoton	0	0	0	0	0
HLT_DiPFJet40_DEta3p5_MJJ600_PFMETNoMu80_v2	HIG	HTMHT	0	0	0	0	0
HLT_DiPFJet15_NoCaloMatched_v2	FSQ	FSQJets	0	0	0	0	0
HLT_Mu17_v3	HIG,SUSY	DoubleMuon	0	0	0	0	0
HLT_FullTracks_Multiplicity100_v2	FSQ,HIN	HighMultiplicityEOF	0	0	0	0	0
HLT_HT425_v3	EXO	DisplacedJet	0	0	0	0	0
HLT_Mu17_TkMu8_DZ_v3	HIG,Muon,SMP	DoubleMuon	0	0	0	0	0
HLT_AK4PFJet100_v4	HIN	HINPFJets	0	0	0	0	0
HLT_Ele8_CaloIdL_TrackIdL_IsoVL_PFJet30_v4	SUSY	DoubleEG	0	0	0	0	0
HLT_PFHT200_PFAlphaT0p51_v4	SUSY	HTMHT	0	0	0	0	0
HLT_Mu28NoFiltersNoVtx_DisplacedJet40_Loose_v3	EXO	SingleMuon	0	0	0	0	0
HLT_Ele8_CaloIdM_TrackIdM_PFJet30_v6	SUSY	DoubleEG	0	0	0	0	0
HLT_Rsq0p30_v3	SUSY	HTMHT	0	0	0	0	0
HLT_AK4PFJet30_v4	HIN	HINPFJets	0	0	0	0	0
HLT_DiPFJetAve80_HFJEC_v5	FSQ,JME	JetHT	0	0	0	0	0
HLT_JetE30_NoBPTX3BX_v3	EXO	NoBPTX	0	0	0	0	0
HLT_PixelTracks_Multiplicity135ForEndOfFill_v3	FSQ,HIN	HighMultiplicityEOF	0	0	0	0	0
HLT_RsqMR240_Rsq0p09_MR200_v3	SUSY	HTMHT	0	0	0	0	0
HLT_Ele25_WPTight_Gsf_v5	EGM	SingleElectron	0	0	0	0	0
HLT_Mu8_TrkIsoVVL_v4	SUSY,Muon,HIG	DoubleMuon	0	0	0	0	0
HLT_PFHT650_4JetPt50_v3	EXO	JetHT	0	0	0	0	0
HLT_Ele10_CaloIdM_TrackIdM_CentralPFJet30_BTagCSV_p13_v4	SUSY	DoubleEG	0	0	0	0	0
HLT_TkMu20_v4	SMP	SingleMuon	0	0	0	0	0
HLT_IsoMu20_v4	SMP,Muon,HIG,TOP,AlCa/TRK	SingleMuon	0	0	0	0	0
HLT_TrkMu17_DoubleTrkMu8NoFiltersNoVtx_v4	EXO	DoubleMuon	0	0	0	0	0
HLT_TripleMu_12_10_5_v3	HIG,SMP	DoubleMuon	0	0	0	0	0
HLT_DoubleEle8_CaloIdM_TrackIdM_Mass8_PFHT250_v4	SUSY	DoubleEG	0	0	0	0	0
HLT_Ele23_Ele12_CaloIdL_TrackIdL_IsoVL_DZ_L1JetTauSeeded_v1	HIG	DoubleEG	0	0	0	0	0
HLT_AK4CaloJet30_v4	HIN	HINCaloJets	0	0	0	0	0
HLT_Mu28NoFiltersNoVtx_CentralCaloJet40_v3	EXO	SingleMuon	0	0	0	0	0
HLT_Ele25_eta2p1_WPLoose_Gsf_v5	EGM	SingleElectron	0	0	0	0	0
HLT_Photon22_R9Id90_HE10_Iso40_EBOnly_VBF_v5	HIG	SinglePhoton	0	0	0	0	0
HLT_MET60_IsoTrk35_Loose_v2	EXO	MET	0	0	0	0	0
HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq460_v2	HIG	BTagCSV	0	0	0	0	0
HLT_Mu12_Photon25_CaloIdL_v6	HIG	MuonEG	0	0	0	0	0
HLT_DiPFJetAve140_v4	JME	JetHT	0	0	0	0	0
HLT_IsoMu17_eta2p1_LooseIsoPFTau20_SingleL1_v5	TAU,HIG	SingleMuon	0	0	0	0	0
HLT_L2DoubleMu38_NoVertex_2Cha_Angle2p5_Mass10_v4	EXO	DoubleMuon	0	0	0	0	0
HLT_Mu27_Ele37_CaloIdL_GsfTrkIdVL_v3	B2G,SUSY	MuonEG	0	0	0	0	0
HLT_HT400_DisplacedDijet40_Inclusive_v4	EXO	DisplacedJet	0	0	0	0	0
HLT_Mu17_Mu8_v3	HIG,Muon,SMP	DoubleMuon	0	0	0	0	0
HLT_DiPFJetAve35_HFJEC_v3	JME	FSQJets	0	0	0	0	0
HLT_Dimuon10_Jpsi_Barrel_v4	BPH	Charmonium	0	0	0	0	0
HLT_Ele23_WPLoose_Gsf_WHbbBoost_v6	HIG	SingleElectron	0	0	0	0	0
HLT_Mu8_TrkIsoVVL_Ele17_CaloIdL_TrackIdL_IsoVL_v6	HIG,TOP,B2G,SUSY	MuonEG	0	0	0	0	0
HLT_AK8PFJet80_v1	SMP	JetHT	0	0	0	0	0
HLT_Ele22_eta2p1_WPLoose_Gsf_v7	TAU,HIG	SingleElectron	0	0	0	0	0
HLT_AK8PFJet60_v1	SMP	JetHT	0	0	0	0	0
HLT_DiPFJet15_FBEta3_NoCaloMatched_v3	FSQ	FSQJets	0	0	0	0	0
HLT_DiPFJet25_NoCaloMatched_v2	FSQ	FSQJets	0	0	0	0	0
HLT_HT275_v3	EXO	DisplacedJet	0	0	0	0	0
HLT_L1MinimumBiasHF_OR_v2	FSQ,HIN	L1MinimumBias	0	0	0	0	0
HLT_AK4PFJet80_v4	HIN	HINPFJets	0	0	0	0	0
HLT_SingleCentralPFJet170_CFMax0p1_v2	EXO	JetHT	0	0	0	0	0
HLT_HT2500_v3	PPD	JetHT	0	0	0	0	0
HLT_AK8PFJet200_v1	SMP	JetHT	0	0	0	0	0
HLT_MET700_v3	PPD,AlCa	MET	0	0	0	0	0
HLT_QuadPFJet_VBF_v5	HIG	JetHT	0	0	0	0	0
HLT_DiPFJetAve100_HFJEC_v5	FSQ,JME	JetHT	0	0	0	0	0
HLT_Ele23_CaloIdL_TrackIdL_IsoVL_v6	HIG	DoubleEG	0	0	0	0	0
HLT_AK8PFHT600_TrimR0p1PT0p03Mass50_BTagCSV_p20_v3	B2G	JetHT	0	0	0	0	0
HLT_DoubleEle33_CaloIdL_MW_v5	EXO	DoubleEG	0	0	0	0	0
HLT_Mu8_Ele8_CaloIdM_TrackIdM_Mass8_PFHT250_v4	SUSY	MuonEG	0	0	0	0	0
HLT_QuadMuon0_Dimuon0_Jpsi_v3	BPH	Charmonium	0	0	0	0	0
HLT_AK8PFJet40_v2	SMP	JetHT	0	0	0	0	0
HLT_VBF_DisplacedJet40_TightID_DisplacedTrack_v3	EXO	DisplacedJet	0	0	0	0	0
HLT_PixelTracks_Multiplicity160ForEndOfFill_v3	FSQ,HIN	HighMultiplicityEOF	0	0	0	0	0
HLT_HISinglePhoton15_v3	HIN	HINPhoton	0	0	0	0	0
HLT_Ele23_CaloIdM_TrackIdM_PFJet30_v6	SUSY	DoubleEG	0	0	0	0	0
HLT_Ele17_CaloIdL_GsfTrkIdVL_v4	B2G	DoubleEG	0	0	0	0	0
HLT_PFTau120_eta2p1_v2	TAU	Tau	0	0	0	0	0
HLT_JetE30_NoBPTX_v3	EXO	NoBPTX	0	0	0	0	0
HLT_QuadPFJet_BTagCSV_p016_p11_VBF_Mqq200_v2	HIG	BTagCSV	0	0	0	0	0
HLT_DoubleMu28NoFiltersNoVtxDisplaced_v3	EXO	DoubleMuon	0	0	0	0	0
HLT_L1SingleMu18_v1	Muon	SingleMuon	0	0	0	0	0
HLT_PixelTracks_Multiplicity85ForEndOfFill_v2	FSQ,HIN	HighMultiplicity85EOF	0	0	0	0	0
HLT_PFJet80_v5	SMP,BTV	JetHT	0	0	0	0	0
HLT_JetE70_NoBPTX3BX_v2	EXO	NoBPTX	0	0	0	0	0
HLT_L2Mu10_NoVertex_NoBPTX_v3	EXO	NoBPTX	0	0	0	0	0
HLT_PixelTracks_Multiplicity110ForEndOfFill_v3	FSQ,HIN	HighMultiplicityEOF	0	0	0	0	0
HLT_Mu16_TkMu0_dEta18_Onia_v3	BPH	MuOnia	0	0	0	0	0
HLT_DiPFJetAve200_v4	JME	JetHT	0	0	0	0	0
HLT_BTagMu_DiJet40_Mu5_v3	BTV	BTagMu	0	0	0	0	0
HLT_PFHT250_v3	SUSY	JetHT	0	0	0	0	0
HLT_PFMETNoMu90_PFMHTNoMu90_IDTight_v4	HIG,EXO,SUSY	MET	0	0	0	0	0
HLT_Dimuon8_PsiPrime_Barrel_v4	BPH	Charmonium	0	0	0	0	0
HLT_DiPFJet25_FBEta3_NoCaloMatched_v3	FSQ	FSQJets	0	0	0	0	0
HLT_Mu7p5_Track7_Jpsi_v3	BPH	Charmonium	0	0	0	0	0
HLT_Photon500_v5	PPD	SinglePhoton	0	0	0	0	0
HLT_AK4CaloJet100_v3	HIN	HINCaloJets	0	0	0	0	0
HLT_Mu16_TkMu0_dEta18_Phi_v3	BPH	MuOnia	0	0	0	0	0
HLT_Ele15_IsoVVVL_BTagCSV_p067_PFHT400_v4	SUSY	SingleElectron	0	0	0	0	0
HLT_L1NotBptxOR_v2	FSQ	EmptyBX	0	0	0	0	0
HLT_AK4PFJet50_v4	HIN	HINPFJets	0	0	0	0	0
HLT_BTagMu_DiJet20_Mu5_v3	BTV	BTagMu	0	0	0	0	0
HLT_BTagMu_DiJet70_Mu5_v3	BTV	BTagMu	0	0	0	0	0
HLT_DiPFJetAve80_v4	JME	JetHT	0	0	0	0	0
HLT_Photon36_R9Id90_HE10_IsoM_v6	SMP,SUSY	SinglePhoton	0	0	0	0	0
HLT_Photon50_v6	SMP,EXO	SinglePhoton	0	0	0	0	0
HLT_IsoTrackHE_v2	AlCa/HCAL	Commissioning	0	0	0	0	0
HLT_Ele17_Ele12_CaloIdL_TrackIdL_IsoVL_DZ_v7	HIG,SUSY,SMP,AlCa/EGM	DoubleEG	0	0	0	0	0
HLT_Ele30WP60_Ele8_Mass55_v6	EGM	DoubleEG	0	0	0	0	0
HLT_Ele12_CaloIdL_TrackIdL_IsoVL_v6	HIG	DoubleEG	0	0	0	0	0
HLT_PFMET90_PFMHT90_IDTight_v4	HIG,SUSY	MET	0	0	0	0	0
HLT_PFJet15_NoCaloMatched_v4	FSQ	FSQJets	0	0	0	0	0
HLT_Mu7p5_Track2_Upsilon_v3	BPH	MuOnia	0	0	0	0	0
HLT_Mu10_TrkIsoVVL_DiPFJet40_DEta3p5_MJJ750_HTT350_PFMETNoMu60_v2	SUSY	SingleMuon	0	0	0	0	0
HLT_TrkMu15_DoubleTrkMu5NoFiltersNoVtx_v4	EXO	DoubleMuon	0	0	0	0	0
HLT_Mu33NoFiltersNoVtxDisplaced_DisplacedJet50_Loose_v3	EXO	SingleMuon	0	0	0	0	0
HLT_HISinglePhoton60_v3	HIN	HINPhoton	0	0	0	0	0
HLT_Ele30WP60_SC4_Mass55_v7	EGM	DoubleEG	0	0	0	0	0
HLT_DiPFJetAve15_HFJEC_v3	JME	FSQJets	0	0	0	0	0
HLT_Mu15_IsoVVVL_PFHT350_PFMET50_v4	SUSY	SingleMuon	0	0	0	0	0
HLT_Ele15_IsoVVVL_PFHT350_v5	SUSY	SingleElectron	0	0	0	0	0
HLT_JetE50_NoBPTX3BX_v2	EXO	NoBPTX	0	0	0	0	0
HLT_PFJet60_v6	SMP,BTV	JetHT	0	0	0	0	0
HLT_L1_TripleJet_VBF_v5	HIG	JetHT	0	0	0	0	0
HLT_MET600_v3	PPD,AlCa	MET	0	0	0	0	0
HLT_Photon90_R9Id90_HE10_Iso40_EBOnly_PFMET40_v6	HIG	SinglePhoton	0	0	0	0	0
HLT_VBF_DisplacedJet40_VVTightID_DisplacedTrack_v3	EXO	DisplacedJet	0	0	0	0	0
HLT_IsoTkMu20_v6	SMP,Muon,HIG,TOP	SingleMuon	0	0	0	0	0
HLT_Mu3_PFJet40_v3	HIG	DoubleMuon	0	0	0	0	0
HLT_Mu7p5_L2Mu2_Jpsi_v3	BPH	Charmonium	0	0	0	0	0
HLT_Mu33NoFiltersNoVtxDisplaced_DisplacedJet50_Tight_v3	EXO	SingleMuon	0	0	0	0	0
HLT_FullTracks_Multiplicity80_v2	FSQ,HIN	HighMultiplicityEOF	0	0	0	0	0
HLT_Mu12_Photon25_CaloIdL_L1ISO_v6	HIG	MuonEG	0	0	0	0	0
HLT_Ele35_CaloIdVT_GsfTrkIdT_PFJet150_PFJet50_v4	B2G	SingleElectron	0	0	0	0	0
HLT_Ele23_CaloIdL_TrackIdL_IsoVL_PFJet30_v6	SUSY	DoubleEG	0	0	0	0	0
HLT_HISinglePhoton10_v3	HIN	HINPhoton	0	0	0	0	0
HLT_MonoCentralPFJet80_PFMETNoMu90_PFMHTNoMu90_IDTight_v4	EXO	MET	0	0	0	0	0
HLT_ECALHT800_v4	EXO	DoubleEG	0	0	0	0	0
HLT_Mu7p5_Track2_Jpsi_v3	BPH	Charmonium	0	0	0	0	0
HLT_IsoMu21_eta2p1_MediumIsoPFTau32_Trk1_eta2p1_Reg_v2	TAU,HIG	SingleMuon	0	0	0	0	0
HLT_ZeroBias_IsolatedBunches_v3	AlCa/TRK	ZeroBias	0	0	0	0	0
HLT_ZeroBias_FirstCollisionAfterAbortGap_copy_v1	AlCa/TRK	ZeroBias	0	0	0	0	0
HLT_Mu8_v4	SUSY,HIG	DoubleMuon	0	0	0	0	0
HLT_IsoTrackHB_v2	AlCa/HCAL	Commissioning	0	0	0	0	0
HLT_Mu20_v3	SMP	SingleMuon	0	0	0	0	0
HLT_Photon75_v6	EXO	SinglePhoton	0	0	0	0	0
HLT_Dimuon6_Jpsi_NoVertexing_v3	BPH	Charmonium	0	0	0	0	0
HLT_Mu7p5_Track7_Upsilon_v3	BPH	MuOnia	0	0	0	0	0
HLT_L1SingleMuOpen_v3	null	SingleMuon	0	0	0	0	0
HLT_DiPFJetAve160_HFJEC_v5	FSQ,JME	JetHT	0	0	0	0	0
HLT_Ele23_WPLoose_Gsf_v7	EGM,TOP,SMP,HIG	SingleElectron	0	0	0	0	0
HLT_Random_v2	AlCa/TRK	ZeroBias	0	0	0	0	0
HLT_PFJet140_v5	SMP,BTV	JetHT	0	0	0	0	0
HLT_HT200_v3	EXO	DisplacedJet	0	0	0	0	0
HLT_HT550_DisplacedDijet80_Inclusive_v1	EXO	DisplacedJet	0	0	0	0	0
HLT_LooseIsoPFTau50_Trk30_eta2p1_MET80_v2	TAU,HIG,EXO	Tau	0	0	0	0	0
HLT_FullTracks_Multiplicity130_v2	FSQ,HIN	HighMultiplicityEOF	0	0	0	0	0
HLT_Mu27_TkMu8_v3	EXO	DoubleMuon	0	0	0	0	0
HLT_DiPFJetAve60_HFJEC_v5	FSQ,JME	JetHT	0	0	0	0	0
HLT_QuadMuon0_Dimuon0_Upsilon_v3	BPH	MuOnia	0	0	0	0	0
HLT_MET90_IsoTrk50_v4	EXO	MET	0	0	0	0	0
HLT_HISinglePhoton20_v3	HIN	HINPhoton	0	0	0	0	0
HLT_Mu17_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v6	HIG	MuonEG	0	0	0	0	0
HLT_BTagMu_DiJet110_Mu5_v3	BTV	BTagMu	0	0	0	0	0
HLT_PFHT350_v5	SUSY	JetHT	0	0	0	0	0
HLT_Ele17_CaloIdL_TrackIdL_IsoVL_PFJet30_v4	SUSY	DoubleEG	0	0	0	0	0
HLT_ZeroBias_FirstCollisionAfterAbortGap_v3	AlCa/TRK	ZeroBias	0	0	0	0	0
HLT_L1BeamGasPlus_v2	null	Commissioning	0	0	0	0	0
HLT_Ele17_CaloIdM_TrackIdM_PFJet30_v4	SUSY	DoubleEG	0	0	0	0	0
HLT_L1BptxMinus_v2	FSQ	EmptyBX	0	0	0	0	0
HLT_Rsq0p02_MR300_TriPFJet80_60_40_BTagCSV_p063_p20_Mbb60_200_v2	SUSY	BTagCSV	0	0	0	0	0
HLT_Ele12_CaloIdL_TrackIdL_IsoVL_PFJet30_v6	SUSY	DoubleEG	0	0	0	0	0
HLT_Mu30_eta2p1_PFJet150_PFJet50_v2	B2G	SingleMuon	0	0	0	0	0
HLT_DoubleMu8_Mass8_PFHT250_v3	SUSY	DoubleMuon	0	0	0	0	0
HLT_Ele27_WPLoose_Gsf_v5	EGM,TOP,SMP,HIG	SingleElectron	0	0	0	0	0
HLT_HT250_DisplacedDijet40_DisplacedTrack_v4	EXO	DisplacedJet	0	0	0	0	0
HLT_QuadJet45_DoubleBTagCSV_p087_v3	HIG	BTagCSV	0	0	0	0	0
HLT_Photon36_R9Id90_HE10_Iso40_EBOnly_PFMET40_v6	HIG	SinglePhoton	0	0	0	0	0
HLT_HcalPhiSym_v3	AlCa/HCAL	HcalNZS	0	0	0	0	0
HLT_MET75_IsoTrk50_v4	EXO	MET	0	0	0	0	0
HLT_Ele12_CaloIdM_TrackIdM_PFJet30_v6	SUSY	DoubleEG	0	0	0	0	0
HLT_Ele250_CaloIdVT_GsfTrkIdT_v5	AlCa	SingleElectron	0	0	0	0	0
HLT_Ele17_CaloIdL_TrackIdL_IsoVL_v5	HIG	DoubleEG	0	0	0	0	0
HLT_VBF_DisplacedJet40_TightID_Hadronic_v3	EXO	DisplacedJet	0	0	0	0	0
HLT_Mu7p5_L2Mu2_Upsilon_v3	BPH	MuOnia	0	0	0	0	0
HLT_L1SingleMuOpen_DT_v3	null	Commissioning	0	0	0	0	0
HLT_Mu20_Mu10_DZ_v3	HIG,SMP	DoubleMuon	0	0	0	0	0
HLT_DiPFJetAve25_HFJEC_v3	JME	FSQJets	0	0	0	0	0
HLT_Mu20_Mu10_SameSign_DZ_v3	HIG	DoubleMuon	0	0	0	0	0
HLT_Mu15_IsoVVVL_BTagCSV_p067_PFHT400_v3	SUSY	SingleMuon	0	0	0	0	0
HLT_FullTracks_Multiplicity150_v2	FSQ,HIN	HighMultiplicityEOF	0	0	0	0	0
HLT_L2Mu40_NoVertex_3Sta_NoBPTX3BX_v2	EXO	NoBPTX	0	0	0	0	0
HLT_Dimuon0_Phi_Barrel_v4	BPH	MuOnia	0	0	0	0	0
HLT_L2Mu35_NoVertex_3Sta_NoBPTX3BX_v2	EXO	NoBPTX	0	0	0	0	0
HLT_ZeroBias_FirstCollisionAfterAbortGap_TCDS_v1	AlCa/TRK	ZeroBias	0	0	0	0	0
HLT_AK4CaloJet40_v3	HIN	HINCaloJets	0	0	0	0	0
HLT_PFJet40_v6	SMP,BTV	JetHT	0	0	0	0	0
HLT_DoubleEle33_CaloIdL_v5	EXO	DoubleEG	0	0	0	0	0
HLT_DiPFJetAve40_v5	JME	JetHT	0	0	0	0	0
HLT_AK8DiPFJet250_200_TrimMass30_BTagCSV_p20_v2	B2G	JetHT	0	0	0	0	0
HLT_L2DoubleMu23_NoVertex_v4	EXO	DoubleMuon	0	0	0	0	0
HLT_PFHT200_DiPFJetAve90_PFAlphaT0p57_v4	SUSY	HTMHT	0	0	0	0	0
HLT_AK4CaloJet80_v3	HIN	HINCaloJets	0	0	0	0	0
HLT_HT550_DisplacedDijet40_Inclusive_v4	EXO	DisplacedJet	0	0	0	0	0
HLT_Photon36_v6	SMP,EXO	SinglePhoton	0	0	0	0	0
HLT_HISinglePhoton40_v3	HIN	HINPhoton	0	0	0	0	0
HLT_PFJet25_NoCaloMatched_v2	FSQ	FSQJets	0	0	0	0	0
HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v4	B2G	JetHT	0	0	0	0	0
HLT_GlobalRunHPDNoise_v4	AlCa/HCAL	HcalHPDNoise	0	0	0	0	0
HLT_PFJet200_v5	SMP,BTV	JetHT	0	0	0	0	0
HLT_PFHT125_v2	SUSY	JetHT	0	0	0	0	0
HLT_IsoMu19_eta2p1_MediumIsoPFTau32_Trk1_eta2p1_Reg_v2	TAU,HIG	SingleMuon	0	0	0	0	0
HLT_ZeroBias_v4	AlCa/TRK	ZeroBias	0	0	0	0	0
HLT_AK4CaloJet50_v3	HIN	HINCaloJets	0	0	0	0	0
HLT_PixelTracks_Multiplicity60ForEndOfFill_v2	FSQ,HIN	HighMultiplicityEOF	0	0	0	0	0
HLT_EcalCalibration_v3	AlCa/ECAL	TestEnablesEcalHcal,EcalLaser	0	0	0	0	0
HLT_IsoMu18_v3	SMP,TOP,HIG,Muon	SingleMuon	0	0	0	0	0
HLT_Mu10_CentralPFJet30_BTagCSV_p13_v2	SUSY	DoubleMuon	0	0	0	0	0
HLT_HT2000_v3	PPD	JetHT	0	0	0	0	0
HLT_L1BeamGasMinus_v2	null	Commissioning	0	0	0	0	0
HLT_HcalNZS_v3	AlCa/HCAL	HcalNZS	0	0	0	0	0
HLT_PFMET500_v3	PPD,AlCa	MET	0	0	0	0	0
HLT_PFMET600_v3	PPD,AlCa	MET	0	0	0	0	0
HLT_Ele15_IsoVVVL_PFHT350_PFMET50_v5	SUSY	SingleElectron	0	0	0	0	0
HLT_Mu17_Mu8_DZ_v4	HIG,Muon,SMP	DoubleMuon	0	0	0	0	0
HLT_Mu350_v2	PPD	SingleMuon	0	0	0	0	0
HLT_Ele35_WPLoose_Gsf_v5	EGM,HIG,SMP	SingleElectron	0	0	0	0	0
HLT_Photon22_R9Id90_HE10_IsoM_v5	SMP,SUSY	SinglePhoton	0	0	0	0	0
HLT_Photon22_v5	SMP,EXO	SinglePhoton	0	0	0	0	0
HLT_IsoTkMu18_v4	SMP,Muon,HIG	SingleMuon	0	0	0	0	0
HLT_Mu27_v4	SMP	SingleMuon	0	0	0	0	0
HLT_L1BptxPlus_v2	FSQ	EmptyBX	0	0	0	0	0
HLT_Ele27_eta2p1_WPLoose_Gsf_DoubleMediumIsoPFTau40_Trk1_eta2p1_Reg_v7	TAU,HIG,EXO	SingleElectron	0	0	0	0	0
HLT_L1MinimumBiasHF_AND_v2	FSQ,HIN	L1MinimumBias	0	0	0	0	0
HLT_Mu7p5_Track3p5_Upsilon_v3	BPH	MuOnia	0	0	0	0	0
HLT_L1BptxXOR_v2	null	Commissioning	0	0	0	0	0
HLT_Ele300_CaloIdVT_GsfTrkIdT_v5	AlCa	SingleElectron	0	0	0	0	0
HLT_AK8DiPFJet250_200_TrimMass30_v2	B2G	JetHT	0	0	0	0	0
HLT_Photon600_v5	PPD	SinglePhoton	0	0	0	0	0
HLT_DiPFJetAve60_v5	JME	JetHT	0	0	0	0	0
HLT_Mu15_IsoVVVL_PFHT350_v4	SUSY	SingleMuon	0	0	0	0	0
HLT_L2Mu10_NoVertex_NoBPTX3BX_v2	EXO	NoBPTX	0	0	0	0	0
HLT_VBF_DisplacedJet40_VTightID_DisplacedTrack_v3	EXO	DisplacedJet	0	0	0	0	0
HLT_Mu7p5_Track3p5_Jpsi_v3	BPH	Charmonium	0	0	0	0	0
HLT_Mu17_TrkIsoVVL_v3	HIG,Muon,SUSY	DoubleMuon	0	0	0	0	0
HLT_Photon26_R9Id85_OR_CaloId24b40e_Iso50T80L_Photon16_AND_HE10_R9Id65_Eta2_Mass60_v6	EXO	DoubleEG	0	0	0	0	0
HLT_Dimuon16_Jpsi_v3	BPH	Charmonium	0	0	0	0	0
HLT_IsoMu17_eta2p1_LooseIsoPFTau20_v5	TAU,HIG	SingleMuon	0	0	0	0	0
HLT_DoubleMu18NoFiltersNoVtx_v3	EXO	DoubleMuon	0	0	0	0	0
HLT_LooseIsoPFTau50_Trk30_eta2p1_v4	HIG,TAU,EXO	Tau	0	0	0	0	0
HLT_Mu23NoFiltersNoVtx_Photon23_CaloIdL_v5	EXO	MuonEG	0	0	0	0	0
HLT_PFHT200_v3	SUSY	JetHT	0	0	0	0	0
