Prescale	Path	Dataset	Group		Total	HLTPhysics0	HLTPhysics1	
-1	HLT_Dimuon6_Jpsi_NoVertexing_v3	BPH	OnlineMonitor,Charmonium		21.0	11.0	10.0
-1	HLT_AK4CaloJet100_v3	HIN	OnlineMonitor,HINCaloJets		0.0	0.0	0.0
-1	HLT_Ele25_WPTight_Gsf_v6	EGM	OnlineMonitor,SingleElectron		0.0	0.0	0.0
-1	HLT_PFHT650_4JetPt50_v4	EXO	OnlineMonitor,JetHT		14.0	7.0	7.0
-1	HLT_Ele45_WPLoose_Gsf_v6	EGM	OnlineMonitor,SingleElectron		560.0	288.0	272.0
-1	HLT_Ele10_CaloIdM_TrackIdM_CentralPFJet30_BTagCSV_p13_v5	null	OnlineMonitor,DoubleEG		14.0	7.0	7.0
-1	HLT_Photon75_R9Id90_HE10_Iso40_EBOnly_PFMET40_v7	HIG	OnlineMonitor,SinglePhoton		14.0	7.0	7.0
-1	HLT_TkMu20_v4	SMP	OnlineMonitor,SingleMuon		13.0	8.0	5.0
-1	HLT_IsoMu21_eta2p1_LooseIsoPFTau20_SingleL1_v3	TAU,HIG	OnlineMonitor,SingleMuon		108.0	54.0	54.0
-1	HLT_IsoMu20_v4	SMP,MUO	OnlineMonitor,ExpressPhysics,SingleMuon		0.0	0.0	0.0
-1	HLT_Mu8_TrkIsoVVL_DiPFJet40_DEta3p5_MJJ750_HTT300_PFMETNoMu60_v2	null	OnlineMonitor,SingleMuon		5.0	1.0	4.0
-1	HLT_TrkMu17_DoubleTrkMu8NoFiltersNoVtx_v4	EXO PAG	OnlineMonitor,DoubleMuon		12.0	6.0	6.0
-1	HLT_TripleMu_12_10_5_v3	HIG	OnlineMonitor,DoubleMuon		24.0	12.0	12.0
-1	HLT_DoubleEle8_CaloIdM_TrackIdM_Mass8_PFHT250_v5	null	OnlineMonitor,DoubleEG		0.0	0.0	0.0
-1	HLT_Physics_v4	null	OnlineMonitor,ExpressPhysics,HLTPhysics		15728.0	7699.0	8029.0
-1	HLT_LooseIsoPFTau50_Trk30_eta2p1_MET120_v3	HIG,TAU. EXO	OnlineMonitor,Tau		36.0	18.0	18.0
-1	HLT_Mu15_IsoVVVL_PFHT400_PFMET50_v3	SUS	OnlineMonitor,SingleMuon		29.0	14.0	15.0
