Path,Group,Dataset,L1Path,L1Prescale(9.5e33),Steam L1path,Steam L1Prescale,WBM hltPrescale(9.5e33),Steam hltPrescale,Wbm Count,Steam Count,,Data Rate (Hz),,,Steam Rate (Hz),,abs(Data-Steam)(Hz),,Bias : (data-steam)/max(data;steam),,Pull
HLT_PFHT750_4JetPt50,"EXO","OnlineMonitor,JetHT",L1_HTT160||L1_HTT200||L1_HTT220||L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320,7500||0||5000||0||1||1||1||1||1,L1_HTT160||L1_HTT200||L1_HTT220||L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320,9500||0||6500||0||0||0||1||1||1,1,1,98823,242,18.59000,+/-,0.05914,17.05258,+/-,1.09618,1.53742,8.27%,+/-,5.42%,1.4025244925
HLT_DoublePhoton85,"Egamma,EXO","OnlineMonitor,EventDisplay,DoubleEG",L1_SingleEG30||L1_SingleEG32||L1_SingleEG34||L1_SingleEG36||L1_SingleEG38||L1_SingleEG40||L1_DoubleEG_18_17||L1_DoubleEG_20_18||L1_DoubleEG_22_10||L1_DoubleEG_22_12||L1_DoubleEG_22_15||L1_DoubleEG_23_10||L1_DoubleEG_24_17||L1_DoubleEG_25_12||L1_SingleJet170||L1_SingleJet180||L1_SingleJet200||L1_SingleTau100er||L1_SingleTau120er,1||1||1||1||1||1||1||1||1||1||1||1||1||1||1||1||1||1||1,L1_SingleEG30||L1_SingleEG32||L1_SingleEG34||L1_SingleEG36||L1_SingleEG38||L1_SingleEG40||L1_DoubleEG_18_17||L1_DoubleEG_20_18||L1_DoubleEG_22_10||L1_DoubleEG_22_12||L1_DoubleEG_22_15||L1_DoubleEG_23_10||L1_DoubleEG_24_17||L1_DoubleEG_25_12||L1_SingleJet170||L1_SingleJet180||L1_SingleJet200||L1_SingleTau100er||L1_SingleTau120er,1||1||1||1||1||1||1||1||1||1||1||1||1||0||1||1||1||1||1,1,1,7094,13,1.33000,+/-,0.01579,0.91605,+/-,0.25407,0.41395,31.12%,+/-,13.21%,1.62931103656
HLT_Mu30_Ele30_CaloIdL_GsfTrkIdVL,"EXO","OnlineMonitor,EventDisplay,MuonEG",L1_SingleMu22||L1_SingleMu25||L1_MU20_EG15||L1_Mu5_EG20,1||1||1||1,L1_SingleMu22||L1_SingleMu25||L1_MU20_EG15||L1_Mu5_EG20,1||1||1||1,1,1,13999,31,2.63000,+/-,0.02223,2.18442,+/-,0.39233,0.44558,16.94%,+/-,12.42%,1.13571381686
HLT_VLooseIsoPFTau120_Trk50_eta2p1,"null","OnlineMonitor,Tau",L1_SingleTau100er,1,L1_SingleTau100er,1,1,1,153804,415,28.94000,+/-,0.07379,29.24306,+/-,1.43549,0.30306,1.04%,+/-,4.86%,0.211119436774
HLT_ZeroBias_FirstCollisionAfterAbortGap,"null","OnlineMonitor,ExpressPhysics,ZeroBias",L1_ZeroBias_FirstCollidingBunch,1097,L1_ZeroBias_FirstCollidingBunch,0,1,1,52510,136,9.88000,+/-,0.04312,9.58327,+/-,0.82176,0.29673,3.00%,+/-,8.08%,0.361094598557
HLT_L1BptxMinus,"null","OnlineMonitor,EmptyBX",L1_BptxMinus,0,L1_BptxMinus,0,0,0,0,0,0.00000,+/-,0.00000,0.00000,+/-,0.00000,0.00000,0.00%,+/-,0.00%,N/A
HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq500,"HIG ,Hbb","OnlineMonitor,HLTMonitor,BTagCSV",L1_TripleJet_84_68_48_VBF||L1_TripleJet_88_72_56_VBF||L1_TripleJet_92_76_64_VBF||L1_HTT280||L1_HTT300||L1_HTT320||L1_SingleJet170||L1_SingleJet180||L1_SingleJet200||L1_DoubleJetC100||L1_DoubleJetC112||L1_DoubleJetC120,1||1||1||1||1||1||1||1||1||1||1||1,L1_TripleJet_84_68_48_VBF||L1_TripleJet_88_72_56_VBF||L1_TripleJet_92_76_64_VBF||L1_HTT280||L1_HTT300||L1_HTT320||L1_SingleJet170||L1_SingleJet180||L1_SingleJet200||L1_DoubleJetC100||L1_DoubleJetC112||L1_DoubleJetC120,1||1||1||1||1||1||1||1||1||1||1||1,1,1,41613,110,7.83000,+/-,0.03838,7.75117,+/-,0.73905,0.07883,1.01%,+/-,9.36%,0.106661632138
HLT_Mu17_TkMu8_DZ,"MUO","OnlineMonitor,DoubleMuon",L1_DoubleMu_11_4||L1_DoubleMu_12_5,1||1,L1_DoubleMu_11_4||L1_DoubleMu_12_5,1||1,52,52,3068,12,0.58000,+/-,0.01047,0.01626,+/-,0.00469,0.56374,97.20%,+/-,1.81%,53.8365982371
HLT_Photon22,"SMP","OnlineMonitor,SinglePhoton",L1_SingleEG18,2500,L1_SingleEG18,3000,14,14,2978,9,0.56000,+/-,0.01026,0.04530,+/-,0.01510,0.51470,91.91%,+/-,1.85%,34.0868635514
HLT_DoublePhoton60,"null","OnlineMonitor,DoubleEG",L1_SingleEG30||L1_SingleEG32||L1_SingleEG34||L1_SingleEG36||L1_SingleEG38||L1_SingleEG40||L1_DoubleEG_18_17||L1_DoubleEG_20_18||L1_DoubleEG_22_10||L1_DoubleEG_22_12||L1_DoubleEG_22_15||L1_DoubleEG_23_10||L1_DoubleEG_24_17||L1_DoubleEG_25_12||L1_SingleJet170||L1_SingleJet180||L1_SingleJet200||L1_SingleTau100er||L1_SingleTau120er,1||1||1||1||1||1||1||1||1||1||1||1||1||1||1||1||1||1||1,L1_SingleEG30||L1_SingleEG32||L1_SingleEG34||L1_SingleEG36||L1_SingleEG38||L1_SingleEG40||L1_DoubleEG_18_17||L1_DoubleEG_20_18||L1_DoubleEG_22_10||L1_DoubleEG_22_12||L1_DoubleEG_22_15||L1_DoubleEG_23_10||L1_DoubleEG_24_17||L1_DoubleEG_25_12||L1_SingleJet170||L1_SingleJet180||L1_SingleJet200||L1_SingleTau100er||L1_SingleTau120er,1||1||1||1||1||1||1||1||1||1||1||1||1||0||1||1||1||1||1,1,1,33853,73,6.37000,+/-,0.03462,5.14396,+/-,0.60205,1.22604,19.25%,+/-,7.65%,2.03642582859
HLT_Ele23_CaloIdM_TrackIdM_PFJet30,"SUS","OnlineMonitor,DoubleEG",L1_SingleEG15,900,L1_SingleEG15,1000,2,2,4686,6,0.88000,+/-,0.01286,0.21140,+/-,0.08630,0.66860,75.98%,+/-,2.77%,7.7472736294
HLT_PixelTracks_Multiplicity135ForEndOfFill,"FSQ,HIN","OnlineMonitor,HighMultiplicityEOF",L1_ETT35_BptxAND,0,L1_ETT35_BptxAND,0,0,0,0,0,0.00000,+/-,0.00000,0.00000,+/-,0.00000,0.00000,0.00%,+/-,0.00%,N/A
HLT_VBF_DisplacedJet40_VVTightID_Hadronic,"EXO","OnlineMonitor,DisplacedJet",L1_TripleJet_84_68_48_VBF||L1_TripleJet_88_72_56_VBF||L1_TripleJet_92_76_64_VBF ||L1_HTT300,1||1||1 ||1,L1_TripleJet_84_68_48_VBF||L1_TripleJet_88_72_56_VBF||L1_TripleJet_92_76_64_VBF||L1_HTT300,1||1||1||1,1,1,10001,33,1.88000,+/-,0.01880,2.32535,+/-,0.40479,0.44535,19.15%,+/-,14.10%,1.10019941898
HLT_Mu10_CentralPFJet30_BTagCSV_p13,"null","OnlineMonitor,DoubleMuon",L1_Jet32_DoubleMu_10_0_dPhi_Jet_Mu0_Max0p4_dPhi_Mu_Mu_Min1p0,60,L1_Jet32_DoubleMu_10_0_dPhi_Jet_Mu0_Max0p4_dPhi_Mu_Mu_Min1p0,70,1,1,10333,29,1.94000,+/-,0.01908,2.04349,+/-,0.37947,0.10349,5.06%,+/-,17.65%,0.272727098692
HLT_DoubleMu8_Mass8_PFHT250,"null","OnlineMonitor,DoubleMuon",L1_Mu6_HTT200||L1_Mu8_HTT150||L1_HTT160||L1_HTT200||L1_HTT220||L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320,1||0||7500||0||5000||0||1||1||1||1||1,L1_Mu6_HTT200||L1_Mu8_HTT150||L1_HTT160||L1_HTT200||L1_HTT220||L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320,1||0||9500||0||6500||0||0||0||1||1||1,0,0,0,0,0.00000,+/-,0.00000,0.00000,+/-,0.00000,0.00000,0.00%,+/-,0.00%,N/A
HLT_Ele15_IsoVVVL_PFHT350_PFMET50,"SUS","OnlineMonitor,SingleElectron",L1_SingleEG5,43000,L1_SingleEG5,50000,0,0,0,0,0.00000,+/-,0.00000,0.00000,+/-,0.00000,0.00000,0.00%,+/-,0.00%,N/A
HLT_PFMETTypeOne190_HBHE_BeamHaloCleaned,"JME","OnlineMonitor,MET",L1_ETM50||L1_ETM60||L1_ETM70||L1_ETM80||L1_ETM90||L1_ETM100,0||100||0||1||1||1,L1_ETM50||L1_ETM60||L1_ETM70||L1_ETM80||L1_ETM90||L1_ETM100,0||150||0||1||1||1,1,1,25765,71,4.85000,+/-,0.03022,5.00303,+/-,0.59375,0.15303,3.06%,+/-,11.52%,0.257733483616
HLT_AK4PFJet80,"HIN","OnlineMonitor,HINPFJets",L1_SingleJet35,2200,L1_SingleJet35,3000,0,0,0,0,0.00000,+/-,0.00000,0.00000,+/-,0.00000,0.00000,0.00%,+/-,0.00%,N/A
HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_DZ,"HIG","OnlineMonitor,MuonEG",L1_Mu20_EG10|| L1_Mu23_EG10,1|| 1,L1_Mu20_EG10||L1_Mu23_EG10,1||1,1,1,7176,14,1.35000,+/-,0.01594,0.98651,+/-,0.26366,0.36349,26.92%,+/-,14.32%,1.37863839207
HLT_Photon22_R9Id90_HE10_Iso40_EBOnly_VBF,"HIG","OnlineMonitor,SinglePhoton",L1_SingleEG24,1500,L1_SingleEG24,2000,1,1,185,0,0.03000,+/-,0.00221,0.00000,+/-,0.00000,0.03000,100.00%,+/-,7.35%,No rates in Steam
HLT_AK4PFJet100,"HIN","OnlineMonitor,EventDisplay,HINPFJets",L1_SingleJet35,2200,L1_SingleJet35,3000,0,0,0,0,0.00000,+/-,0.00000,0.00000,+/-,0.00000,0.00000,0.00%,+/-,0.00%,N/A
DST_DoubleMu3_Mass10_CaloScouting_PFScouting,"HIN","OnlineMonitor,EventDisplay,HINPFJets",L1_SingleJet35,2200,L1_SingleJet35,3000,0,0,0,0,0.00000,+/-,0.00000,0.00000,+/-,0.00000,0.00000,0.00%,+/-,0.00%,N/A
HLT_L1NotBptxOR,"null","OnlineMonitor,EmptyBX",L1_NotBptxOR,1,L1_NotBptx||,0||,0,0,0,0,0.00000,+/-,0.00000,0.00000,+/-,0.00000,0.00000,0.00%,+/-,0.00%,N/A
HLT_Diphoton30_18_R9Id_OR_IsoCaloId_AND_HE_R9Id_DoublePixelSeedMatch_Mass70,"null","OnlineMonitor,DoubleEG",L1_SingleEG30||L1_SingleEG32||L1_SingleEG34||L1_SingleEG36||L1_SingleEG38||L1_SingleEG40||L1_SingleIsoEG22er||L1_SingleIsoEG24er||L1_SingleIsoEG26er||L1_SingleIsoEG28er||L1_SingleIsoEG30er||L1_SingleIsoEG32er||L1_SingleIsoEG34er||L1_SingleIsoEG24||L1_SingleIsoEG26||L1_SingleIsoEG28||L1_SingleIsoEG30||L1_SingleIsoEG32||L1_SingleIsoEG34||L1_SingleIsoEG36||L1_DoubleEG_15_10||L1_DoubleEG_18_17||L1_DoubleEG_20_18||L1_DoubleEG_22_10||L1_DoubleEG_22_12||L1_DoubleEG_22_15||L1_DoubleEG_23_10||L1_DoubleEG_24_17||L1_DoubleEG_25_12,1||1||1||1||1||1||0||1||1||1||1||1||1||0||1||1||1||1||1||1||0||1||1||1||1||1||1||1||1,L1_SingleEG30||L1_SingleEG32||L1_SingleEG34||L1_SingleEG36||L1_SingleEG38||L1_SingleEG40||L1_SingleIsoEG22er||L1_SingleIsoEG24er||L1_SingleIsoEG26er||L1_SingleIsoEG28er||L1_SingleIsoEG30er||L1_SingleIsoEG32er||L1_SingleIsoEG34er||L1_SingleIsoEG24||L1_SingleIsoEG26||L1_SingleIsoEG28||L1_SingleIsoEG30||L1_SingleIsoEG32||L1_SingleIsoEG34||L1_SingleIsoEG36||L1_DoubleEG_15_10||L1_DoubleEG_18_17||L1_DoubleEG_20_18||L1_DoubleEG_22_10||L1_DoubleEG_22_12||L1_DoubleEG_22_15||L1_DoubleEG_23_10||L1_DoubleEG_24_17||L1_DoubleEG_25_12,1||1||1||1||1||1||0||0||1||1||1||1||1||0||0||1||1||1||1||1||0||1||1||1||1||1||1||1||0,1,1,21477,55,4.04000,+/-,0.02757,3.87559,+/-,0.52258,0.16441,4.07%,+/-,12.43%,0.314617193086
HLT_Ele23_CaloIdL_TrackIdL_IsoVL_PFJet30,"SUS","OnlineMonitor,DoubleEG",L1_SingleEG15,900,L1_SingleEG15,1000,2,2,6920,15,1.30000,+/-,0.01563,0.52849,+/-,0.13646,0.77151,59.35%,+/-,4.43%,5.65394759088
HLT_Mu8_DiEle12_CaloIdL_TrackIdL,"HIG","OnlineMonitor,MuonEG",L1_Mu6_DoubleEG10,1,L1_Mu6_DoubleEG10,1,1,1,8016,27,1.51000,+/-,0.01687,1.90256,+/-,0.36615,0.39256,20.63%,+/-,15.30%,1.0721362124
HLT_Ele300_CaloIdVT_GsfTrkIdT,"AlCa","OnlineMonitor,ExpressPhysics,SingleElectron",L1_SingleEG30||L1_SingleEG32||L1_SingleEG34||L1_SingleEG36||L1_SingleEG38||L1_SingleEG40||L1_SingleJet170||L1_SingleJet180||L1_SingleJet200||L1_SingleTau100er||L1_SingleTau120er,1||1||1||1||1||1||1||1||1||1||1,L1_SingleEG30||L1_SingleEG32||L1_SingleEG34||L1_SingleEG36||L1_SingleEG38||L1_SingleEG40||L1_SingleJet170||L1_SingleJet180||L1_SingleJet200||L1_SingleTau100er||L1_SingleTau120er,1||1||1||1||1||1||1||1||1||1||1,1,1,1210,5,0.23000,+/-,0.00661,0.35233,+/-,0.15756,0.12233,34.72%,+/-,29.25%,0.77635277083
DST_HT250_CaloScouting,"AlCa","OnlineMonitor,ExpressPhysics,SingleElectron",L1_SingleEG30||L1_SingleEG32||L1_SingleEG34||L1_SingleEG36||L1_SingleEG38||L1_SingleEG40||L1_SingleJet170||L1_SingleJet180||L1_SingleJet200||L1_SingleTau100er||L1_SingleTau120er,1||1||1||1||1||1||1||1||1||1||1,L1_SingleEG30||L1_SingleEG32||L1_SingleEG34||L1_SingleEG36||L1_SingleEG38||L1_SingleEG40||L1_SingleJet170||L1_SingleJet180||L1_SingleJet200||L1_SingleTau100er||L1_SingleTau120er,1||1||1||1||1||1||1||1||1||1||1,1,1,1210,5,0.23000,+/-,0.00661,0.35233,+/-,0.15756,0.12233,34.72%,+/-,29.25%,0.77635277083
HLT_PFJet400,"SMP","OnlineMonitor,JetHT",L1_SingleJet170||L1_SingleJet180||L1_SingleJet200,1||1||1,L1_SingleJet170||L1_SingleJet180||L1_SingleJet200,1||1||1,10,10,10490,31,1.97000,+/-,0.01923,0.21844,+/-,0.03923,1.75156,88.91%,+/-,1.00%,44.6446007094
HLT_IsoTkMu22_eta2p1,"SMP,MUO","OnlineMonitor,SingleMuon",L1_SingleMu20er,1,L1_SingleMu20er,1,1,1,557402,1459,104.88000,+/-,0.14048,102.80873,+/-,2.69155,2.07127,1.97%,+/-,2.52%,0.769545695384
HLT_DoubleMu4_JpsiTrk_Displaced,"BPH","OnlineMonitor,Charmonium",L1_DoubleMu_10_0_dEta_Max1p8||L1_DoubleMu0er1p6_dEta_Max1p8_OS||L1_DoubleMu0er1p4_dEta_Max1p8_OS||L1_DoubleMu_11_4||L1_DoubleMu_12_5,1||1||1||1||1,L1_DoubleMu_10_0_dEta_Max1p8||L1_DoubleMu0er1p6_dEta_Max1p8_OS||L1_DoubleMu0er1p4_dEta_Max1p8_OS||L1_DoubleMu_11_4||L1_DoubleMu_12_5,0||1||0||1||1,1,1,125833,304,23.68000,+/-,0.06676,21.42142,+/-,1.22860,2.25858,9.54%,+/-,4.70%,1.83833100268
HLT_PFHT550_4JetPt50,"EXO","OnlineMonitor,JetHT",L1_HTT160||L1_HTT200||L1_HTT220||L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320,7500||0||5000||0||1||1||1||1||1,L1_HTT160||L1_HTT200||L1_HTT220||L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320,9500||0||6500||0||0||0||1||1||1,60,60,5720,17,1.08000,+/-,0.01428,0.01997,+/-,0.00484,1.06003,98.15%,+/-,1.32%,74.2325545767
HLT_Mu7p5_Track7_Jpsi,"BPH","OnlineMonitor,Charmonium",L1_SingleMu5||L1_SingleMu7,0||100,L1_SingleMu5||L1_SingleMu7,300||250,3,3,1139,6,0.21000,+/-,0.00622,0.14093,+/-,0.05753,0.06907,32.89%,+/-,18.62%,1.20048805522
HLT_Ele35_CaloIdVT_GsfTrkIdT_PFJet150_PFJet50,"B2G","OnlineMonitor,SingleElectron",L1_SingleEG26,210,L1_SingleEG26,300,0,0,0,0,0.00000,+/-,0.00000,0.00000,+/-,0.00000,0.00000,0.00%,+/-,0.00%,N/A
HLT_PFHT250,"SUS","OnlineMonitor,JetHT",L1_HTT220,5000,L1_HTT220,6500,1,1,5137,12,0.97000,+/-,0.01353,0.84558,+/-,0.24410,0.12442,12.83%,+/-,21.98%,0.50970208419
HLT_Mu7p5_Track2_Jpsi,"BPH","OnlineMonitor,Charmonium",L1_SingleMu5||L1_SingleMu7,0||100,L1_SingleMu5||L1_SingleMu7,300||250,3,3,2795,12,0.53000,+/-,0.01003,0.28186,+/-,0.08137,0.24814,46.82%,+/-,8.38%,3.04965908788
HLT_Ele20_eta2p1_WPLoose_Gsf_LooseIsoPFTau28,"Tau,HIG,EXO","OnlineMonitor,SingleElectron",L1_IsoEG18er_IsoTau24er_dEta_Min0p2,1,L1_IsoEG18er_IsoTau24er_dEta_Min0p2,1,1,1,48467,127,9.12000,+/-,0.04143,8.94908,+/-,0.79410,0.17092,1.87%,+/-,8.56%,0.215235868032
HLT_Ele15_IsoVVVL_PFHT350,"SUS","OnlineMonitor,SingleElectron",L1_SingleEG5,43000,L1_SingleEG5,50000,0,0,0,0,0.00000,+/-,0.00000,0.00000,+/-,0.00000,0.00000,0.00%,+/-,0.00%,N/A
HLT_L1BptxXOR,"null","OnlineMonitor,Commissioning",L1_BptxXOR,0,L1_BptxX||,0||,0,0,0,0,0.00000,+/-,0.00000,0.00000,+/-,0.00000,0.00000,0.00%,+/-,0.00%,N/A
DST_L1DoubleMu_CaloScouting_PFScouting,"null","OnlineMonitor,Commissioning",L1_BptxXOR,0,L1_BptxX||,0||,0,0,0,0,0.00000,+/-,0.00000,0.00000,+/-,0.00000,0.00000,0.00%,+/-,0.00%,N/A
HLT_Mu17_Photon30_CaloIdL_L1ISO,"HIG","OnlineMonitor,MuonEG",L1_Mu5_IsoEG18||L1_Mu5_IsoEG20,1||1,L1_Mu5_IsoEG18||L1_Mu5_IsoEG20,1||1,1,1,38890,94,7.32000,+/-,0.03712,6.62373,+/-,0.68319,0.69627,9.51%,+/-,8.46%,1.01915369547
HLT_FullTracks_Multiplicity150,"FSQ,HIN","OnlineMonitor,HighMultiplicityEOF",L1_ETT60_BptxAND,1,L1_ETT60_BptxAND,1,0,0,0,0,0.00000,+/-,0.00000,0.00000,+/-,0.00000,0.00000,0.00%,+/-,0.00%,N/A
HLT_Mu17_TrkIsoVVL,"MUO,SUS","OnlineMonitor,DoubleMuon",L1_SingleMu10_LowQ,200,L1_SingleMu10_LowQ,250,3,3,7988,20,1.50000,+/-,0.01678,0.46977,+/-,0.10504,1.03023,68.68%,+/-,2.46%,9.80768671892
HLT_HISinglePhoton10,"HIN","OnlineMonitor,HINPhoton",L1_SingleEG2_BptxAND,0,L1_SingleEG2_BptxAND,0,0,0,0,0,0.00000,+/-,0.00000,0.00000,+/-,0.00000,0.00000,0.00%,+/-,0.00%,N/A
HLT_HISinglePhoton15,"HIN","OnlineMonitor,HINPhoton",L1_SingleEG2_BptxAND,0,L1_SingleEG2_BptxAND,0,0,0,0,0,0.00000,+/-,0.00000,0.00000,+/-,0.00000,0.00000,0.00%,+/-,0.00%,N/A
HLT_BTagMu_DiJet70_Mu5,"BTV","OnlineMonitor,BTagMu",L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4,12,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4,15,5,5,25291,69,4.76000,+/-,0.02993,0.97242,+/-,0.11707,3.78758,79.57%,+/-,0.80%,32.354343825
HLT_HT275,"EXO","OnlineMonitor,DisplacedJet",L1_HTT160||L1_HTT200||L1_HTT220||L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320,7500||0||5000||0||1||1||1||1||1,L1_HTT160||L1_HTT200||L1_HTT220||L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320,9500||0||6500||0||0||0||1||1||1,3360,3360,5099,15,0.96000,+/-,0.01344,0.00031,+/-,0.00008,0.95969,99.97%,+/-,1.40%,71.3838835063
HLT_HT470to500,"EXO","OnlineMonitor,ParkingHT470to500,ParkingScoutingMonitor",L1_HTT200||L1_HTT240||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320,0||0||1||1||1||1,L1_HTT200||L1_HTT240||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320,0||0||0||1||1||1,1,1,481963,1306,90.68000,+/-,0.13062,92.02755,+/-,2.54652,1.34755,1.46%,+/-,2.73%,0.529175642217
HLT_HT575,"EXO","OnlineMonitor,DisplacedJet",L1_HTT160||L1_HTT200||L1_HTT220||L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320,7500||0||5000||0||1||1||1||1||1,L1_HTT160||L1_HTT200||L1_HTT220||L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320,9500||0||6500||0||0||0||1||1||1,139,139,5907,13,1.11000,+/-,0.01444,0.00659,+/-,0.00183,1.10341,99.41%,+/-,1.30%,76.400696125
HLT_Ele105_CaloIdVT_GsfTrkIdT,"EXO","OnlineMonitor,SingleElectron",L1_SingleEG30||L1_SingleEG32||L1_SingleEG34||L1_SingleEG36||L1_SingleEG38||L1_SingleEG40||L1_SingleJet170||L1_SingleJet180||L1_SingleJet200||L1_SingleTau100er||L1_SingleTau120er,1||1||1||1||1||1||1||1||1||1||1,L1_SingleEG30||L1_SingleEG32||L1_SingleEG34||L1_SingleEG36||L1_SingleEG38||L1_SingleEG40||L1_SingleJet170||L1_SingleJet180||L1_SingleJet200||L1_SingleTau100er||L1_SingleTau120er,1||1||1||1||1||1||1||1||1||1||1,0,0,0,0,0.00000,+/-,0.00000,0.00000,+/-,0.00000,0.00000,0.00%,+/-,0.00%,N/A
HLT_Mu17_Photon22_CaloIdL_L1ISO,"HIG","OnlineMonitor,MuonEG",L1_Mu5_IsoEG18,1,L1_Mu5_IsoEG18,1,0,0,0,0,0.00000,+/-,0.00000,0.00000,+/-,0.00000,0.00000,0.00%,+/-,0.00%,N/A
HLT_DiPFJetAve260,"JME","OnlineMonitor,JetHT",L1_SingleJet170||L1_SingleJet180||L1_SingleJet200,1||1||1,L1_SingleJet170||L1_SingleJet180||L1_SingleJet200,1||1||1,87,87,5642,14,1.06000,+/-,0.01411,0.01134,+/-,0.00303,1.04866,98.93%,+/-,1.33%,74.3097325153
HLT_Ele22_eta2p1_WPLoose_Gsf_LooseIsoPFTau29,"Tau,HIG,EXO","OnlineMonitor,SingleElectron",L1_IsoEG20er_IsoTau25er_dEta_Min0p2,1,L1_IsoEG20er_IsoTau25er_dEta_Min0p2,1,1,1,43669,114,8.22000,+/-,0.03934,8.03303,+/-,0.75236,0.18697,2.27%,+/-,8.96%,0.248506501675
HLT_Dimuon8_Upsilon_Barrel,"BPH","OnlineMonitor,MuOnia",L1_DoubleMu0er1p6_dEta_Max1p8_OS||L1_DoubleMu0er1p4_dEta_Max1p8_OS,1||1,L1_DoubleMu0er1p6_dEta_Max1p8_OS||L1_DoubleMu0er1p4_dEta_Max1p8_OS,1||0,1,1,70911,192,13.34000,+/-,0.05010,13.52932,+/-,0.97639,0.18932,1.40%,+/-,7.13%,0.193895803605
HLT_PFHT400,"SUS","OnlineMonitor,JetHT",L1_HTT160||L1_HTT200||L1_HTT220||L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320,7500||0||5000||0||1||1||1||1||1,L1_HTT160||L1_HTT200||L1_HTT220||L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320,9500||0||6500||0||0||0||1||1||1,320,320,13051,39,2.46000,+/-,0.02153,0.00859,+/-,0.00138,2.45141,99.65%,+/-,0.88%,113.84215413
HLT_PFMET400,"PPD","OnlineMonitor,MET",L1_ETM60||L1_ETM70||L1_ETM80||L1_ETM90||L1_ETM100||L1_ETM120,100||0||1||1||1||1,L1_ETM60||L1_ETM70||L1_ETM80||L1_ETM90||L1_ETM100||L1_ETM120,150||0||1||1||1||1,1,1,958,4,0.18000,+/-,0.00582,0.28186,+/-,0.14093,0.10186,36.14%,+/-,32.00%,0.72277383178
HLT_VLooseIsoPFTau140_Trk50_eta2p1,"null","OnlineMonitor,Tau",L1_SingleTau100er||L1_SingleTau120er,1||1,L1_SingleTau100er||L1_SingleTau120er,1||1,1,1,100212,274,18.86000,+/-,0.05958,19.30747,+/-,1.16641,0.44747,2.32%,+/-,5.91%,0.38362724039
HLT_IsoMu17_eta2p1_LooseIsoPFTau20_SingleL1,"TAU,HIG","OnlineMonitor,SingleMuon",L1_SingleMu16er,1,L1_SingleMu16er,100,0,0,0,0,0.00000,+/-,0.00000,0.00000,+/-,0.00000,0.00000,0.00%,+/-,0.00%,N/A
HLT_Ele50_CaloIdVT_GsfTrkIdT_PFJet140,"B2G","OnlineMonitor,SingleElectron",L1_SingleEG40,1,L1_SingleEG40,1,0,0,0,0,0.00000,+/-,0.00000,0.00000,+/-,0.00000,0.00000,0.00%,+/-,0.00%,N/A
HLT_PFHT400_SixJet30_DoubleBTagCSV_p056,"HIG","OnlineMonitor,JetHT",L1_HTT280||L1_HTT300,1||1,L1_HTT280||L1_HTT300,1||1,1,1,111048,274,20.89000,+/-,0.06269,19.30747,+/-,1.16641,1.58253,7.58%,+/-,5.17%,1.35676065873
HLT_Photon90_R9Id90_HE10_Iso40_EBOnly_PFMET40,"HIG","OnlineMonitor,SinglePhoton",L1_SingleEG40,1,L1_SingleEG40,1,3,3,3944,8,0.74000,+/-,0.01178,0.18791,+/-,0.06644,0.55209,74.61%,+/-,2.78%,8.31024138607
HLT_L2Mu10,"MUO","OnlineMonitor,SingleMuon",L1_SingleMu22,1,L1_SingleMu22,1,2500,2500,4349,14,0.82000,+/-,0.01243,0.00039,+/-,0.00011,0.81961,99.95%,+/-,1.52%,65.9152130042
HLT_QuadJet45_DoubleBTagCSV_p087,"HIG ,Hbb","OnlineMonitor,BTagCSV",L1_QuadJetC50||L1_QuadJetC60||L1_HTT280||L1_HTT300||L1_HTT320||L1_TripleJet_84_68_48_VBF||L1_TripleJet_88_72_56_VBF||L1_TripleJet_92_76_64_VBF,1||1||1||1||1||1||1||1,L1_QuadJetC50||L1_QuadJetC60||L1_HTT280||L1_HTT300||L1_HTT320||L1_TripleJet_84_68_48_VBF||L1_TripleJet_88_72_56_VBF||L1_TripleJet_92_76_64_VBF,1||1||1||1||1||1||1||1,52,52,10463,28,1.97000,+/-,0.01926,0.03794,+/-,0.00717,1.93206,98.07%,+/-,0.98%,100.318693186
