Path,L1Path,L1Prescale(9.5e33),Steam L1path,Steam L1Prescale,WBM hltPrescale(9.5e33),Steam hltPrescale,Wbm Count,Steam Count,,Data Rate (Hz),,,Steam Rate (Hz),,abs(Data-Steam)(Hz),,Bias : (data-steam)/max(data;steam),,Pull
HLT_Mu40_TkMu11,L1_SingleMu22||L1_SingleMu25,1||1,L1_SingleMu22||L1_SingleMu25,1||1,1,1,43493,43493,8.18000,+/-,0.03922,8.18000,+/-,0.03922,0.00000,0.00%,+/-,0.68%,0.0
HLT_Photon120_R9Id90_HE10_Iso40_EBOnly_PFMET40,L1_SingleEG40,1,L1_SingleEG40,1,1,1,4693,4693,0.88000,+/-,0.01285,0.88000,+/-,0.01285,0.00000,0.00%,+/-,2.06%,0.0
HLT_Diphoton30_18_Solid_R9Id_AND_IsoCaloId_AND_HE_R9Id_Mass55,L1_SingleEG30||L1_SingleEG32||L1_SingleEG34||L1_SingleEG36||L1_SingleEG38||L1_SingleEG40||L1_SingleIsoEG22er||L1_SingleIsoEG24er||L1_SingleIsoEG26er||L1_SingleIsoEG28er||L1_SingleIsoEG30er||L1_SingleIsoEG32er||L1_SingleIsoEG34er||L1_SingleIsoEG24||L1_SingleIsoEG26||L1_SingleIsoEG28||L1_SingleIsoEG30||L1_SingleIsoEG32||L1_SingleIsoEG34||L1_SingleIsoEG36||L1_DoubleEG_15_10||L1_DoubleEG_18_17||L1_DoubleEG_20_18||L1_DoubleEG_22_10||L1_DoubleEG_22_12||L1_DoubleEG_22_15||L1_DoubleEG_23_10||L1_DoubleEG_24_17||L1_DoubleEG_25_12,0||0||0||1||1||1||0||0||0||0||0||1||1||0||0||0||0||0||1||1||0||0||0||0||0||0||0||1||1,L1_SingleEG30||L1_SingleEG32||L1_SingleEG34||L1_SingleEG36||L1_SingleEG38||L1_SingleEG40||L1_SingleIsoEG22er||L1_SingleIsoEG24er||L1_SingleIsoEG26er||L1_SingleIsoEG28er||L1_SingleIsoEG30er||L1_SingleIsoEG32er||L1_SingleIsoEG34er||L1_SingleIsoEG24||L1_SingleIsoEG26||L1_SingleIsoEG28||L1_SingleIsoEG30||L1_SingleIsoEG32||L1_SingleIsoEG34||L1_SingleIsoEG36||L1_DoubleEG_15_10||L1_DoubleEG_18_17||L1_DoubleEG_20_18||L1_DoubleEG_22_10||L1_DoubleEG_22_12||L1_DoubleEG_22_15||L1_DoubleEG_23_10||L1_DoubleEG_24_17||L1_DoubleEG_25_12,0||0||0||1||1||1||0||0||0||0||0||1||1||0||0||0||0||0||1||1||0||0||0||0||0||0||0||1||1,1000,1000,71,71,0.01000,+/-,0.00119,0.01000,+/-,0.00119,0.00000,0.00%,+/-,16.78%,0.0
HLT_PFHT750_4JetPt50,L1_HTT160||L1_HTT200||L1_HTT220||L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320,20000||0||8000||0||0||0||0||1||1,L1_HTT160||L1_HTT200||L1_HTT220||L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320,20000||0||8000||0||0||0||0||1||1,1,1,98823,98823,18.59000,+/-,0.05914,18.59000,+/-,0.05914,0.00000,0.00%,+/-,0.45%,0.0
HLT_DoublePhoton85,L1_SingleEG30||L1_SingleEG32||L1_SingleEG34||L1_SingleEG36||L1_SingleEG38||L1_SingleEG40||L1_DoubleEG_18_17||L1_DoubleEG_20_18||L1_DoubleEG_22_10||L1_DoubleEG_22_12||L1_DoubleEG_22_15||L1_DoubleEG_23_10||L1_DoubleEG_24_17||L1_DoubleEG_25_12||L1_SingleJet170||L1_SingleJet180||L1_SingleJet200||L1_SingleTau100er||L1_SingleTau120er,0||0||0||1||1||1||0||0||0||0||0||0||1||1||0||1||1||0||1,L1_SingleEG30||L1_SingleEG32||L1_SingleEG34||L1_SingleEG36||L1_SingleEG38||L1_SingleEG40||L1_DoubleEG_18_17||L1_DoubleEG_20_18||L1_DoubleEG_22_10||L1_DoubleEG_22_12||L1_DoubleEG_22_15||L1_DoubleEG_23_10||L1_DoubleEG_24_17||L1_DoubleEG_25_12||L1_SingleJet170||L1_SingleJet180||L1_SingleJet200||L1_SingleTau100er||L1_SingleTau120er,0||0||0||1||1||1||0||0||0||0||0||0||1||1||0||1||1||0||1,1,1,7094,7094,1.33000,+/-,0.01579,1.33000,+/-,0.01579,0.00000,0.00%,+/-,1.68%,0.0
HLT_Mu30_Ele30_CaloIdL_GsfTrkIdVL,L1_SingleMu22||L1_SingleMu25||L1_MU20_EG15||L1_Mu5_EG20,1||1||1||0,L1_SingleMu22||L1_SingleMu25||L1_MU20_EG15||L1_Mu5_EG20,1||1||1||0,1,1,13999,13999,2.63000,+/-,0.02223,2.63000,+/-,0.02223,0.00000,0.00%,+/-,1.20%,0.0
HLT_VLooseIsoPFTau120_Trk50_eta2p1,L1_SingleTau100er,0,L1_SingleTau100er,0,0,0,153804,153804,28.94000,+/-,0.07379,28.94000,+/-,0.07379,0.00000,0.00%,+/-,0.36%,0.0
HLT_ZeroBias_FirstCollisionAfterAbortGap,L1_ZeroBias_FirstCollidingBunch,1097,L1_ZeroBias_FirstCollidingBunch,1097,1,1,52510,52510,9.88000,+/-,0.04312,9.88000,+/-,0.04312,0.00000,0.00%,+/-,0.62%,0.0
HLT_L1BptxMinus,L1_BptxMinus,0,L1_BptxMinus,0,0,0,0,0,0.00000,+/-,0.00000,0.00000,+/-,0.00000,0.00000,0.00%,+/-,0.00%,N/A
HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq500,L1_TripleJet_84_68_48_VBF||L1_TripleJet_88_72_56_VBF||L1_TripleJet_92_76_64_VBF||L1_HTT280||L1_HTT300||L1_HTT320||L1_SingleJet170||L1_SingleJet180||L1_SingleJet200||L1_DoubleJetC100||L1_DoubleJetC112||L1_DoubleJetC120,0||0||1||0||1||1||0||1||1||0||1||1,L1_TripleJet_84_68_48_VBF||L1_TripleJet_88_72_56_VBF||L1_TripleJet_92_76_64_VBF||L1_HTT280||L1_HTT300||L1_HTT320||L1_SingleJet170||L1_SingleJet180||L1_SingleJet200||L1_DoubleJetC100||L1_DoubleJetC112||L1_DoubleJetC120,0||0||1||0||1||1||0||1||1||0||1||1,1,1,41613,41613,7.83000,+/-,0.03838,7.83000,+/-,0.03838,0.00000,0.00%,+/-,0.69%,0.0
HLT_Mu17_TkMu8_DZ,L1_DoubleMu_11_4||L1_DoubleMu_12_5,0||1,L1_DoubleMu_11_4||L1_DoubleMu_12_5,0||1,83,83,3068,3068,0.58000,+/-,0.01047,0.58000,+/-,0.01047,0.00000,0.00%,+/-,2.55%,0.0
HLT_Photon22,L1_SingleEG18,8000,L1_SingleEG18,8000,7,7,2978,2978,0.56000,+/-,0.01026,0.56000,+/-,0.01026,0.00000,0.00%,+/-,2.59%,0.0
HLT_DoublePhoton60,L1_SingleEG30||L1_SingleEG32||L1_SingleEG34||L1_SingleEG36||L1_SingleEG38||L1_SingleEG40||L1_DoubleEG_18_17||L1_DoubleEG_20_18||L1_DoubleEG_22_10||L1_DoubleEG_22_12||L1_DoubleEG_22_15||L1_DoubleEG_23_10||L1_DoubleEG_24_17||L1_DoubleEG_25_12||L1_SingleJet170||L1_SingleJet180||L1_SingleJet200||L1_SingleTau100er||L1_SingleTau120er,0||0||0||1||1||1||0||0||0||0||0||0||1||1||0||1||1||0||1,L1_SingleEG30||L1_SingleEG32||L1_SingleEG34||L1_SingleEG36||L1_SingleEG38||L1_SingleEG40||L1_DoubleEG_18_17||L1_DoubleEG_20_18||L1_DoubleEG_22_10||L1_DoubleEG_22_12||L1_DoubleEG_22_15||L1_DoubleEG_23_10||L1_DoubleEG_24_17||L1_DoubleEG_25_12||L1_SingleJet170||L1_SingleJet180||L1_SingleJet200||L1_SingleTau100er||L1_SingleTau120er,0||0||0||1||1||1||0||0||0||0||0||0||1||1||0||1||1||0||1,1,1,33853,33853,6.37000,+/-,0.03462,6.37000,+/-,0.03462,0.00000,0.00%,+/-,0.77%,0.0
HLT_Ele23_CaloIdM_TrackIdM_PFJet30,L1_SingleEG15,3000,L1_SingleEG15,3000,1,1,4686,4686,0.88000,+/-,0.01286,0.88000,+/-,0.01286,0.00000,0.00%,+/-,2.07%,0.0
HLT_PixelTracks_Multiplicity135ForEndOfFill,L1_ETT35_BptxAND,0,L1_ETT35_BptxAND,0,0,0,0,0,0.00000,+/-,0.00000,0.00000,+/-,0.00000,0.00000,0.00%,+/-,0.00%,N/A
HLT_VBF_DisplacedJet40_VVTightID_Hadronic,L1_TripleJet_84_68_48_VBF||L1_TripleJet_88_72_56_VBF||L1_TripleJet_92_76_64_VBF ||L1_HTT300,0||0||1 ||1,L1_TripleJet_84_68_48_VBF||L1_TripleJet_88_72_56_VBF||L1_TripleJet_92_76_64_VBF ||L1_HTT300,0||0||1 ||1,1,1,10001,10001,1.88000,+/-,0.01880,1.88000,+/-,0.01880,0.00000,0.00%,+/-,1.41%,0.0
HLT_Mu10_CentralPFJet30_BTagCSV_p13,L1_Jet32_DoubleMu_10_0_dPhi_Jet_Mu0_Max0p4_dPhi_Mu_Mu_Min1p0,100,L1_Jet32_DoubleMu_10_0_dPhi_Jet_Mu0_Max0p4_dPhi_Mu_Mu_Min1p0,100,1,1,10333,10333,1.94000,+/-,0.01908,1.94000,+/-,0.01908,0.00000,0.00%,+/-,1.39%,0.0
HLT_DoubleMu8_Mass8_PFHT250,L1_Mu6_HTT200||L1_Mu8_HTT150||L1_HTT160||L1_HTT200||L1_HTT220||L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320,1||0||20000||0||8000||0||0||0||0||1||1,L1_Mu6_HTT200||L1_Mu8_HTT150||L1_HTT160||L1_HTT200||L1_HTT220||L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320,1||0||20000||0||8000||0||0||0||0||1||1,0,0,0,0,0.00000,+/-,0.00000,0.00000,+/-,0.00000,0.00000,0.00%,+/-,0.00%,N/A
HLT_Ele15_IsoVVVL_PFHT350_PFMET50,L1_SingleEG5,80000,L1_SingleEG5,80000,0,0,0,0,0.00000,+/-,0.00000,0.00000,+/-,0.00000,0.00000,0.00%,+/-,0.00%,N/A
HLT_PFMETTypeOne190_HBHE_BeamHaloCleaned,L1_ETM50||L1_ETM60||L1_ETM70||L1_ETM80||L1_ETM90||L1_ETM100,0||250||0||0||1||1,L1_ETM50||L1_ETM60||L1_ETM70||L1_ETM80||L1_ETM90||L1_ETM100,0||250||0||0||1||1,1,1,25765,25765,4.85000,+/-,0.03022,4.85000,+/-,0.03022,0.00000,0.00%,+/-,0.88%,0.0
HLT_AK4PFJet80,L1_SingleJet35,5000,L1_SingleJet35,5000,0,0,0,0,0.00000,+/-,0.00000,0.00000,+/-,0.00000,0.00000,0.00%,+/-,0.00%,N/A
HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_DZ,L1_Mu20_EG10|| L1_Mu23_EG10,0|| 1,L1_Mu20_EG10|| L1_Mu23_EG10,0|| 1,1,1,7176,7176,1.35000,+/-,0.01594,1.35000,+/-,0.01594,0.00000,0.00%,+/-,1.67%,0.0
HLT_Photon22_R9Id90_HE10_Iso40_EBOnly_VBF,L1_SingleEG24,5000,L1_SingleEG24,5000,1,1,185,185,0.03000,+/-,0.00221,0.03000,+/-,0.00221,0.00000,0.00%,+/-,10.40%,0.0
HLT_AK4PFJet100,L1_SingleJet35,5000,L1_SingleJet35,5000,0,0,0,0,0.00000,+/-,0.00000,0.00000,+/-,0.00000,0.00000,0.00%,+/-,0.00%,N/A
DST_DoubleMu3_Mass10_CaloScouting_PFScouting,L1_DoubleMu_11_4||L1_DoubleMu_12_5,0||1,L1_DoubleMu_11_4||L1_DoubleMu_12_5,0||1,1,1,2298315,2298315,432.44000,+/-,0.28525,432.44000,+/-,0.28525,0.00000,0.00%,+/-,0.09%,0.0
HLT_L1NotBptxOR,L1_NotBptxOR,1,L1_NotBptxOR,1,0,0,0,0,0.00000,+/-,0.00000,0.00000,+/-,0.00000,0.00000,0.00%,+/-,0.00%,N/A
HLT_Diphoton30_18_R9Id_OR_IsoCaloId_AND_HE_R9Id_DoublePixelSeedMatch_Mass70,L1_SingleEG30||L1_SingleEG32||L1_SingleEG34||L1_SingleEG36||L1_SingleEG38||L1_SingleEG40||L1_SingleIsoEG22er||L1_SingleIsoEG24er||L1_SingleIsoEG26er||L1_SingleIsoEG28er||L1_SingleIsoEG30er||L1_SingleIsoEG32er||L1_SingleIsoEG34er||L1_SingleIsoEG24||L1_SingleIsoEG26||L1_SingleIsoEG28||L1_SingleIsoEG30||L1_SingleIsoEG32||L1_SingleIsoEG34||L1_SingleIsoEG36||L1_DoubleEG_15_10||L1_DoubleEG_18_17||L1_DoubleEG_20_18||L1_DoubleEG_22_10||L1_DoubleEG_22_12||L1_DoubleEG_22_15||L1_DoubleEG_23_10||L1_DoubleEG_24_17||L1_DoubleEG_25_12,0||0||0||1||1||1||0||0||0||0||0||1||1||0||0||0||0||0||1||1||0||0||0||0||0||0||0||1||1,L1_SingleEG30||L1_SingleEG32||L1_SingleEG34||L1_SingleEG36||L1_SingleEG38||L1_SingleEG40||L1_SingleIsoEG22er||L1_SingleIsoEG24er||L1_SingleIsoEG26er||L1_SingleIsoEG28er||L1_SingleIsoEG30er||L1_SingleIsoEG32er||L1_SingleIsoEG34er||L1_SingleIsoEG24||L1_SingleIsoEG26||L1_SingleIsoEG28||L1_SingleIsoEG30||L1_SingleIsoEG32||L1_SingleIsoEG34||L1_SingleIsoEG36||L1_DoubleEG_15_10||L1_DoubleEG_18_17||L1_DoubleEG_20_18||L1_DoubleEG_22_10||L1_DoubleEG_22_12||L1_DoubleEG_22_15||L1_DoubleEG_23_10||L1_DoubleEG_24_17||L1_DoubleEG_25_12,0||0||0||1||1||1||0||0||0||0||0||1||1||0||0||0||0||0||1||1||0||0||0||0||0||0||0||1||1,1,1,21477,21477,4.04000,+/-,0.02757,4.04000,+/-,0.02757,0.00000,0.00%,+/-,0.97%,0.0
HLT_Ele23_CaloIdL_TrackIdL_IsoVL_PFJet30,L1_SingleEG15,3000,L1_SingleEG15,3000,1,1,6920,6920,1.30000,+/-,0.01563,1.30000,+/-,0.01563,0.00000,0.00%,+/-,1.70%,0.0
HLT_Mu8_DiEle12_CaloIdL_TrackIdL,L1_Mu6_DoubleEG10,1,L1_Mu6_DoubleEG10,1,1,1,8016,8016,1.51000,+/-,0.01687,1.51000,+/-,0.01687,0.00000,0.00%,+/-,1.58%,0.0
HLT_Ele300_CaloIdVT_GsfTrkIdT,L1_SingleEG30||L1_SingleEG32||L1_SingleEG34||L1_SingleEG36||L1_SingleEG38||L1_SingleEG40||L1_SingleJet170||L1_SingleJet180||L1_SingleJet200||L1_SingleTau100er||L1_SingleTau120er,0||0||0||1||1||1||0||1||1||0||1,L1_SingleEG30||L1_SingleEG32||L1_SingleEG34||L1_SingleEG36||L1_SingleEG38||L1_SingleEG40||L1_SingleJet170||L1_SingleJet180||L1_SingleJet200||L1_SingleTau100er||L1_SingleTau120er,0||0||0||1||1||1||0||1||1||0||1,1,1,1210,1210,0.23000,+/-,0.00661,0.23000,+/-,0.00661,0.00000,0.00%,+/-,4.07%,0.0
DST_HT250_CaloScouting,L1_HTT200||L1_HTT240||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320,0||0||0||0||1||1,L1_HTT200||L1_HTT240||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320,0||0||0||0||1||1,1,1,19837785,19837785,3732.57000,+/-,0.83803,3732.57000,+/-,0.83803,0.00000,0.00%,+/-,0.03%,0.0
HLT_PFJet400,L1_SingleJet170||L1_SingleJet180||L1_SingleJet200,0||1||1,L1_SingleJet170||L1_SingleJet180||L1_SingleJet200,0||1||1,18,18,10490,10490,1.97000,+/-,0.01923,1.97000,+/-,0.01923,0.00000,0.00%,+/-,1.38%,0.0
HLT_IsoTkMu22_eta2p1,L1_SingleMu20er,1,L1_SingleMu20er,1,1,1,557402,557402,104.88000,+/-,0.14048,104.88000,+/-,0.14048,0.00000,0.00%,+/-,0.19%,0.0
HLT_DoubleMu4_JpsiTrk_Displaced,L1_DoubleMu_10_0_dEta_Max1p8||L1_DoubleMu0er1p6_dEta_Max1p8_OS||L1_DoubleMu0er1p4_dEta_Max1p8_OS||L1_DoubleMu_11_4||L1_DoubleMu_12_5,0||0||1||0||1,L1_DoubleMu_10_0_dEta_Max1p8||L1_DoubleMu0er1p6_dEta_Max1p8_OS||L1_DoubleMu0er1p4_dEta_Max1p8_OS||L1_DoubleMu_11_4||L1_DoubleMu_12_5,0||0||1||0||1,1,1,125833,125833,23.68000,+/-,0.06676,23.68000,+/-,0.06676,0.00000,0.00%,+/-,0.40%,0.0
HLT_PFHT550_4JetPt50,L1_HTT160||L1_HTT200||L1_HTT220||L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320,20000||0||8000||0||0||0||0||1||1,L1_HTT160||L1_HTT200||L1_HTT220||L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320,20000||0||8000||0||0||0||0||1||1,96,96,5720,5720,1.08000,+/-,0.01428,1.08000,+/-,0.01428,0.00000,0.00%,+/-,1.87%,0.0
HLT_Mu7p5_Track7_Jpsi,L1_SingleMu5||L1_SingleMu7,0||200,L1_SingleMu5||L1_SingleMu7,0||200,2,2,1139,1139,0.21000,+/-,0.00622,0.21000,+/-,0.00622,0.00000,0.00%,+/-,4.19%,0.0
HLT_Ele35_CaloIdVT_GsfTrkIdT_PFJet150_PFJet50,L1_SingleEG26,500,L1_SingleEG26,500,0,0,0,0,0.00000,+/-,0.00000,0.00000,+/-,0.00000,0.00000,0.00%,+/-,0.00%,N/A
HLT_PFHT250,L1_HTT220,8000,L1_HTT220,8000,1,1,5137,5137,0.97000,+/-,0.01353,0.97000,+/-,0.01353,0.00000,0.00%,+/-,1.97%,0.0
HLT_Mu7p5_Track2_Jpsi,L1_SingleMu5||L1_SingleMu7,0||200,L1_SingleMu5||L1_SingleMu7,0||200,2,2,2795,2795,0.53000,+/-,0.01003,0.53000,+/-,0.01003,0.00000,0.00%,+/-,2.68%,0.0
HLT_Ele20_eta2p1_WPLoose_Gsf_LooseIsoPFTau28,L1_IsoEG18er_IsoTau24er_dEta_Min0p2,0,L1_IsoEG18er_IsoTau24er_dEta_Min0p2,0,0,0,48467,48467,9.12000,+/-,0.04143,9.12000,+/-,0.04143,0.00000,0.00%,+/-,0.64%,0.0
HLT_Ele15_IsoVVVL_PFHT350,L1_SingleEG5,80000,L1_SingleEG5,80000,0,0,0,0,0.00000,+/-,0.00000,0.00000,+/-,0.00000,0.00000,0.00%,+/-,0.00%,N/A
HLT_L1BptxXOR,L1_BptxXOR,0,L1_BptxXOR,0,0,0,0,0,0.00000,+/-,0.00000,0.00000,+/-,0.00000,0.00000,0.00%,+/-,0.00%,N/A
DST_L1DoubleMu_CaloScouting_PFScouting,L1_DoubleMu_11_4||L1_DoubleMu_12_5,0||1,L1_DoubleMu_11_4||L1_DoubleMu_12_5,0||1,1000,1000,14756,14756,2.78000,+/-,0.02289,2.78000,+/-,0.02289,0.00000,0.00%,+/-,1.16%,0.0
HLT_Mu17_Photon30_CaloIdL_L1ISO,L1_Mu5_IsoEG18||L1_Mu5_IsoEG20,0||1,L1_Mu5_IsoEG18||L1_Mu5_IsoEG20,0||1,1,1,38890,38890,7.32000,+/-,0.03712,7.32000,+/-,0.03712,0.00000,0.00%,+/-,0.72%,0.0
HLT_FullTracks_Multiplicity150,L1_ETT60_BptxAND,1,L1_ETT60_BptxAND,1,0,0,0,0,0.00000,+/-,0.00000,0.00000,+/-,0.00000,0.00000,0.00%,+/-,0.00%,N/A
HLT_Mu17_TrkIsoVVL,L1_SingleMu10_LowQ,600,L1_SingleMu10_LowQ,600,3,3,7988,7988,1.50000,+/-,0.01678,1.50000,+/-,0.01678,0.00000,0.00%,+/-,1.58%,0.0
HLT_HISinglePhoton10,L1_SingleEG2_BptxAND,0,L1_SingleEG2_BptxAND,0,0,0,0,0,0.00000,+/-,0.00000,0.00000,+/-,0.00000,0.00000,0.00%,+/-,0.00%,N/A
HLT_HISinglePhoton15,L1_SingleEG2_BptxAND,0,L1_SingleEG2_BptxAND,0,0,0,0,0,0.00000,+/-,0.00000,0.00000,+/-,0.00000,0.00000,0.00%,+/-,0.00%,N/A
HLT_BTagMu_DiJet70_Mu5,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4,20,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4,20,5,5,25291,25291,4.76000,+/-,0.02993,4.76000,+/-,0.02993,0.00000,0.00%,+/-,0.89%,0.0
HLT_HT275,L1_HTT160||L1_HTT200||L1_HTT220||L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320,20000||0||8000||0||0||0||0||1||1,L1_HTT160||L1_HTT200||L1_HTT220||L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320,20000||0||8000||0||0||0||0||1||1,5376,5376,5099,5099,0.96000,+/-,0.01344,0.96000,+/-,0.01344,0.00000,0.00%,+/-,1.98%,0.0
HLT_HT470to500,L1_HTT200||L1_HTT240||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320,0||0||0||0||1||1,L1_HTT200||L1_HTT240||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320,0||0||0||0||1||1,1,1,481963,481963,90.68000,+/-,0.13062,90.68000,+/-,0.13062,0.00000,0.00%,+/-,0.20%,0.0
HLT_HT575,L1_HTT160||L1_HTT200||L1_HTT220||L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320,20000||0||8000||0||0||0||0||1||1,L1_HTT160||L1_HTT200||L1_HTT220||L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320,20000||0||8000||0||0||0||0||1||1,223,223,5907,5907,1.11000,+/-,0.01444,1.11000,+/-,0.01444,0.00000,0.00%,+/-,1.84%,0.0
HLT_Ele105_CaloIdVT_GsfTrkIdT,L1_SingleEG30||L1_SingleEG32||L1_SingleEG34||L1_SingleEG36||L1_SingleEG38||L1_SingleEG40||L1_SingleJet170||L1_SingleJet180||L1_SingleJet200||L1_SingleTau100er||L1_SingleTau120er,0||0||0||1||1||1||0||1||1||0||1,L1_SingleEG30||L1_SingleEG32||L1_SingleEG34||L1_SingleEG36||L1_SingleEG38||L1_SingleEG40||L1_SingleJet170||L1_SingleJet180||L1_SingleJet200||L1_SingleTau100er||L1_SingleTau120er,0||0||0||1||1||1||0||1||1||0||1,0,0,0,0,0.00000,+/-,0.00000,0.00000,+/-,0.00000,0.00000,0.00%,+/-,0.00%,N/A
HLT_Mu17_Photon22_CaloIdL_L1ISO,L1_Mu5_IsoEG18,0,L1_Mu5_IsoEG18,0,0,0,0,0,0.00000,+/-,0.00000,0.00000,+/-,0.00000,0.00000,0.00%,+/-,0.00%,N/A
HLT_DiPFJetAve260,L1_SingleJet170||L1_SingleJet180||L1_SingleJet200,0||1||1,L1_SingleJet170||L1_SingleJet180||L1_SingleJet200,0||1||1,140,140,5642,5642,1.06000,+/-,0.01411,1.06000,+/-,0.01411,0.00000,0.00%,+/-,1.88%,0.0
HLT_Ele22_eta2p1_WPLoose_Gsf_LooseIsoPFTau29,L1_IsoEG20er_IsoTau25er_dEta_Min0p2,0,L1_IsoEG20er_IsoTau25er_dEta_Min0p2,0,0,0,43669,43669,8.22000,+/-,0.03934,8.22000,+/-,0.03934,0.00000,0.00%,+/-,0.68%,0.0
HLT_Dimuon8_Upsilon_Barrel,L1_DoubleMu0er1p6_dEta_Max1p8_OS||L1_DoubleMu0er1p4_dEta_Max1p8_OS,0||1,L1_DoubleMu0er1p6_dEta_Max1p8_OS||L1_DoubleMu0er1p4_dEta_Max1p8_OS,0||1,1,1,70911,70911,13.34000,+/-,0.05010,13.34000,+/-,0.05010,0.00000,0.00%,+/-,0.53%,0.0
HLT_PFHT400,L1_HTT160||L1_HTT200||L1_HTT220||L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320,20000||0||8000||0||0||0||0||1||1,L1_HTT160||L1_HTT200||L1_HTT220||L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320,20000||0||8000||0||0||0||0||1||1,512,512,13051,13051,2.46000,+/-,0.02153,2.46000,+/-,0.02153,0.00000,0.00%,+/-,1.24%,0.0
HLT_PFMET400,L1_ETM60||L1_ETM70||L1_ETM80||L1_ETM90||L1_ETM100||L1_ETM120,250||0||0||1||1||1,L1_ETM60||L1_ETM70||L1_ETM80||L1_ETM90||L1_ETM100||L1_ETM120,250||0||0||1||1||1,1,1,958,958,0.18000,+/-,0.00582,0.18000,+/-,0.00582,0.00000,0.00%,+/-,4.57%,0.0
HLT_VLooseIsoPFTau140_Trk50_eta2p1,L1_SingleTau100er||L1_SingleTau120er,0||1,L1_SingleTau100er||L1_SingleTau120er,0||1,1,1,100212,100212,18.86000,+/-,0.05958,18.86000,+/-,0.05958,0.00000,0.00%,+/-,0.45%,0.0
HLT_IsoMu17_eta2p1_LooseIsoPFTau20_SingleL1,L1_SingleMu16er,200,L1_SingleMu16er,200,0,0,0,0,0.00000,+/-,0.00000,0.00000,+/-,0.00000,0.00000,0.00%,+/-,0.00%,N/A
HLT_Ele50_CaloIdVT_GsfTrkIdT_PFJet140,L1_SingleEG40,1,L1_SingleEG40,1,0,0,0,0,0.00000,+/-,0.00000,0.00000,+/-,0.00000,0.00000,0.00%,+/-,0.00%,N/A
HLT_PFHT400_SixJet30_DoubleBTagCSV_p056,L1_HTT280||L1_HTT300,0||1,L1_HTT280||L1_HTT300,0||1,1,1,111048,111048,20.89000,+/-,0.06269,20.89000,+/-,0.06269,0.00000,0.00%,+/-,0.42%,0.0
HLT_Photon90_R9Id90_HE10_Iso40_EBOnly_PFMET40,L1_SingleEG40,1,L1_SingleEG40,1,4,4,3944,3944,0.74000,+/-,0.01178,0.74000,+/-,0.01178,0.00000,0.00%,+/-,2.25%,0.0
HLT_L2Mu10,L1_SingleMu22,1,L1_SingleMu22,1,4000,4000,4349,4349,0.82000,+/-,0.01243,0.82000,+/-,0.01243,0.00000,0.00%,+/-,2.14%,0.0
HLT_QuadJet45_DoubleBTagCSV_p087,L1_QuadJetC50||L1_QuadJetC60||L1_HTT280||L1_HTT300||L1_HTT320||L1_TripleJet_84_68_48_VBF||L1_TripleJet_88_72_56_VBF||L1_TripleJet_92_76_64_VBF,1||1||0||1||1||0||0||1,L1_QuadJetC50||L1_QuadJetC60||L1_HTT280||L1_HTT300||L1_HTT320||L1_TripleJet_84_68_48_VBF||L1_TripleJet_88_72_56_VBF||L1_TripleJet_92_76_64_VBF,1||1||0||1||1||0||0||1,83,83,10463,10463,1.97000,+/-,0.01926,1.97000,+/-,0.01926,0.00000,0.00%,+/-,1.38%,0.0
HLT_PFJet320,L1_SingleJet170||L1_SingleJet180||L1_SingleJet200,0||1||1,L1_SingleJet170||L1_SingleJet180||L1_SingleJet200,0||1||1,50,50,10906,10906,2.05000,+/-,0.01963,2.05000,+/-,0.01963,0.00000,0.00%,+/-,1.35%,0.0
DST_ZeroBias_BTagScouting,L1_ZeroBias,15923,L1_ZeroBias,15923,200,200,2525,2525,0.48000,+/-,0.00955,0.48000,+/-,0.00955,0.00000,0.00%,+/-,2.81%,0.0
