Path,L1Path,L1Prescale(9.5e33),Steam L1path,Steam L1Prescale,WBM hltPrescale(9.5e33),Steam hltPrescale,Wbm Count,Steam Count,,Data Rate (Hz),,,Steam Rate (Hz),,abs(Data-Steam)(Hz),,Bias : (data-steam)/max(data;steam),,Pull
HLT_HT250_DisplacedDijet40_DisplacedTrack,L1_HTT160||L1_HTT200||L1_HTT220||L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320,20000||0||8000||0||0||0||0||1||1,L1_HTT160||L1_HTT200||L1_HTT220||L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320,20000||0||8000||0||0||0||0||1||1,31,31,3778,3778,0.71000,+/-,0.01155,0.71000,+/-,0.01155,0.00000,0.00%,+/-,2.30%,0.0
HLT_Mu55,L1_SingleMu22||L1_SingleMu25,1||1,L1_SingleMu22||L1_SingleMu25,1||1,1,1,84286,84286,15.86000,+/-,0.05463,15.86000,+/-,0.05463,0.00000,0.00%,+/-,0.49%,0.0
DST_HT450_PFScouting,L1_HTT200||L1_HTT240||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320,0||0||0||0||1||1,L1_HTT200||L1_HTT240||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320,0||0||0||0||1||1,1,1,2438485,2438485,458.81000,+/-,0.29381,458.81000,+/-,0.29381,0.00000,0.00%,+/-,0.09%,0.0
HLT_Mu17_TrkIsoVVL_TkMu8_TrkIsoVVL,L1_DoubleMu_11_4||L1_DoubleMu_12_5,0||1,L1_DoubleMu_11_4||L1_DoubleMu_12_5,0||1,1,1,123451,123451,23.23000,+/-,0.06612,23.23000,+/-,0.06612,0.00000,0.00%,+/-,0.40%,0.0
HLT_PixelTracks_Multiplicity110ForEndOfFill,L1_ETT35_BptxAND,0,L1_ETT35_BptxAND,0,0,0,0,0,0.00000,+/-,0.00000,0.00000,+/-,0.00000,0.00000,0.00%,+/-,0.00%,N/A
HLT_Mu10_TrkIsoVVL_DiPFJet40_DEta3p5_MJJ750_HTT350_PFMETNoMu60,L1_Mu6_HTT200,1,L1_Mu6_HTT200,1,1,1,1994,1994,0.38000,+/-,0.00851,0.38000,+/-,0.00851,0.00000,0.00%,+/-,3.17%,0.0
AlCa_RPCMuonNormalisation,L1_SingleMu5||L1_SingleMu14er||L1_SingleMu16er||L1_SingleMu18er||L1_SingleMu20er,0||0||200||0||1,L1_SingleMu5||L1_SingleMu14er||L1_SingleMu16er||L1_SingleMu18er||L1_SingleMu20er,0||0||200||0||1,25,25,1888556,1888556,355.34000,+/-,0.25857,355.34000,+/-,0.25857,0.00000,0.00%,+/-,0.10%,0.0
HLT_DiPFJetAve200,L1_SingleJet120,300,L1_SingleJet120,300,3,3,3260,3260,0.61000,+/-,0.01068,0.61000,+/-,0.01068,0.00000,0.00%,+/-,2.48%,0.0
HLT_Mu17_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL,L1_Mu12_EG10,0,L1_Mu12_EG10,0,0,0,0,0,0.00000,+/-,0.00000,0.00000,+/-,0.00000,0.00000,0.00%,+/-,0.00%,N/A
HLT_L2Mu40_NoVertex_3Sta_NoBPTX3BX,L1_SingleMuOpen_NotBptxOR_3BX,1,L1_SingleMuOpen_NotBptxOR_3BX,1,1,1,37809,37809,7.11000,+/-,0.03657,7.11000,+/-,0.03657,0.00000,0.00%,+/-,0.73%,0.0
HLT_MET200,L1_ETM50||L1_ETM60||L1_ETM70||L1_ETM80||L1_ETM90||L1_ETM100||L1_ETM120,0||250||0||0||1||1||1,L1_ETM50||L1_ETM60||L1_ETM70||L1_ETM80||L1_ETM90||L1_ETM100||L1_ETM120,0||250||0||0||1||1||1,1,1,23825,23825,4.48000,+/-,0.02902,4.48000,+/-,0.02902,0.00000,0.00%,+/-,0.92%,0.0
HLT_Dimuon13_Upsilon,L1_DoubleMu_10_0_dEta_Max1p8||L1_DoubleMu_11_4||L1_DoubleMu_12_5,0||0||1,L1_DoubleMu_10_0_dEta_Max1p8||L1_DoubleMu_11_4||L1_DoubleMu_12_5,0||0||1,1,1,49107,49107,9.24000,+/-,0.04170,9.24000,+/-,0.04170,0.00000,0.00%,+/-,0.64%,0.0
HLT_QuadJet45_TripleBTagCSV_p087,L1_QuadJetC50||L1_QuadJetC60||L1_HTT280||L1_HTT300||L1_HTT320||L1_TripleJet_84_68_48_VBF||L1_TripleJet_88_72_56_VBF||L1_TripleJet_92_76_64_VBF,1||1||0||1||1||0||0||1,L1_QuadJetC50||L1_QuadJetC60||L1_HTT280||L1_HTT300||L1_HTT320||L1_TripleJet_84_68_48_VBF||L1_TripleJet_88_72_56_VBF||L1_TripleJet_92_76_64_VBF,1||1||0||1||1||0||0||1,1,1,126412,126412,23.79000,+/-,0.06691,23.79000,+/-,0.06691,0.00000,0.00%,+/-,0.40%,0.0
