Path,Group,Dataset,L1Path,L1Prescale(1.15e34),Steam L1path,Steam L1Prescale,WBM hltPrescale(1.15e34),Steam hltPrescale,Wbm Count,Wbm prescaled Count,Steam Count,,Data Rate (Hz),,,Steam Rate (Hz),,abs(Data-Steam)(Hz),,Bias : (data-steam)/max(data;steam),,Pull
HLT_AK8PFJet360_TrimMass30,"B2G","OnlineMonitor,JetHT",L1_SingleJet180||L1_SingleJet200,1||1,L1_SingleJet180||L1_SingleJet200, 1||1,1,1,50646,135,132,9.53,+/-,0.04,9.30,+/-,0.81,0.22859,2.40%,+/-,8.30%,0.282359164018
HLT_DoubleJetsC100_DoubleBTagCSV_p026_DoublePFJetsC160,"Higgs,Analysis","OnlineMonitor,BTagCSV",L1_DoubleJetC100,1,L1_DoubleJetC100, 1,1,1,50297,134,130,9.46,+/-,0.04,9.16,+/-,0.80,0.29952,3.17%,+/-,8.24%,0.372807691576
HLT_Photon165_HE10,"Egamma","OnlineMonitor,SinglePhoton",L1_SingleEG30||L1_SingleEG32||L1_SingleEG34||L1_SingleEG36||L1_SingleEG38||L1_SingleEG40||L1_SingleJet170||L1_SingleJet180||L1_SingleJet200||L1_SingleTau100er||L1_SingleTau120er,0||1||1||1||1||1||1||1||1||0||1,L1_SingleEG30||L1_SingleEG32||L1_SingleEG34||L1_SingleEG36||L1_SingleEG38||L1_SingleEG40||L1_SingleJet170||L1_SingleJet180||L1_SingleJet200||L1_SingleTau100er||L1_SingleTau120er, 1||1||1||1||1||1||1||1||1||1||1,1,1,50225,134,131,9.45,+/-,0.04,9.23,+/-,0.81,0.21906,2.32%,+/-,8.35%,0.271612544483
HLT_Dimuon13_Upsilon,"BPH","OnlineMonitor,MuOnia",L1_DoubleMu_10_0_dEta_Max1p8||L1_DoubleMu_11_4||L1_DoubleMu_12_5,0||1||1,L1_DoubleMu_10_0_dEta_Max1p8||L1_DoubleMu_11_4||L1_DoubleMu_12_5, 0||1||1,1,1,49107,131,137,9.24,+/-,0.04,9.65,+/-,0.82,0.41373,4.29%,+/-,8.19%,0.501631547479
HLT_Ele20_eta2p1_WPLoose_Gsf_LooseIsoPFTau28,"Tau,HIG,EXO","OnlineMonitor,SingleElectron",L1_IsoEG18er_IsoTau24er_dEta_Min0p2,1,L1_IsoEG18er_IsoTau24er_dEta_Min0p2, 1,1,1,48467,129,127,9.12,+/-,0.04,8.95,+/-,0.79,0.17092,1.87%,+/-,8.56%,0.215235868032
AlCa_DoubleEle_CaloIdL_TrackIdL_IsoVL_DZ,null,null,L1_DoubleEG_15_10||L1_DoubleEG_18_17||L1_DoubleEG_20_18||L1_DoubleEG_22_10||L1_DoubleEG_22_12||L1_DoubleEG_22_15 ||L1_DoubleEG_23_10||L1_DoubleEG_24_17||L1_DoubleEG_25_12,0||0||0||0||0||0 ||1||1||1,, ,1,-1,48035,128,0,9.04,+/-,0.04,0.00,+/-,0.00,9.04000,100.00%,+/-,0.46%,No rates in Steam
HLT_IsoMu19_eta2p1_LooseIsoPFTau20_SingleL1,"TAU,HIG","OnlineMonitor,SingleMuon",L1_SingleMu18er||L1_SingleMu20er,0||1,L1_SingleMu18er||L1_SingleMu20er, 1||1,1,1,47667,127,129,8.97,+/-,0.04,9.09,+/-,0.80,0.12001,1.32%,+/-,8.70%,0.149951815561
HLT_DoubleEle33_CaloIdL_GsfTrkIdVL_MW,"EXO","OnlineMonitor,EventDisplay,DoubleEG",L1_SingleEG26||L1_SingleEG30||L1_SingleEG32||L1_SingleEG34||L1_SingleEG36||L1_SingleEG38||L1_SingleEG40||L1_DoubleEG_18_17||L1_DoubleEG_20_18||L1_DoubleEG_22_10||L1_DoubleEG_22_12||L1_DoubleEG_22_12||L1_DoubleEG_22_15||L1_DoubleEG_23_10||L1_DoubleEG_24_17||L1_DoubleEG_25_12||L1_SingleJet170||L1_SingleJet180||L1_SingleJet200||L1_SingleTau100er||L1_SingleTau120er,350||0||1||1||1||1||1||0||0||0||0||0||0||1||1||1||1||1||1||0||1,L1_SingleEG26||L1_SingleEG30||L1_SingleEG32||L1_SingleEG34||L1_SingleEG36||L1_SingleEG38||L1_SingleEG40||L1_DoubleEG_18_17||L1_DoubleEG_20_18||L1_DoubleEG_22_10||L1_DoubleEG_22_12||L1_DoubleEG_22_12||L1_DoubleEG_22_15||L1_DoubleEG_23_10||L1_DoubleEG_24_17||L1_DoubleEG_25_12||L1_SingleJet170||L1_SingleJet180||L1_SingleJet200||L1_SingleTau100er||L1_SingleTau120er, 300||1||1||1||1||1||1||1||1||1||1||1||1||1||1||0||1||1||1||1||1,1,1,47067,125,123,8.86,+/-,0.04,8.67,+/-,0.78,0.19278,2.18%,+/-,8.64%,0.246680632553
HLT_MonoCentralPFJet80_PFMETNoMu110_PFMHTNoMu110_IDTight,"EXO","OnlineMonitor,MET",L1_ETM50||L1_ETM60||L1_ETM70||L1_ETM75||L1_ETM80||L1_ETM85||L1_ETM90||L1_ETM95||L1_ETM100||L1_ETM75_Jet60_dPhi_Min0p4||L1_DoubleJetC60_ETM60,0||200||0||0||1||1||1||1||1||0||0,L1_ETM50||L1_ETM60||L1_ETM70||L1_ETM75||L1_ETM80||L1_ETM85||L1_ETM90||L1_ETM95||L1_ETM100||L1_ETM75_Jet60_dPhi_Min0p4||L1_DoubleJetC60_ETM60, 0||150||0||0||1||0||1||0||1||0||1,1,1,46842,125,137,8.81,+/-,0.04,9.65,+/-,0.82,0.84373,8.74%,+/-,7.81%,1.02298646049
HLT_Photon175,"Egamma","OnlineMonitor,SinglePhoton",L1_SingleEG30||L1_SingleEG32||L1_SingleEG34||L1_SingleEG36||L1_SingleEG38||L1_SingleEG40||L1_SingleJet170||L1_SingleJet180||L1_SingleJet200||L1_SingleTau100er||L1_SingleTau120er,0||1||1||1||1||1||1||1||1||0||1,L1_SingleEG30||L1_SingleEG32||L1_SingleEG34||L1_SingleEG36||L1_SingleEG38||L1_SingleEG40||L1_SingleJet170||L1_SingleJet180||L1_SingleJet200||L1_SingleTau100er||L1_SingleTau120er, 1||1||1||1||1||1||1||1||1||1||1,1,1,46400,123,125,8.73,+/-,0.04,8.81,+/-,0.79,0.07815,0.89%,+/-,8.88%,0.0991974925111
HLT_Ele22_eta2p1_WPLoose_Gsf_LooseIsoPFTau29,"Tau,HIG,EXO","OnlineMonitor,SingleElectron",L1_IsoEG20er_IsoTau25er_dEta_Min0p2,1,L1_IsoEG20er_IsoTau25er_dEta_Min0p2, 1,1,1,43669,116,114,8.22,+/-,0.04,8.03,+/-,0.75,0.18697,2.27%,+/-,8.96%,0.248506501675
HLT_Mu40_TkMu11,"EXO","OnlineMonitor,EventDisplay,DoubleMuon",L1_SingleMu22||L1_SingleMu25,1||1,L1_SingleMu22||L1_SingleMu25, 1||1,1,1,43493,116,102,8.18,+/-,0.04,7.19,+/-,0.71,0.99255,12.13%,+/-,7.66%,1.39468888581
HLT_LooseIsoPFTau50_Trk30_eta2p1_MET90,"null","OnlineMonitor,Tau",L1_ETM80||L1_ETM90||L1_ETM100,1||1||1,L1_ETM80||L1_ETM90||L1_ETM100, 1||1||1,1,1,43048,114,134,8.10,+/-,0.04,9.44,+/-,0.82,1.34234,14.22%,+/-,7.42%,1.6456386713
HLT_L2Mu35_NoVertex_3Sta_NoBPTX3BX,"EXO","OnlineMonitor,NoBPTX",L1_SingleMuOpen_NotBptxOR_3BX,1,L1_SingleMuOpen_NotBptx||_3BX, 0||_3BX,1,1,42889,114,122,8.07,+/-,0.04,8.60,+/-,0.78,0.52675,6.13%,+/-,8.51%,0.676789731391
HLT_Mu17_Mu8_SameSign,"null","OnlineMonitor,DoubleMuon",L1_DoubleMu_11_4||L1_DoubleMu_12_5,1||1,L1_DoubleMu_11_4||L1_DoubleMu_12_5, 1||1,1,1,42612,113,103,8.02,+/-,0.04,7.26,+/-,0.72,0.76208,9.50%,+/-,8.08%,1.06563785033
HLT_PFMET110_PFMHT110_IDTight,"HIG ,Hbb","OnlineMonitor,MET",L1_ETM50||L1_ETM60||L1_ETM70||L1_ETM75||L1_ETM80||L1_ETM85||L1_ETM90||L1_ETM95||L1_ETM100||L1_ETM75_Jet60_dPhi_Min0p4||L1_DoubleJetC60_ETM60,0||200||0||0||1||1||1||1||1||0||0,L1_ETM50||L1_ETM60||L1_ETM70||L1_ETM75||L1_ETM80||L1_ETM85||L1_ETM90||L1_ETM95||L1_ETM100||L1_ETM75_Jet60_dPhi_Min0p4||L1_DoubleJetC60_ETM60, 0||150||0||0||1||0||1||0||1||0||1,1,1,42594,113,122,8.01,+/-,0.04,8.60,+/-,0.78,0.58675,6.83%,+/-,8.45%,0.753879480728
HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq500,"HIG ,Hbb","OnlineMonitor,HLTMonitor,BTagCSV",L1_TripleJet_84_68_48_VBF||L1_TripleJet_88_72_56_VBF||L1_TripleJet_92_76_64_VBF||L1_HTT280||L1_HTT300||L1_HTT320||L1_SingleJet170||L1_SingleJet180||L1_SingleJet200||L1_DoubleJetC100||L1_DoubleJetC112||L1_DoubleJetC120,0||1||1||0||1||1||1||1||1||1||1||1,L1_TripleJet_84_68_48_VBF||L1_TripleJet_88_72_56_VBF||L1_TripleJet_92_76_64_VBF||L1_HTT280||L1_HTT300||L1_HTT320||L1_SingleJet170||L1_SingleJet180||L1_SingleJet200||L1_DoubleJetC100||L1_DoubleJetC112||L1_DoubleJetC120, 1||1||1||1||1||1||1||1||1||1||1||1,1,1,41613,111,110,7.83,+/-,0.04,7.75,+/-,0.74,0.07883,1.01%,+/-,9.36%,0.106661632138
HLT_CaloJet500_NoJetID,"null","OnlineMonitor,JetHT",L1_SingleJet170||L1_SingleJet180||L1_SingleJet200,1||1||1,L1_SingleJet170||L1_SingleJet180||L1_SingleJet200, 1||1||1,1,1,40759,108,94,7.67,+/-,0.04,6.62,+/-,0.68,1.04627,13.64%,+/-,7.71%,1.53145966454
HLT_AK8PFJet500,"SMP","OnlineMonitor,JetHT",L1_SingleJet170||L1_SingleJet180||L1_SingleJet200,1||1||1,L1_SingleJet170||L1_SingleJet180||L1_SingleJet200, 1||1||1,1,1,40688,108,102,7.66,+/-,0.04,7.19,+/-,0.71,0.47255,6.17%,+/-,8.73%,0.664006637823
HLT_IsoMu21_eta2p1_LooseIsoPFTau20_SingleL1,"TAU,HIG","OnlineMonitor,SingleMuon",L1_SingleMu20er||L1_SingleMu22er,1||1,L1_SingleMu20er||L1_SingleMu22er, 1||1,1,1,40477,108,108,7.62,+/-,0.04,7.61,+/-,0.73,0.00976,0.13%,+/-,9.61%,0.0133254600422
HLT_DoubleJetsC112_DoubleBTagCSV_p026_DoublePFJetsC172,"Higgs,Analysis","OnlineMonitor,BTagCSV",L1_DoubleJetC112,1,L1_DoubleJetC112, 1,1,1,40283,107,110,7.58,+/-,0.04,7.75,+/-,0.74,0.17117,2.21%,+/-,9.34%,0.231612637142
DST_ZeroBias_CaloScouting_PFScouting,null,null,L1_ZeroBias,15923,, ,200,-1,39778,106,0,7.48,+/-,0.04,0.00,+/-,0.00,7.48000,100.00%,+/-,0.50%,No rates in Steam
HLT_PFHT650_WideJetMJJ950DEtaJJ1p5,"EXO","OnlineMonitor,JetHT",L1_HTT160||L1_HTT200||L1_HTT220||L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320,10000||0||7000||0||0||0||0||1||1,L1_HTT160||L1_HTT200||L1_HTT220||L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320, 9500||0||6500||0||0||0||1||1||1,1,1,39780,106,91,7.48,+/-,0.04,6.41,+/-,0.67,1.06767,14.27%,+/-,7.72%,1.58832826649
HLT_Dimuon0_Upsilon_Muon,"BPH","OnlineMonitor,MuOnia",L1_TripleMu0||L1_TripleMu_5_0_0,1||1,L1_TripleMu0||L1_TripleMu_5_0_0, 1||0,1,1,39492,105,107,7.43,+/-,0.04,7.54,+/-,0.73,0.10978,1.46%,+/-,9.54%,0.150606341687
HLT_Mu17_Photon30_CaloIdL_L1ISO,"HIG","OnlineMonitor,MuonEG",L1_Mu5_IsoEG18||L1_Mu5_IsoEG20,1||1,L1_Mu5_IsoEG18||L1_Mu5_IsoEG20, 1||1,1,1,38890,103,94,7.32,+/-,0.04,6.62,+/-,0.68,0.69627,9.51%,+/-,8.46%,1.01915369547
HLT_Ele27_eta2p1_WPLoose_Gsf_HT200,"ttH","OnlineMonitor,SingleElectron",L1_EG27er_HTT200||L1_HTT280||L1_HTT300,1||0||1,L1_EG27er_HTT200||L1_HTT280||L1_HTT300, 1||1||1,1,1,38920,103,107,7.32,+/-,0.04,7.54,+/-,0.73,0.21978,2.91%,+/-,9.40%,0.301519147881
HLT_L2Mu40_NoVertex_3Sta_NoBPTX3BX,"EXO","OnlineMonitor,NoBPTX",L1_SingleMuOpen_NotBptxOR_3BX,1,L1_SingleMuOpen_NotBptx||_3BX, 0||_3BX,1,1,37809,100,105,7.11,+/-,0.04,7.40,+/-,0.72,0.28885,3.90%,+/-,9.39%,0.400034391105
HLT_IsoMu19_eta2p1_LooseIsoPFTau20,"TAU,HIG","OnlineMonitor,SingleMuon",L1_Mu18er_Tau20er,1,L1_Mu18er_Tau20er, 1,1,1,37376,99,103,7.03,+/-,0.04,7.26,+/-,0.72,0.22792,3.14%,+/-,9.56%,0.318699321902
HLT_Photon90_CaloIdL_PFHT600,"SUS,EXO","OnlineMonitor,SinglePhoton",L1_SingleEG34||L1_SingleEG40,1||1,L1_SingleEG34||L1_SingleEG40, 1||1,1,1,36571,97,100,6.88,+/-,0.04,7.05,+/-,0.70,0.16652,2.36%,+/-,9.78%,0.236315514012
HLT_PFMET170_HBHECleaned,"JME","OnlineMonitor,EventDisplay,MET",L1_ETM50||L1_ETM60||L1_ETM70||L1_ETM80||L1_ETM90||L1_ETM100,0||200||0||1||1||1,L1_ETM50||L1_ETM60||L1_ETM70||L1_ETM80||L1_ETM90||L1_ETM100, 0||150||0||1||1||1,1,1,35284,94,106,6.64,+/-,0.04,7.47,+/-,0.73,0.82931,11.10%,+/-,8.65%,1.1431152273
HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL,"HIG","OnlineMonitor,MuonEG",L1_Mu5_EG20||L1_Mu5_IsoEG18||L1_Mu5_IsoEG20||L1_Mu5_EG23,1||1||1||1,L1_Mu5_EG20||L1_Mu5_IsoEG18||L1_Mu5_IsoEG20||L1_Mu5_EG23, 1||1||1||1,1,1,35216,94,90,6.63,+/-,0.04,6.34,+/-,0.67,0.28813,4.35%,+/-,9.66%,0.431017854006
HLT_Mu15_IsoVVVL_PFHT400,"SUS","OnlineMonitor,SingleMuon",L1_SingleMuOpen,24000,L1_SingleMuOpen, 20000,1,1,34797,92,86,6.55,+/-,0.04,6.06,+/-,0.65,0.48999,7.48%,+/-,9.25%,0.749834840233
HLT_RsqMR270_Rsq0p09_MR200,"SUS","OnlineMonitor,HTMHT",L1_HTT160||L1_HTT200||L1_HTT220||L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_SingleJet120||L1_SingleJet140||L1_SingleJet150||L1_SingleJet160||L1_SingleJet170||L1_SingleJet180||L1_SingleJet200||L1_DoubleJetC80||L1_DoubleJetC100||L1_QuadJetC40||L1_QuadJetC50||L1_QuadJetC60||L1_Mu6_HTT200||L1_Mu8_HTT150||L1_EG27er_HTT200||L1_EG25er_HTT125||L1_DoubleEG6_HTT255,10000||0||7000||0||0||0||0||1||150||0||0||1||1||1||1||0||1||0||1||1||1||0||1||0||1,L1_HTT160||L1_HTT200||L1_HTT220||L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_SingleJet120||L1_SingleJet140||L1_SingleJet150||L1_SingleJet160||L1_SingleJet170||L1_SingleJet180||L1_SingleJet200||L1_DoubleJetC80||L1_DoubleJetC100||L1_QuadJetC40||L1_QuadJetC50||L1_QuadJetC60||L1_Mu6_HTT200||L1_Mu8_HTT150||L1_EG27er_HTT200||L1_EG25er_HTT125||L1_DoubleEG6_HTT255, 9500||0||6500||0||0||0||1||1||100||0||0||1||1||1||1||0||1||0||1||1||1||0||1||0||1,1,1,34730,92,90,6.53,+/-,0.04,6.34,+/-,0.67,0.18813,2.88%,+/-,9.96%,0.281427343682
HLT_Ele45_CaloIdVT_GsfTrkIdT_PFJet200_PFJet50,"B2G","OnlineMonitor,SingleElectron",L1_SingleEG40,1,L1_SingleEG40, 1,1,1,34354,91,84,6.46,+/-,0.03,5.92,+/-,0.65,0.54092,8.37%,+/-,9.18%,0.837570024561
HLT_PFMETNoMu120_PFMHTNoMu120_IDTight,"EXO","OnlineMonitor,MET",L1_ETM50||L1_ETM60||L1_ETM70||L1_ETM75||L1_ETM80||L1_ETM85||L1_ETM90||L1_ETM95||L1_ETM100||L1_ETM75_Jet60_dPhi_Min0p4||L1_DoubleJetC60_ETM60,0||200||0||0||1||1||1||1||1||0||0,L1_ETM50||L1_ETM60||L1_ETM70||L1_ETM75||L1_ETM80||L1_ETM85||L1_ETM90||L1_ETM95||L1_ETM100||L1_ETM75_Jet60_dPhi_Min0p4||L1_DoubleJetC60_ETM60, 0||150||0||0||1||0||1||0||1||0||1,1,1,34193,91,96,6.43,+/-,0.03,6.76,+/-,0.69,0.33466,4.95%,+/-,9.71%,0.484721970701
HLT_DoublePhoton60,"null","OnlineMonitor,DoubleEG",L1_SingleEG30||L1_SingleEG32||L1_SingleEG34||L1_SingleEG36||L1_SingleEG38||L1_SingleEG40||L1_DoubleEG_18_17||L1_DoubleEG_20_18||L1_DoubleEG_22_10||L1_DoubleEG_22_12||L1_DoubleEG_22_15||L1_DoubleEG_23_10||L1_DoubleEG_24_17||L1_DoubleEG_25_12||L1_SingleJet170||L1_SingleJet180||L1_SingleJet200||L1_SingleTau100er||L1_SingleTau120er,0||1||1||1||1||1||0||0||0||0||0||1||1||1||1||1||1||0||1,L1_SingleEG30||L1_SingleEG32||L1_SingleEG34||L1_SingleEG36||L1_SingleEG38||L1_SingleEG40||L1_DoubleEG_18_17||L1_DoubleEG_20_18||L1_DoubleEG_22_10||L1_DoubleEG_22_12||L1_DoubleEG_22_15||L1_DoubleEG_23_10||L1_DoubleEG_24_17||L1_DoubleEG_25_12||L1_SingleJet170||L1_SingleJet180||L1_SingleJet200||L1_SingleTau100er||L1_SingleTau120er, 1||1||1||1||1||1||1||1||1||1||1||1||1||0||1||1||1||1||1,1,1,33853,90,73,6.37,+/-,0.03,5.14,+/-,0.60,1.22604,19.25%,+/-,7.65%,2.03642582859
HLT_DoubleMu4_3_Jpsi_Displaced,"BPH","OnlineMonitor,Charmonium",L1_DoubleMu_10_0_dEta_Max1p8||L1_DoubleMu0er1p6_dEta_Max1p8_OS||L1_DoubleMu0er1p4_dEta_Max1p8_OS||L1_DoubleMu_11_4||L1_DoubleMu_12_5,0||0||1||1||1,L1_DoubleMu_10_0_dEta_Max1p8||L1_DoubleMu0er1p6_dEta_Max1p8_OS||L1_DoubleMu0er1p4_dEta_Max1p8_OS||L1_DoubleMu_11_4||L1_DoubleMu_12_5, 0||1||0||1||1,7,5,33620,89,77,6.33,+/-,0.03,1.09,+/-,0.12,5.24484,82.86%,+/-,0.64%,42.4113253032
HLT_DiCentralPFJet330_CFMax0p5,"EXO.","OnlineMonitor,JetHT",L1_DoubleJetC100||L1_DoubleJetC112||L1_DoubleJetC120||L1_SingleJet200,1||1||1||1,L1_DoubleJetC100||L1_DoubleJetC112||L1_DoubleJetC120||L1_SingleJet200, 1||1||1||1,1,1,33029,88,89,6.21,+/-,0.03,6.27,+/-,0.66,0.06140,0.98%,+/-,10.51%,0.0923676208735
HLT_Ele24_eta2p1_WPLoose_Gsf_LooseIsoPFTau30,"null","OnlineMonitor,SingleElectron",L1_IsoEG22er_IsoTau26er_dEta_Min0p2,1,L1_IsoEG22er_IsoTau26er_dEta_Min0p2, 1,1,1,32941,87,83,6.20,+/-,0.03,5.85,+/-,0.64,0.35139,5.67%,+/-,9.78%,0.547360512047
HLT_Mu17_Photon35_CaloIdL_L1ISO,"EXO","OnlineMonitor,MuonEG",L1_Mu5_IsoEG18||L1_Mu5_IsoEG20,1||1,L1_Mu5_IsoEG18||L1_Mu5_IsoEG20, 1||1,1,1,31769,84,76,5.98,+/-,0.03,5.36,+/-,0.61,0.62464,10.45%,+/-,9.22%,1.01683742756
HLT_MonoCentralPFJet80_PFMETNoMu120_PFMHTNoMu120_IDTight,"EXO","OnlineMonitor,MET",L1_ETM50||L1_ETM60||L1_ETM70||L1_ETM75||L1_ETM80||L1_ETM85||L1_ETM90||L1_ETM95||L1_ETM100||L1_ETM75_Jet60_dPhi_Min0p4||L1_DoubleJetC60_ETM60,0||200||0||0||1||1||1||1||1||0||0,L1_ETM50||L1_ETM60||L1_ETM70||L1_ETM75||L1_ETM80||L1_ETM85||L1_ETM90||L1_ETM95||L1_ETM100||L1_ETM75_Jet60_dPhi_Min0p4||L1_DoubleJetC60_ETM60, 0||150||0||0||1||0||1||0||1||0||1,1,1,31736,84,88,5.97,+/-,0.03,6.20,+/-,0.66,0.23094,3.72%,+/-,10.28%,0.349364641538
HLT_PFJet500,"SMP","OnlineMonitor,EventDisplay,JetHT",L1_SingleJet170||L1_SingleJet180||L1_SingleJet200,1||1||1,L1_SingleJet170||L1_SingleJet180||L1_SingleJet200, 1||1||1,1,1,31562,84,80,5.94,+/-,0.03,5.64,+/-,0.63,0.30278,5.10%,+/-,10.09%,0.480411054815
HLT_Mu38NoFiltersNoVtx_DisplacedJet60_Loose,"EXO","OnlineMonitor,SingleMuon",L1_SingleMu22||L1_SingleMu25,1||1,L1_SingleMu22||L1_SingleMu25, 1||1,1,1,31478,84,98,5.92,+/-,0.03,6.91,+/-,0.70,0.98559,14.27%,+/-,8.67%,1.41289035695
HLT_CaloMHTNoPU90_PFMET90_PFMHT90_IDTight_BTagCSV_p067,"HIG ,Hbb","OnlineMonitor,MET",L1_ETM50||L1_ETM60||L1_ETM70||L1_ETM75||L1_ETM80||L1_ETM85||L1_ETM90||L1_ETM95||L1_ETM100||L1_ETM75_Jet60_dPhi_Min0p4||L1_DoubleJetC60_ETM60,0||200||0||0||1||1||1||1||1||0||0,L1_ETM50||L1_ETM60||L1_ETM70||L1_ETM75||L1_ETM80||L1_ETM85||L1_ETM90||L1_ETM95||L1_ETM100||L1_ETM75_Jet60_dPhi_Min0p4||L1_DoubleJetC60_ETM60, 0||150||0||0||1||0||1||0||1||0||1,1,1,31225,83,75,5.88,+/-,0.03,5.28,+/-,0.61,0.59511,10.12%,+/-,9.35%,0.975195756819
HLT_BTagMu_DiJet110_Mu5,"BTV","OnlineMonitor,BTagMu",L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4,18,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4, 15,1,1,30444,81,75,5.73,+/-,0.03,5.28,+/-,0.61,0.44511,7.77%,+/-,9.84%,0.729393466138
HLT_PFHT250_DiPFJetAve90_PFAlphaT0p58,"SUS","OnlineMonitor,HTMHT",L1_HTT160||L1_HTT200||L1_HTT220||L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_ETM50||L1_ETM60||L1_ETM70||L1_ETM80||L1_ETM90||L1_ETM100,10000||0||7000||0||0||0||0||1||0||200||0||1||1||1,L1_HTT160||L1_HTT200||L1_HTT220||L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_ETM50||L1_ETM60||L1_ETM70||L1_ETM80||L1_ETM90||L1_ETM100, 9500||0||6500||0||0||0||1||1||0||150||0||1||1||1,1,1,30086,80,85,5.66,+/-,0.03,5.99,+/-,0.65,0.32954,5.50%,+/-,10.26%,0.507255585369
HLT_PFMET170_HBHE_BeamHaloCleaned,"JME","OnlineMonitor,MET",L1_ETM50||L1_ETM60||L1_ETM70||L1_ETM80||L1_ETM90||L1_ETM100,0||200||0||1||1||1,L1_ETM50||L1_ETM60||L1_ETM70||L1_ETM80||L1_ETM90||L1_ETM100, 0||150||0||1||1||1,1,1,29860,79,94,5.62,+/-,0.03,6.62,+/-,0.68,1.00373,15.15%,+/-,8.77%,1.46918958288
HLT_PFHT300_PFMET110,"SUS,EXO","OnlineMonitor,HTMHT",L1_HTT160||L1_HTT200||L1_HTT220||L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320,10000||0||7000||0||0||0||0||1||1,L1_HTT160||L1_HTT200||L1_HTT220||L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320, 9500||0||6500||0||0||0||1||1||1,1,1,29258,78,77,5.51,+/-,0.03,5.43,+/-,0.62,0.08418,1.53%,+/-,11.07%,0.136140073773
HLT_Mu17_Mu8_SameSign_DZ,"null","OnlineMonitor,DoubleMuon",L1_DoubleMu_11_4||L1_DoubleMu_12_5,1||1,L1_DoubleMu_11_4||L1_DoubleMu_12_5, 1||1,1,1,28553,76,68,5.37,+/-,0.03,4.79,+/-,0.58,0.57837,10.77%,+/-,9.67%,0.995345351623
DST_L1HTT_CaloScouting_PFScouting,null,null,L1_HTT200||L1_HTT240||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320,0||0||0||0||1||1,, ,1000,-1,28221,75,0,5.31,+/-,0.03,0.00,+/-,0.00,5.31000,100.00%,+/-,0.60%,No rates in Steam
HLT_Ele15_IsoVVVL_PFHT400,"SUS","OnlineMonitor,SingleElectron",L1_SingleEG5,60000,L1_SingleEG5, 50000,1,1,27479,73,71,5.17,+/-,0.03,5.00,+/-,0.59,0.16697,3.23%,+/-,11.13%,0.28121357054
HLT_PFMET120_PFMHT120_IDTight,"null","OnlineMonitor,HLTMonitor,MET",L1_ETM50||L1_ETM60||L1_ETM70||L1_ETM75||L1_ETM80||L1_ETM85||L1_ETM90||L1_ETM95||L1_ETM100||L1_ETM120||L1_ETM75_Jet60_dPhi_Min0p4||L1_DoubleJetC60_ETM60,0||200||0||0||1||1||1||1||1||1||0||0,L1_ETM50||L1_ETM60||L1_ETM70||L1_ETM75||L1_ETM80||L1_ETM85||L1_ETM90||L1_ETM95||L1_ETM100||L1_ETM120||L1_ETM75_Jet60_dPhi_Min0p4||L1_DoubleJetC60_ETM60, 0||150||0||0||1||0||1||0||1||1||0||1,1,1,27164,72,76,5.11,+/-,0.03,5.36,+/-,0.61,0.24536,4.58%,+/-,10.96%,0.399405502831
HLT_DoubleIsoMu17_eta2p1_noDzCut,"null","OnlineMonitor,SingleMuon",L1_DoubleMu_12_5,1,L1_DoubleMu_12_5, 1,1,1,26917,71,73,5.06,+/-,0.03,5.14,+/-,0.60,0.08396,1.63%,+/-,11.53%,0.139455292569
DST_L1HTT_CaloBTagScouting,null,null,L1_HTT200||L1_HTT240||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320,0||0||0||0||1||1,, ,1000,-1,26529,70,0,4.99,+/-,0.03,0.00,+/-,0.00,4.99000,100.00%,+/-,0.61%,No rates in Steam
HLT_BTagMu_AK8Jet300_Mu5,"BTV","OnlineMonitor,BTagMu",L1_SingleJet200,1,L1_SingleJet200, 1,1,1,26194,69,66,4.93,+/-,0.03,4.65,+/-,0.57,0.27930,5.67%,+/-,10.97%,0.487886814118
HLT_BTagMu_DiJet170_Mu5,"BTV","OnlineMonitor,BTagMu",L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4,1,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4, 1,4,3,26183,69,65,4.93,+/-,0.03,1.53,+/-,0.19,3.40325,69.03%,+/-,1.34%,17.9714960955
