Path,L1Path,L1Prescale(2e33),Steam L1path,Steam L1Prescale,WBM hltPrescale(2e33),Steam hltPrescale,,Data Rate (Hz),,,Steam Rate (Hz),,,Steam Rate hltPrescaled(Hz),,,Bias(data-steam)
HLT_Ele32_eta2p1_WPTight_Gsf,L1_SingleIsoEG30er,1,L1_SingleIsoEG30er OR L1_SingleEG40, 1|1,1,1,12.70,+/-,0.02,12.90,+/-,0.36,12.90,+/-,0.36,1.56%,+/-,2.78%
HLT_Dimuon10_Jpsi_Barrel,L1_DoubleMu0_Eta1p6_WdEta18 OR L1_DoubleMu0,1 | 60,L1_DoubleMu0_Eta1p6_WdEta18, 1,1,1,12.44,+/-,0.02,12.55,+/-,0.36,12.55,+/-,0.36,0.82%,+/-,2.84%
HLT_HT450to470,L1_HTT125 OR L1_HTT150,1 | 1,L1_HTT125 OR L1_HTT150 OR L1_HTT175, 1|1|1,1,1,11.39,+/-,0.02,11.05,+/-,0.34,11.05,+/-,0.34,2.95%,+/-,2.88%
HLT_Ele30WP60_SC4_Mass55,L1_SingleEG25,1,L1_SingleEG25 OR L1_SingleIsoEG30er, 1|1,1,1,9.19,+/-,0.02,9.74,+/-,0.32,9.74,+/-,0.32,5.62%,+/-,3.07%
HLT_DoubleMu4_LowMassNonResonantTrk_Displaced,L1_DoubleMu0_Eta1p6_WdEta18 OR L1_DoubleMu0,1 | 60,L1_DoubleMu0_Eta1p6_WdEta18 OR L1_DoubleMu0_Eta1p6_WdEta18_OS OR L1_DoubleMu_10_0_WdEta18, 1|1|1,1,1,8.85,+/-,0.02,8.93,+/-,0.30,8.93,+/-,0.30,0.82%,+/-,3.37%
HLT_AK8DiPFJet250_200_TrimMass30_BTagCSV0p45,L1_SingleJet200 OR L1_SingleJet176,1 | 1,L1_SingleJet176 OR L1_SingleJet200, 1|1,1,1,8.03,+/-,0.02,7.37,+/-,0.27,7.37,+/-,0.27,8.17%,+/-,3.15%
HLT_DoubleMu4_3_Jpsi_Displaced,L1_DoubleMu0_Eta1p6_WdEta18 OR L1_DoubleMu0,1 | 60,L1_DoubleMu0_Eta1p6_WdEta18 OR L1_DoubleMu0_Eta1p6_WdEta18_OS OR L1_DoubleMu_10_0_WdEta18, 1|1|1,1,1,7.28,+/-,0.02,7.19,+/-,0.27,7.19,+/-,0.27,1.30%,+/-,3.69%
HLT_Mu45_eta2p1,L1_SingleMu16 OR L1_SingleMu25,1 | 1,L1_SingleMu16 OR L1_SingleMu25, 1|1,1,1,7.05,+/-,0.02,6.86,+/-,0.27,6.86,+/-,0.27,2.75%,+/-,3.66%
HLT_HcalCalibration,,,none, -1|,1,1,6.59,+/-,0.02,0.00,+/-,0.00,0.00,+/-,0.00,100.00%,+/-,0.26%
HLT_Mu20,L1_SingleMu16,1,L1_SingleMu16, 1,20,20,6.42,+/-,0.02,124.97,+/-,1.13,6.25,+/-,0.06,2.72%,+/-,0.90%
HLT_Photon36_R9Id90_HE10_Iso40_EBOnly_PFMET40,L1_SingleEG30,1,L1_SingleEG30, 1,1,1,5.95,+/-,0.02,6.13,+/-,0.25,6.13,+/-,0.25,2.95%,+/-,3.98%
