Prescale,Path,Dataset,Group,,Total,,,HLTPhysics0,,,HLTPhysics1,
1,HLT_DoubleEle37_Ele27_CaloIdL_GsfTrkIdVL_v6,"OnlineMonitor,DoubleEG",EXO,25.44,+/-,1.42,29.30,+/-,2.15,21.58,+/-,1.84
1,HLT_DoubleMu4_JpsiTrk_Displaced_v5,"OnlineMonitor,Charmonium",BPH,25.20,+/-,1.41,25.52,+/-,2.00,24.89,+/-,1.98
1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v4,"OnlineMonitor,DoubleMuon",MUO,24.89,+/-,1.40,24.26,+/-,1.95,25.52,+/-,2.00
1,HLT_TkMu50_v3,"OnlineMonitor,SingleMuon","EXO,SMP,MUO",23.78,+/-,1.37,25.52,+/-,2.00,22.05,+/-,1.86
1,HLT_AK8PFHT700_TrimR0p1PT0p03Mass50_v6,"OnlineMonitor,JetHT",B2G,23.47,+/-,1.36,26.15,+/-,2.03,20.79,+/-,1.81
1,HLT_Diphoton30_18_R9Id_OR_IsoCaloId_AND_HE_R9Id_Mass90_v6,"OnlineMonitor,DoubleEG",null,22.37,+/-,1.33,24.89,+/-,1.98,19.85,+/-,1.77
1,HLT_VLooseIsoPFTau140_Trk50_eta2p1_v3,"OnlineMonitor,Tau",null,22.29,+/-,1.32,21.74,+/-,1.85,22.84,+/-,1.90
1,HLT_PFHT750_4JetPt50_v6,"OnlineMonitor,JetHT",EXO,21.74,+/-,1.31,24.41,+/-,1.96,19.06,+/-,1.73
1,HLT_PFHT900_v4,"OnlineMonitor,JetHT",SUS,20.16,+/-,1.26,22.05,+/-,1.86,18.27,+/-,1.70
1,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v7,"OnlineMonitor,MuonEG",HIG,19.53,+/-,1.24,20.16,+/-,1.78,18.90,+/-,1.73
1,HLT_ZeroBias_FirstCollisionInTrain_v1,"OnlineMonitor,ZeroBiasFirstBunchInTrain",null,18.66,+/-,1.21,20.32,+/-,1.79,17.01,+/-,1.64
1,HLT_DoubleMu3_Trk_Tau3mu_v3,"OnlineMonitor,DoubleMuonLowMass",BPH,18.59,+/-,1.21,18.43,+/-,1.70,18.74,+/-,1.72
1,HLT_ZeroBias_FirstBXAfterTrain_v1,"OnlineMonitor,ZeroBiasFirstBunchAfterTrain",null,18.51,+/-,1.21,18.59,+/-,1.71,18.43,+/-,1.70
1,HLT_Diphoton30EB_18EB_R9Id_OR_IsoCaloId_AND_HE_R9Id_DoublePixelVeto_Mass55_v6,"OnlineMonitor,DoubleEG",null,18.51,+/-,1.21,18.59,+/-,1.71,18.43,+/-,1.70
