Prescale,Path,Dataset,Group,,Total,,,HLTPhysics0,,,HLTPhysics1,
7,HLT_DoubleMu4_3_Jpsi_Displaced_v5,"OnlineMonitor,Charmonium",BPH,4.48,+/-,0.22,4.57,+/-,0.32,4.39,+/-,0.31
1,HLT_DoubleEle8_CaloIdM_TrackIdM_Mass8_PFHT300_v8,"OnlineMonitor,DoubleEG",null,4.33,+/-,0.58,4.10,+/-,0.80,4.57,+/-,0.85
1,HLT_LooseIsoPFTau50_Trk30_eta2p1_MET110_v3,"OnlineMonitor,Tau",null,4.33,+/-,0.58,3.47,+/-,0.74,5.20,+/-,0.90
1,HLT_VBF_DisplacedJet40_DisplacedTrack_v3,"OnlineMonitor,DisplacedJet",EXO,4.33,+/-,0.58,4.73,+/-,0.86,3.94,+/-,0.79
1,HLT_Diphoton30_18_R9Id_OR_IsoCaloId_AND_HE_R9Id_DoublePixelSeedMatch_Mass70_v6,"OnlineMonitor,DoubleEG",null,4.33,+/-,0.58,5.36,+/-,0.92,3.31,+/-,0.72
1,HLT_Mu38NoFiltersNoVtxDisplaced_DisplacedJet60_Loose_v3,"OnlineMonitor,SingleMuon",EXO,4.25,+/-,0.58,4.73,+/-,0.86,3.78,+/-,0.77
1,HLT_BTagMu_Jet300_Mu5_v3,"OnlineMonitor,BTagMu",BTV,4.17,+/-,0.57,4.57,+/-,0.85,3.78,+/-,0.77
1,HLT_IsoMu21_eta2p1_LooseIsoPFTau50_Trk30_eta2p1_SingleL1_v2,"OnlineMonitor,SingleMuon","HIG,TAU,EXO",4.10,+/-,0.57,4.25,+/-,0.82,3.94,+/-,0.79
1,HLT_L2DoubleMu28_NoVertex_2Cha_Angle2p5_Mass10_v4,"OnlineMonitor,DoubleMuon",EXO,4.10,+/-,0.57,3.62,+/-,0.76,4.57,+/-,0.85
1,HLT_BTagMu_DiJet40_Mu5_v3,"OnlineMonitor,BTagMu",BTV,4.02,+/-,0.56,3.78,+/-,0.77,4.25,+/-,0.82
1,HLT_Mu28NoFiltersNoVtxDisplaced_Photon28_CaloIdL_v5,"OnlineMonitor,MuonEG",EXO,3.86,+/-,0.55,4.25,+/-,0.82,3.47,+/-,0.74
1,HLT_BTagMu_DiJet110_Mu5_v3,"OnlineMonitor,BTagMu",BTV,3.86,+/-,0.55,3.94,+/-,0.79,3.78,+/-,0.77
1,HLT_Ele50_IsoVVVL_PFHT400_v4,"OnlineMonitor,SingleElectron",SUS,3.86,+/-,0.55,4.25,+/-,0.82,3.47,+/-,0.74
5,HLT_BTagMu_DiJet70_Mu5_v3,"OnlineMonitor,BTagMu",BTV,3.78,+/-,0.24,4.00,+/-,0.36,3.56,+/-,0.33
1,HLT_Mu25_TkMu0_dEta18_Onia_v4,"OnlineMonitor,MuOnia",BPH,3.62,+/-,0.53,4.41,+/-,0.83,2.84,+/-,0.67
1,HLT_Mu30_Ele30_CaloIdL_GsfTrkIdVL_v6,"OnlineMonitor,EventDisplay,MuonEG",EXO,3.62,+/-,0.53,3.78,+/-,0.77,3.47,+/-,0.74
1,HLT_Dimuon13_PsiPrime_v4,"OnlineMonitor,Charmonium",BPH,3.62,+/-,0.53,3.47,+/-,0.74,3.78,+/-,0.77
1,HLT_PFHT400_DiPFJetAve90_PFAlphaT0p52_v5,"OnlineMonitor,HTMHT",SUS,3.54,+/-,0.53,2.99,+/-,0.69,4.10,+/-,0.80
2,HLT_DiPFJetAve220_HFJEC_v7,"OnlineMonitor,JetHT","FSQ,JME",3.47,+/-,0.37,3.39,+/-,0.52,3.54,+/-,0.53
1,HLT_MET250_v3,"OnlineMonitor,MET",PPD,3.39,+/-,0.52,3.31,+/-,0.72,3.47,+/-,0.74
14,HLT_Ele23_Ele12_CaloIdL_TrackIdL_IsoVL_v8,"OnlineMonitor,DoubleEG",HIG,3.38,+/-,0.14,3.72,+/-,0.20,3.04,+/-,0.18
1,HLT_DoubleMu8_Mass8_PFHT300_v7,"OnlineMonitor,DoubleMuon",null,3.31,+/-,0.51,3.78,+/-,0.77,2.84,+/-,0.67
6,HLT_BTagMu_DiJet20_Mu5_v3,"OnlineMonitor,BTagMu",BTV,3.26,+/-,0.21,3.44,+/-,0.30,3.07,+/-,0.28
1,HLT_Mu40_eta2p1_PFJet200_PFJet50_v5,"OnlineMonitor,SingleMuon",B2G,3.15,+/-,0.50,2.84,+/-,0.67,3.47,+/-,0.74
1,HLT_Mu27_Ele37_CaloIdL_GsfTrkIdVL_v4,"OnlineMonitor,MuonEG",null,3.07,+/-,0.49,3.47,+/-,0.74,2.68,+/-,0.65
1,HLT_DoubleMu38NoFiltersNoVtx_v3,"OnlineMonitor,DoubleMuon",EXO,3.07,+/-,0.49,3.15,+/-,0.70,2.99,+/-,0.69
1,HLT_VBF_DisplacedJet40_VTightID_Hadronic_v3,"OnlineMonitor,DisplacedJet",EXO,3.07,+/-,0.49,3.47,+/-,0.74,2.68,+/-,0.65
52,HLT_PFHT600_v6,"OnlineMonitor,JetHT",SUS,2.99,+/-,0.07,3.16,+/-,0.10,2.82,+/-,0.09
1,HLT_LooseIsoPFTau50_Trk30_eta2p1_MET120_v3,"OnlineMonitor,Tau","HIG,TAU,EXO",2.91,+/-,0.48,2.36,+/-,0.61,3.47,+/-,0.74
1,HLT_RsqMR270_Rsq0p09_MR200_4jet_v4,"OnlineMonitor,HTMHT",SUS,2.91,+/-,0.48,2.52,+/-,0.63,3.31,+/-,0.72
1,HLT_DoubleEle24_22_eta2p1_WPLoose_Gsf_v7,"OnlineMonitor,DoubleEG","TAU,HIG",2.84,+/-,0.47,3.31,+/-,0.72,2.36,+/-,0.61
1,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v5,"OnlineMonitor,Charmonium",BPH,2.84,+/-,0.47,3.31,+/-,0.72,2.36,+/-,0.61
80,HLT_AK8PFJet40_v3,"OnlineMonitor,JetHT",SMP,2.69,+/-,0.05,2.82,+/-,0.07,2.56,+/-,0.07
1,HLT_Ele27_HighEta_Ele20_Mass55_v6,"OnlineMonitor,DoubleEG",ECAL DPG,2.68,+/-,0.46,2.52,+/-,0.63,2.84,+/-,0.67
1,HLT_DiPFJetAve60_HFJEC_v6,"OnlineMonitor,JetHT","FSQ,JME",2.68,+/-,0.46,2.68,+/-,0.65,2.68,+/-,0.65
1,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v1,"OnlineMonitor,MuonEG",HIG,2.68,+/-,0.46,2.68,+/-,0.65,2.68,+/-,0.65
1,HLT_Ele15_IsoVVVL_PFHT400_PFMET50_v4,"OnlineMonitor,SingleElectron",SUS,2.60,+/-,0.45,2.36,+/-,0.61,2.84,+/-,0.67
1,HLT_Mu20_Mu10_SameSign_DZ_v3,"OnlineMonitor,DoubleMuon",HIG,2.60,+/-,0.45,3.15,+/-,0.70,2.05,+/-,0.57
34,HLT_TripleMu_5_3_3_v2,"OnlineMonitor,DoubleMuon",SUS,2.54,+/-,0.08,2.71,+/-,0.11,2.37,+/-,0.10
40,HLT_AK8PFJet320_v3,"OnlineMonitor,JetHT",SMP,2.54,+/-,0.07,2.66,+/-,0.10,2.41,+/-,0.10
1,HLT_DiMu9_Ele9_CaloIdL_TrackIdL_v6,"OnlineMonitor,MuonEG",HIG,2.52,+/-,0.45,2.21,+/-,0.59,2.84,+/-,0.67
16,HLT_PFJet40_v7,"OnlineMonitor,JetHT","SMP,BTV",2.52,+/-,0.11,2.63,+/-,0.16,2.41,+/-,0.15
1,HLT_DiCentralPFJet170_CFMax0p1_v3,"OnlineMonitor,JetHT",EXO,2.44,+/-,0.44,2.36,+/-,0.61,2.52,+/-,0.63
119,HLT_AK8PFJet260_v3,"OnlineMonitor,JetHT",SMP,2.37,+/-,0.04,2.50,+/-,0.06,2.24,+/-,0.05
1,HLT_Mu38NoFiltersNoVtxDisplaced_DisplacedJet60_Tight_v3,"OnlineMonitor,SingleMuon",EXO,2.36,+/-,0.43,2.36,+/-,0.61,2.36,+/-,0.61
1,HLT_Mu33_Ele33_CaloIdL_GsfTrkIdVL_v1,"OnlineMonitor,MuonEG",EXO,2.36,+/-,0.43,2.21,+/-,0.59,2.52,+/-,0.63
1,HLT_Mu38NoFiltersNoVtx_Photon38_CaloIdL_v5,"OnlineMonitor,MuonEG",EXO,2.36,+/-,0.43,2.36,+/-,0.61,2.36,+/-,0.61
1,HLT_Mu50_IsoVVVL_PFHT400_v3,"OnlineMonitor,SingleMuon",SUS,2.36,+/-,0.43,2.52,+/-,0.63,2.21,+/-,0.59
1,HLT_VBF_DisplacedJet40_VVTightID_Hadronic_v3,"OnlineMonitor,DisplacedJet",EXO,2.36,+/-,0.43,2.36,+/-,0.61,2.36,+/-,0.61
1,HLT_L2DoubleMu38_NoVertex_2Cha_Angle2p5_Mass10_v4,"OnlineMonitor,DoubleMuon",EXO,2.28,+/-,0.42,2.21,+/-,0.59,2.36,+/-,0.61
1,HLT_PFMET120_Mu5_v4,"OnlineMonitor,HLTMonitor,MET",JME,2.28,+/-,0.42,1.73,+/-,0.52,2.84,+/-,0.67
416,HLT_PFHT400_v5,"OnlineMonitor,JetHT",SUS,2.21,+/-,0.02,2.31,+/-,0.03,2.12,+/-,0.03
1,HLT_Ele27_eta2p1_WPLoose_Gsf_DoubleMediumIsoPFTau35_Trk1_eta2p1_Reg_v7,"OnlineMonitor,SingleElectron","TAU,HIG,EXO",2.21,+/-,0.42,2.21,+/-,0.59,2.21,+/-,0.59
5,HLT_IsoTrackHB_v2,"OnlineMonitor,Commissioning",null,2.16,+/-,0.18,2.11,+/-,0.26,2.21,+/-,0.26
14,HLT_AK8PFJet400_v3,"OnlineMonitor,JetHT",SMP,2.14,+/-,0.11,2.24,+/-,0.16,2.04,+/-,0.15
1,HLT_Photon300_NoHE_v6,"OnlineMonitor,SinglePhoton",HIG,2.13,+/-,0.41,2.21,+/-,0.59,2.05,+/-,0.57
208,HLT_PFHT475_v5,"OnlineMonitor,JetHT",SUS,2.12,+/-,0.03,2.24,+/-,0.04,2.01,+/-,0.04
68,HLT_QuadJet45_DoubleBTagCSV_p087_v4,"OnlineMonitor,BTagCSV","HIG,Hbb",2.07,+/-,0.05,2.21,+/-,0.07,1.93,+/-,0.07
1,HLT_DoublePhoton85_v7,"OnlineMonitor,EventDisplay,DoubleEG","EGM,EXO",2.05,+/-,0.40,1.89,+/-,0.55,2.21,+/-,0.59
1,HLT_TripleMu_12_10_5_v3,"OnlineMonitor,DoubleMuon",HIG,2.05,+/-,0.40,2.21,+/-,0.59,1.89,+/-,0.55
1,HLT_Mu33NoFiltersNoVtxDisplaced_Photon33_CaloIdL_v5,"OnlineMonitor,MuonEG",EXO,2.05,+/-,0.40,2.36,+/-,0.61,1.73,+/-,0.52
1,HLT_MET75_IsoTrk50_v4,"OnlineMonitor,MET",EXO,2.05,+/-,0.40,2.05,+/-,0.57,2.05,+/-,0.57
1,HLT_PFHT125_v3,"OnlineMonitor,JetHT",SUS,2.05,+/-,0.40,2.36,+/-,0.61,1.73,+/-,0.52
1,HLT_Ele27_eta2p1_WPLoose_Gsf_DoubleMediumIsoPFTau40_Trk1_eta2p1_Reg_v8,"OnlineMonitor,SingleElectron","TAU,HIG,EXO",2.05,+/-,0.40,2.05,+/-,0.57,2.05,+/-,0.57
20,HLT_DiPFJetAve320_v6,"OnlineMonitor,JetHT",JME,1.97,+/-,0.09,2.04,+/-,0.13,1.91,+/-,0.12
1,HLT_Ele8_CaloIdL_TrackIdL_IsoVL_PFJet30_v5,"OnlineMonitor,DoubleEG",SUS,1.97,+/-,0.39,2.05,+/-,0.57,1.89,+/-,0.55
1,HLT_Mu8_DiEle12_CaloIdL_TrackIdL_v6,"OnlineMonitor,MuonEG",HIG,1.97,+/-,0.39,2.05,+/-,0.57,1.89,+/-,0.55
1,HLT_MET300_v3,"OnlineMonitor,MET",PPD,1.97,+/-,0.39,2.21,+/-,0.59,1.73,+/-,0.52
1,HLT_Ele16_Ele12_Ele8_CaloIdL_TrackIdL_v7,"OnlineMonitor,DoubleEG",HIG,1.97,+/-,0.39,1.89,+/-,0.55,2.05,+/-,0.57
1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_DZ_v1,"OnlineMonitor,MuonEG",HIG,1.97,+/-,0.39,2.21,+/-,0.59,1.73,+/-,0.52
2,HLT_DiPFJetAve500_v6,"OnlineMonitor,JetHT",JME,1.93,+/-,0.28,1.89,+/-,0.39,1.97,+/-,0.39
832,HLT_PFHT350_v6,"OnlineMonitor,HLTMonitor,JetHT",SUS,1.90,+/-,0.01,1.99,+/-,0.02,1.80,+/-,0.02
1,HLT_Rsq0p25_v4,"OnlineMonitor,HTMHT",SUS,1.89,+/-,0.39,1.73,+/-,0.52,2.05,+/-,0.57
2,HLT_Ele12_CaloIdM_TrackIdM_PFJet30_v7,"OnlineMonitor,DoubleEG",SUS,1.85,+/-,0.27,1.89,+/-,0.39,1.81,+/-,0.38
40,HLT_PFJet320_v7,"OnlineMonitor,JetHT","SMP,BTV",1.85,+/-,0.06,1.97,+/-,0.09,1.72,+/-,0.08
3,HLT_Ele12_CaloIdL_TrackIdL_IsoVL_PFJet30_v7,"OnlineMonitor,DoubleEG",SUS,1.84,+/-,0.22,1.94,+/-,0.32,1.73,+/-,0.30
1,HLT_Mu42NoFiltersNoVtx_Photon42_CaloIdL_v5,"OnlineMonitor,MuonEG",EXO,1.81,+/-,0.38,2.05,+/-,0.57,1.58,+/-,0.50
5,HLT_Ele17_CaloIdL_GsfTrkIdVL_v5,"OnlineMonitor,DoubleEG",null,1.78,+/-,0.17,2.11,+/-,0.26,1.45,+/-,0.21
2,HLT_DiPFJetAve60_v6,"OnlineMonitor,JetHT",JME,1.77,+/-,0.26,1.97,+/-,0.39,1.58,+/-,0.35
3,HLT_Mu17_v3,"OnlineMonitor,DoubleMuon",SUS,1.76,+/-,0.21,2.10,+/-,0.33,1.42,+/-,0.27
1,HLT_Photon165_R9Id90_HE10_IsoM_v8,"OnlineMonitor,SinglePhoton",SMP,1.73,+/-,0.37,2.05,+/-,0.57,1.42,+/-,0.47
119,HLT_PFJet260_v7,"OnlineMonitor,JetHT","JetMET,SMP,BTV",1.73,+/-,0.03,1.81,+/-,0.05,1.65,+/-,0.05
7,HLT_DiPFJetAve400_v6,"OnlineMonitor,JetHT",JME,1.67,+/-,0.14,1.60,+/-,0.19,1.73,+/-,0.20
56,HLT_AK8PFJet60_v2,"OnlineMonitor,JetHT",SMP,1.63,+/-,0.05,1.64,+/-,0.07,1.61,+/-,0.07
1,HLT_Photon36_R9Id90_HE10_IsoM_v7,"OnlineMonitor,SinglePhoton","SMP,SUS",1.58,+/-,0.35,1.89,+/-,0.55,1.26,+/-,0.45
1,HLT_PFMET300_v4,"OnlineMonitor,MET",PPD,1.58,+/-,0.35,1.42,+/-,0.47,1.73,+/-,0.52
1,HLT_HT350_DisplacedDijet80_DisplacedTrack_v4,"OnlineMonitor,DisplacedJet",EXO,1.58,+/-,0.35,2.05,+/-,0.57,1.10,+/-,0.42
1,HLT_Mu10_CentralPFJet30_BTagCSV_p13_v3,"OnlineMonitor,DoubleMuon",null,1.58,+/-,0.35,1.26,+/-,0.45,1.89,+/-,0.55
1,HLT_Ele15_IsoVVVL_PFHT600_v7,"OnlineMonitor,SingleElectron",SUS,1.58,+/-,0.35,1.89,+/-,0.55,1.26,+/-,0.45
1,HLT_Mu3_PFJet40_v4,"OnlineMonitor,DoubleMuon",null,1.58,+/-,0.35,1.42,+/-,0.47,1.73,+/-,0.52
1,HLT_Ele23_CaloIdL_TrackIdL_IsoVL_PFJet30_v7,"OnlineMonitor,DoubleEG",SUS,1.58,+/-,0.35,1.58,+/-,0.50,1.58,+/-,0.50
1,HLT_Mu7p5_L2Mu2_Upsilon_v3,"OnlineMonitor,MuOnia",BPH,1.58,+/-,0.35,2.21,+/-,0.59,0.95,+/-,0.39
1,HLT_Ele45_WPLoose_Gsf_L1JetTauSeeded_v3,"OnlineMonitor,SingleElectron",EGM,1.58,+/-,0.35,1.89,+/-,0.55,1.26,+/-,0.45
14,HLT_PFJet400_v7,"OnlineMonitor,JetHT","SMP,B2G,BTV",1.56,+/-,0.09,1.54,+/-,0.13,1.58,+/-,0.13
6,HLT_Photon50_R9Id90_HE10_Iso40_EBOnly_VBF_v6,"OnlineMonitor,SinglePhoton",HIG,1.55,+/-,0.14,1.73,+/-,0.21,1.37,+/-,0.19
1664,HLT_PFHT300_v5,"OnlineMonitor,JetHT",SUS,1.52,+/-,0.01,1.59,+/-,0.01,1.44,+/-,0.01
1,HLT_DoubleMu23NoFiltersNoVtxDisplaced_v3,"OnlineMonitor,DoubleMuon",EXO,1.50,+/-,0.34,1.26,+/-,0.45,1.73,+/-,0.52
2,HLT_Photon30_R9Id90_HE10_IsoM_v7,"OnlineMonitor,SinglePhoton","SMP,SUS",1.50,+/-,0.24,1.65,+/-,0.36,1.34,+/-,0.32
1,HLT_Mu15_IsoVVVL_PFHT400_PFMET50_v3,"OnlineMonitor,SingleMuon",SUS,1.50,+/-,0.34,1.42,+/-,0.47,1.58,+/-,0.50
1,HLT_Photon135_PFMET100_v6,"OnlineMonitor,SinglePhoton",EXO,1.50,+/-,0.34,0.95,+/-,0.39,2.05,+/-,0.57
1,HLT_TrkMu15_DoubleTrkMu5NoFiltersNoVtx_v4,"OnlineMonitor,DoubleMuon","EXO,PAG",1.50,+/-,0.34,1.73,+/-,0.52,1.26,+/-,0.45
1,HLT_Ele17_CaloIdM_TrackIdM_PFJet30_v5,"OnlineMonitor,DoubleEG",SUS,1.42,+/-,0.33,1.26,+/-,0.45,1.58,+/-,0.50
1,HLT_Photon120_R9Id90_HE10_Iso40_EBOnly_PFMET40_v7,"OnlineMonitor,SinglePhoton",HIG,1.42,+/-,0.33,1.89,+/-,0.55,0.95,+/-,0.39
1,HLT_Ele8_CaloIdM_TrackIdM_PFJet30_v7,"OnlineMonitor,DoubleEG",SUS,1.42,+/-,0.33,0.63,+/-,0.32,2.21,+/-,0.59
1,HLT_Mu37_Ele27_CaloIdL_GsfTrkIdVL_v4,"OnlineMonitor,MuonEG",EXO,1.42,+/-,0.33,1.10,+/-,0.42,1.73,+/-,0.52
1,HLT_Ele10_CaloIdM_TrackIdM_CentralPFJet30_BTagCSV_p13_v5,"OnlineMonitor,DoubleEG",null,1.34,+/-,0.32,1.26,+/-,0.45,1.42,+/-,0.47
1,HLT_TrkMu17_DoubleTrkMu8NoFiltersNoVtx_v4,"OnlineMonitor,DoubleMuon","EXO,PAG",1.34,+/-,0.32,1.58,+/-,0.50,1.10,+/-,0.42
1,HLT_JetE30_NoBPTX_v3,"OnlineMonitor,NoBPTX",EXO,1.34,+/-,0.32,1.42,+/-,0.47,1.26,+/-,0.45
28,HLT_PFJet60_v7,"OnlineMonitor,JetHT","SMP,BTV",1.34,+/-,0.06,1.37,+/-,0.09,1.31,+/-,0.09
1,HLT_Mu15_IsoVVVL_PFHT600_v6,"OnlineMonitor,SingleMuon",SUS,1.34,+/-,0.32,1.26,+/-,0.45,1.42,+/-,0.47
2,HLT_Ele17_CaloIdL_TrackIdL_IsoVL_PFJet30_v5,"OnlineMonitor,DoubleEG",SUS,1.34,+/-,0.23,1.42,+/-,0.33,1.26,+/-,0.32
3,HLT_Mu17_TrkIsoVVL_v3,"OnlineMonitor,DoubleMuon","MUO,SUS",1.34,+/-,0.19,1.63,+/-,0.29,1.05,+/-,0.23
3,HLT_IsoTrackHE_v2,"OnlineMonitor,Commissioning",null,1.31,+/-,0.19,1.26,+/-,0.26,1.37,+/-,0.27
40,HLT_Ele17_Ele12_CaloIdL_TrackIdL_IsoVL_v8,"OnlineMonitor,DoubleEG",HIG,1.30,+/-,0.05,1.45,+/-,0.08,1.15,+/-,0.07
27,HLT_PFJet80_v6,"OnlineMonitor,JetHT","SMP,BTV",1.26,+/-,0.06,1.30,+/-,0.09,1.23,+/-,0.08
80,HLT_DiSC30_18_EIso_AND_HE_Mass70_v5,"OnlineMonitor,Commissioning",null,1.21,+/-,0.03,1.32,+/-,0.05,1.11,+/-,0.05
17,HLT_Photon90_R9Id90_HE10_IsoM_v7,"OnlineMonitor,SinglePhoton","SMP,SUS",1.20,+/-,0.07,1.14,+/-,0.10,1.25,+/-,0.11
2,HLT_LooseIsoPFTau50_Trk30_eta2p1_v5,"OnlineMonitor,Tau","HIG,TAU,EXO",1.18,+/-,0.22,1.18,+/-,0.31,1.18,+/-,0.31
1,HLT_PFHT200_v4,"OnlineMonitor,JetHT",SUS,1.18,+/-,0.31,1.10,+/-,0.42,1.26,+/-,0.45
54,HLT_AK8PFJet80_v2,"OnlineMonitor,JetHT",SMP,1.13,+/-,0.04,1.20,+/-,0.06,1.06,+/-,0.06
15,HLT_Ele12_CaloIdL_TrackIdL_IsoVL_v7,"OnlineMonitor,DoubleEG",HIG,1.13,+/-,0.08,1.20,+/-,0.11,1.06,+/-,0.11
34,HLT_Photon75_R9Id90_HE10_IsoM_v7,"OnlineMonitor,SinglePhoton","SMP,SUS",1.12,+/-,0.05,1.16,+/-,0.07,1.09,+/-,0.07
6,HLT_Photon120_R9Id90_HE10_IsoM_v7,"OnlineMonitor,SinglePhoton","SMP,SUS",1.12,+/-,0.12,1.13,+/-,0.17,1.10,+/-,0.17
1,HLT_Ele27_WPTight_Gsf_L1JetTauSeeded_v3,"OnlineMonitor,SingleElectron",EGM,1.10,+/-,0.29,1.26,+/-,0.45,0.95,+/-,0.39
3,HLT_Photon75_R9Id90_HE10_Iso40_EBOnly_VBF_v6,"OnlineMonitor,SinglePhoton",HIG,1.10,+/-,0.17,1.26,+/-,0.26,0.95,+/-,0.22
2,HLT_PFJet140_v6,"OnlineMonitor,JetHT","SMP,BTV",1.10,+/-,0.21,1.42,+/-,0.33,0.79,+/-,0.25
1,HLT_MET90_IsoTrk50_v4,"OnlineMonitor,MET",EXO,1.10,+/-,0.29,1.10,+/-,0.42,1.10,+/-,0.42
1,HLT_Photon22_R9Id90_HE10_IsoM_v6,"OnlineMonitor,SinglePhoton","SMP,SUS",1.10,+/-,0.29,0.95,+/-,0.39,1.26,+/-,0.45
22,HLT_PFHT450_SixJet40_v5,"OnlineMonitor,JetHT",HIG,1.07,+/-,0.06,1.18,+/-,0.09,0.96,+/-,0.08
260,HLT_Mu27_v4,"OnlineMonitor,SingleMuon",SMP,1.06,+/-,0.02,1.14,+/-,0.03,0.99,+/-,0.02
12,HLT_DoubleJetsC100_SingleBTagCSV_p014_SinglePFJetC350_v3,"OnlineMonitor,BTagCSV","HIG,Analysis",1.04,+/-,0.08,0.98,+/-,0.11,1.10,+/-,0.12
181,HLT_HT575_v3,"OnlineMonitor,DisplacedJet",EXO,1.03,+/-,0.02,1.09,+/-,0.03,0.97,+/-,0.03
6,HLT_Photon75_R9Id90_HE10_Iso40_EBOnly_PFMET40_v7,"OnlineMonitor,SinglePhoton",HIG,1.01,+/-,0.12,1.08,+/-,0.17,0.95,+/-,0.16
3,HLT_Photon90_R9Id90_HE10_Iso40_EBOnly_PFMET40_v7,"OnlineMonitor,SinglePhoton",HIG,1.00,+/-,0.16,0.84,+/-,0.21,1.16,+/-,0.25
113,HLT_DiPFJetAve260_v6,"OnlineMonitor,JetHT",JME,1.00,+/-,0.03,1.04,+/-,0.04,0.95,+/-,0.04
170,HLT_DoubleJet90_Double30_DoubleBTagCSV_p087_v3,"OnlineMonitor,BTagCSV","HIG,Hbb",1.00,+/-,0.02,1.04,+/-,0.03,0.95,+/-,0.03
40,HLT_PFHT650_4JetPt50_v4,"OnlineMonitor,JetHT",EXO,0.99,+/-,0.04,1.05,+/-,0.06,0.93,+/-,0.06
105,HLT_PFHT650_v6,"OnlineMonitor,JetHT",EXO,0.99,+/-,0.03,1.05,+/-,0.04,0.93,+/-,0.04
78,HLT_PFHT550_4JetPt50_v4,"OnlineMonitor,JetHT",EXO,0.99,+/-,0.03,1.05,+/-,0.05,0.92,+/-,0.04
100,HLT_PFHT400_SixJet30_v5,"OnlineMonitor,JetHT",HIG,0.99,+/-,0.03,1.08,+/-,0.04,0.89,+/-,0.04
260,HLT_TkMu27_v5,"OnlineMonitor,SingleMuon",SMP,0.99,+/-,0.02,1.05,+/-,0.03,0.92,+/-,0.02
4,HLT_Ele23_CaloIdL_TrackIdL_IsoVL_v7,"OnlineMonitor,DoubleEG",HIG,0.98,+/-,0.14,0.95,+/-,0.19,1.02,+/-,0.20
500,HLT_DoubleJetsC100_SingleBTagCSV_p014_v2,"OnlineMonitor,BTagCSV","HIG,Analysis",0.98,+/-,0.01,1.01,+/-,0.02,0.96,+/-,0.02
7,HLT_Mu20_v3,"OnlineMonitor,SingleMuon",SMP,0.98,+/-,0.10,1.06,+/-,0.15,0.90,+/-,0.14
700,HLT_DoubleJetsC100_SingleBTagCSV_p026_v2,"OnlineMonitor,BTagCSV","HIG,Analysis",0.97,+/-,0.01,1.00,+/-,0.01,0.94,+/-,0.01
170,HLT_Photon50_R9Id90_HE10_IsoM_v7,"OnlineMonitor,SinglePhoton","SMP,SUS",0.96,+/-,0.02,1.01,+/-,0.03,0.92,+/-,0.03
27,HLT_PFMET170_NotCleaned_v5,"OnlineMonitor,MET",JME,0.95,+/-,0.05,0.98,+/-,0.08,0.93,+/-,0.07
1,HLT_HT350_DisplacedDijet80_Tight_DisplacedTrack_v4,"OnlineMonitor,DisplacedJet",EXO,0.95,+/-,0.27,1.10,+/-,0.42,0.79,+/-,0.35
1,HLT_DiPFJetAve300_HFJEC_v7,"OnlineMonitor,JetHT","FSQ,JME",0.95,+/-,0.27,0.95,+/-,0.39,0.95,+/-,0.39
1,HLT_HT650_DisplacedDijet80_Inclusive_v4,"OnlineMonitor,DisplacedJet",EXO,0.95,+/-,0.27,0.79,+/-,0.35,1.10,+/-,0.42
1,HLT_IsoMu19_eta2p1_MediumIsoPFTau32_Trk1_eta2p1_Reg_v3,"OnlineMonitor,SingleMuon",null,0.95,+/-,0.27,0.95,+/-,0.39,0.95,+/-,0.39
390,HLT_Mu24_eta2p1_v4,"OnlineMonitor,SingleMuon","SMP,EXO",0.94,+/-,0.01,1.00,+/-,0.02,0.89,+/-,0.02
452,HLT_DiCentralPFJet170_v3,"OnlineMonitor,JetHT",EXO,0.94,+/-,0.01,0.98,+/-,0.02,0.90,+/-,0.02
8,HLT_Ele17_CaloIdL_TrackIdL_IsoVL_v6,"OnlineMonitor,DoubleEG",HIG,0.93,+/-,0.10,1.04,+/-,0.14,0.81,+/-,0.13
45,HLT_AK8DiPFJet280_200_TrimMass30_v3,"OnlineMonitor,JetHT","B2G,PAG",0.92,+/-,0.04,0.96,+/-,0.06,0.89,+/-,0.06
780,HLT_HT425_v3,"OnlineMonitor,DisplacedJet",EXO,0.91,+/-,0.01,0.96,+/-,0.01,0.87,+/-,0.01
7,HLT_TkMu20_v4,"OnlineMonitor,SingleMuon",SMP,0.91,+/-,0.10,0.92,+/-,0.14,0.90,+/-,0.14
50,HLT_Mu12_Photon25_CaloIdL_L1OR_v6,"OnlineMonitor,MuonEG","HIG,For Dalitz",0.89,+/-,0.04,0.94,+/-,0.05,0.85,+/-,0.05
390,HLT_TkMu24_eta2p1_v5,"OnlineMonitor,SingleMuon",SMP,0.87,+/-,0.01,0.93,+/-,0.02,0.81,+/-,0.02
1,HLT_Ele23_CaloIdM_TrackIdM_PFJet30_v7,"OnlineMonitor,DoubleEG",SUS,0.87,+/-,0.26,1.10,+/-,0.42,0.63,+/-,0.32
1,HLT_IsoMu21_eta2p1_MediumIsoPFTau32_Trk1_eta2p1_Reg_v3,"OnlineMonitor,SingleMuon",null,0.87,+/-,0.26,0.79,+/-,0.35,0.95,+/-,0.39
