Path,L1Path,L1Prescale(5e33),Steam L1path,Steam L1Prescale,WBM hltPrescale(5e33),Steam hltPrescale,,Data Rate (Hz),,,Steam Rate (Hz),,,Steam Rate hltPrescaled(Hz),,,Bias(data-steam)
HLT_DoubleMu4_LowMassNonResonantTrk_Displaced,L1_DoubleMu0_Eta1p6_WdEta18 OR L1_DoubleMu0,1 | 150,L1_DoubleMu0_Eta1p6_WdEta18 OR L1_DoubleMu0_Eta1p6_WdEta18_OS OR L1_DoubleMu_10_0_WdEta18, 1|1|1,1,1,19.11,+/-,0.02,18.32,+/-,0.60,18.32,+/-,0.60,4.15%,+/-,3.03%
HLT_AK8DiPFJet250_200_TrimMass30_BTagCSV0p45,L1_SingleJet200 OR L1_SingleJet176,1 | 1,L1_SingleJet176 OR L1_SingleJet200, 1|1,1,1,18.90,+/-,0.02,19.43,+/-,0.62,19.43,+/-,0.62,2.75%,+/-,3.11%
HLT_Mu45_eta2p1,L1_SingleMu16 OR L1_SingleMu25,1 | 1,L1_SingleMu16 OR L1_SingleMu25, 1|1,1,1,17.75,+/-,0.02,18.88,+/-,0.61,18.88,+/-,0.61,5.98%,+/-,3.05%
HLT_Rsq0p02_MR300_TriPFJet80_60_40_DoublePFBTagCSV0p7_0p4_Mbb60_200,L1_HTT100 OR L1_HTT75,1 | 1,L1_HTT75 OR L1_HTT100 OR L1_HTT125 OR L1_HTT150 OR L1_HTT175 OR L1_SingleJet128 OR L1_SingleJet176 OR L1_SingleJet200 OR L1_DoubleJetC84 OR L1_DoubleJetC100 OR L1_QuadJetC40 OR L1_QuadJetC60, 1|1|1|1|1|1|1|1|1|1|1|1,1,1,17.03,+/-,0.02,17.66,+/-,0.59,17.66,+/-,0.59,3.60%,+/-,3.24%
HLT_Mu17_TrkIsoVVL,L1_SingleMu12,70,L1_SingleMu12, 70,1,1,16.92,+/-,0.02,17.25,+/-,0.59,17.25,+/-,0.59,1.88%,+/-,3.33%
HLT_Photon36_R9Id90_HE10_Iso40_EBOnly_PFMET40,L1_SingleEG30,1,L1_SingleEG30, 1,1,1,15.95,+/-,0.02,16.15,+/-,0.57,16.15,+/-,0.57,1.22%,+/-,3.47%
HLT_DoubleMu4_3_Jpsi_Displaced,L1_DoubleMu0_Eta1p6_WdEta18 OR L1_DoubleMu0,1 | 150,L1_DoubleMu0_Eta1p6_WdEta18 OR L1_DoubleMu0_Eta1p6_WdEta18_OS OR L1_DoubleMu_10_0_WdEta18, 1|1|1,1,1,15.52,+/-,0.02,16.13,+/-,0.57,16.13,+/-,0.57,3.77%,+/-,3.38%
HLT_DoubleMediumIsoPFTau35_Trk1_eta2p1_Reg,L1_DoubleIsoTau28er,1,L1_DoubleIsoTau28er OR L1_DoubleIsoTau32er OR L1_DoubleIsoTau36er OR L1_DoubleIsoTau40er OR L1_DoubleTauJet40er, 1|1|1|1|1,1,1,13.91,+/-,0.02,14.04,+/-,0.53,14.04,+/-,0.53,0.93%,+/-,3.73%
HLT_AK8DiPFJet280_200_TrimMass30_BTagCSV0p45,L1_SingleJet200 OR L1_SingleJet176,1 | 1,L1_SingleJet176 OR L1_SingleJet200, 1|1,1,1,13.29,+/-,0.02,13.23,+/-,0.51,13.23,+/-,0.51,0.50%,+/-,3.84%
HLT_Dimuon10_Jpsi_Barrel,L1_DoubleMu0_Eta1p6_WdEta18 OR L1_DoubleMu0,1 | 150,L1_DoubleMu0_Eta1p6_WdEta18, 1,3,3,13.17,+/-,0.02,28.18,+/-,0.75,9.39,+/-,0.25,28.65%,+/-,1.36%
HLT_Mu50,L1_SingleMu16 OR L1_SingleMu25,1 | 1,L1_SingleMu16 OR L1_SingleMu25, 1|1,1,1,12.44,+/-,0.02,12.93,+/-,0.51,12.93,+/-,0.51,3.76%,+/-,3.78%
HLT_Dimuon16_Jpsi,L1_DoubleMu_10_0_WdEta18,1,L1_DoubleMu_10_0_WdEta18, 1,1,1,12.19,+/-,0.02,12.11,+/-,0.49,12.11,+/-,0.49,0.67%,+/-,4.00%
HLT_PFHT800,L1_HTT125 OR L1_HTT100,1 | 1,L1_HTT100 OR L1_HTT125 OR L1_HTT150 OR L1_HTT175, 1|1|1|1,1,1,12.05,+/-,0.02,12.47,+/-,0.50,12.47,+/-,0.50,3.40%,+/-,3.86%
HLT_Ele23_WPLoose_Gsf_CentralPFJet30_BTagCSV07,L1_SingleEG20,1,L1_SingleEG20 OR L1_SingleIsoEG18er OR L1_SingleIsoEG20 OR L1_SingleIsoEG20er OR L1_SingleIsoEG22er OR L1_SingleEG25, 10|1|1|10|1|1,1,1,11.75,+/-,0.02,11.60,+/-,0.48,11.60,+/-,0.48,1.34%,+/-,4.03%
HLT_DoubleMu4_JpsiTrk_Displaced,L1_DoubleMu0_Eta1p6_WdEta18 OR L1_DoubleMu0,1 | 150,L1_DoubleMu0_Eta1p6_WdEta18 OR L1_DoubleMu0_Eta1p6_WdEta18_OS OR L1_DoubleMu_10_0_WdEta18, 1|1|1,1,1,11.58,+/-,0.02,12.27,+/-,0.49,12.27,+/-,0.49,5.64%,+/-,3.80%
HLT_QuadPFJet_DoubleBTagCSV_VBF_Mqq200,L1_TripleJet_92_76_64_VBF,1,L1_TripleJet_92_76_64_VBF OR L1_TripleJet_84_68_48_VBF OR L1_HTT100 OR L1_HTT125 OR L1_HTT150 OR L1_HTT175 OR L1_SingleJet128 OR L1_DoubleJetC84, 1|1|1|1|1|1|1|1,1,1,11.50,+/-,0.02,11.38,+/-,0.48,11.38,+/-,0.48,1.06%,+/-,4.10%
HLT_DoubleMediumIsoPFTau40_Trk1_eta2p1_Reg,L1_DoubleIsoTau28er,1,L1_DoubleIsoTau28er OR L1_DoubleIsoTau32er OR L1_DoubleIsoTau36er OR L1_DoubleIsoTau40er OR L1_DoubleTauJet40er, 1|1|1|1|1,1,1,11.40,+/-,0.02,11.38,+/-,0.48,11.38,+/-,0.48,0.21%,+/-,4.17%
HLT_AK8PFHT650_TrimR0p1PT0p03Mass50,L1_HTT175 OR L1_HTT150,1 | 1,L1_HTT150 OR L1_HTT175, 1|1,1,1,11.33,+/-,0.02,10.88,+/-,0.47,10.88,+/-,0.47,3.94%,+/-,3.95%
HLT_Ele22_eta2p1_WPLoose_Gsf_LooseIsoPFTau20_SingleL1,L1_SingleIsoEG20 OR L1_SingleIsoEG20er,1 | 1,L1_SingleIsoEG20er OR L1_SingleIsoEG22er OR L1_SingleEG25, 10|1|1,1,1,11.30,+/-,0.02,11.80,+/-,0.48,11.80,+/-,0.48,4.18%,+/-,3.94%
HLT_AK8PFHT600_TrimR0p1PT0p03Mass50_BTagCSV0p45,L1_HTT175 OR L1_HTT150,1 | 1,L1_HTT150 OR L1_HTT175, 1|1,1,1,11.09,+/-,0.02,10.50,+/-,0.46,10.50,+/-,0.46,5.30%,+/-,3.91%
HLT_PFMET170,L1_ETM60 OR L1_ETM70,1 | 1,L1_ETM60 OR L1_ETM70, 1|1,1,1,10.81,+/-,0.02,10.16,+/-,0.45,10.16,+/-,0.45,6.02%,+/-,3.91%
HLT_Ele27_WPLoose_Gsf_CentralPFJet30_BTagCSV07,L1_SingleIsoEG20 OR L1_SingleIsoEG20er,1 | 1,L1_SingleIsoEG20er OR L1_SingleEG20 OR L1_SingleEG25, 10|10|1,1,1,10.75,+/-,0.02,10.06,+/-,0.45,10.06,+/-,0.45,6.34%,+/-,3.90%
HLT_PFMET170_HBHECleaned,L1_ETM60 OR L1_ETM70,1 | 1,L1_ETM60 OR L1_ETM70, 1|1,1,1,10.69,+/-,0.02,10.04,+/-,0.45,10.04,+/-,0.45,5.99%,+/-,3.94%
HLT_PFMETNoMu90_PFMHTNoMu90_IDTight,L1_ETM70,1,L1_ETM70 OR L1_DoubleJetC56_ETM60 OR L1_ETM60 OR L1_ETM50, 1|1|1|1,1,1,10.64,+/-,0.02,10.70,+/-,0.46,10.70,+/-,0.46,0.57%,+/-,4.29%
HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight,L1_ETM70,1,L1_ETM70 OR L1_DoubleJetC56_ETM60 OR L1_ETM60 OR L1_ETM50, 1|1|1|1,1,1,10.64,+/-,0.02,10.70,+/-,0.46,10.70,+/-,0.46,0.58%,+/-,4.29%
HLT_PFHT200_DiPFJetAve90_PFAlphaT0p57,L1_HTT100 OR L1_HTT75,1 | 1,L1_HTT75 OR L1_HTT100 OR L1_HTT125 OR L1_HTT150 OR L1_HTT175 OR L1_HTT200 OR L1_HTT250 OR L1_ETM40 OR L1_ETM50 OR L1_ETM60 OR L1_ETM70 OR L1_ETM100, 1|1|1|1|1|1|1|5000|1|1|1|1,1,1,10.61,+/-,0.02,10.04,+/-,0.45,10.04,+/-,0.45,5.37%,+/-,3.99%
HLT_PFMET90_PFMHT90_IDTight,L1_ETM70,1,L1_ETM70 OR L1_DoubleJetC56_ETM60 OR L1_ETM60 OR L1_ETM50, 1|1|1|1,1,1,10.57,+/-,0.02,10.72,+/-,0.46,10.72,+/-,0.46,1.38%,+/-,4.25%
HLT_Ele30WP60_Ele8_Mass55,L1_SingleEG25,1,L1_SingleEG25 OR L1_SingleIsoEG30er, 1|1,1,1,10.56,+/-,0.02,10.12,+/-,0.45,10.12,+/-,0.45,4.12%,+/-,4.08%
HLT_Ele15_IsoVVVL_PFHT350,L1_SingleEG5,1,L1_HTT100 OR L1_HTT125 OR L1_HTT150 OR L1_HTT175, 1|1|1|1,1,1,10.45,+/-,0.02,10.50,+/-,0.46,10.50,+/-,0.46,0.53%,+/-,4.33%
HLT_MonoCentralPFJet80_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight,L1_ETM70,1,L1_ETM70 OR L1_DoubleJetC56_ETM60 OR L1_ETM60 OR L1_ETM50, 1|1|1|1,1,1,9.79,+/-,0.02,9.79,+/-,0.44,9.79,+/-,0.44,0.09%,+/-,4.50%
HLT_MonoCentralPFJet80_PFMETNoMu90_PFMHTNoMu90_IDTight,L1_ETM70,1,L1_ETM70 OR L1_DoubleJetC56_ETM60 OR L1_ETM60 OR L1_ETM50, 1|1|1|1,1,1,9.79,+/-,0.02,9.79,+/-,0.44,9.79,+/-,0.44,0.09%,+/-,4.50%
HLT_Dimuon0_Phi_Barrel,L1_DoubleMu0_Eta1p6_WdEta18 OR L1_DoubleMu0,1 | 150,L1_DoubleMu0_Eta1p6_WdEta18, 1,1,1,9.30,+/-,0.02,8.59,+/-,0.41,8.59,+/-,0.41,7.62%,+/-,4.11%
HLT_HT400_DisplacedDijet40_Inclusive,L1_HTT100 OR L1_HTT75,1 | 1,L1_HTT75 OR L1_HTT100 OR L1_HTT125 OR L1_HTT150 OR L1_HTT175 OR L1_HTT200, 1|1|1|1|1|1,1,1,9.17,+/-,0.02,8.77,+/-,0.42,8.77,+/-,0.42,4.32%,+/-,4.36%
HLT_BTagMu_DiJet70_Mu5,L1_Mu3_JetC52_WdEtaPhi2,7,L1_Mu3_JetC52_WdEtaPhi2, 7,3,3,9.10,+/-,0.01,27.77,+/-,0.74,9.26,+/-,0.25,1.70%,+/-,2.64%
HLT_Mu27_TkMu8,L1_SingleMu16 OR L1_SingleMu25,1 | 1,L1_SingleMu16 OR L1_SingleMu25, 1|1,1,1,8.90,+/-,0.01,9.43,+/-,0.43,9.43,+/-,0.43,5.59%,+/-,4.34%
HLT_AK8PFHT700_TrimR0p1PT0p03Mass50,L1_HTT175 OR L1_HTT150,1 | 1,L1_HTT150 OR L1_HTT175, 1|1,1,1,8.77,+/-,0.01,8.61,+/-,0.41,8.61,+/-,0.41,1.80%,+/-,4.64%
HLT_IsoMu16_eta2p1_MET30,L1_Mu14er_ETM30 OR L1_Mu10er_ETM30,1 | 1,L1_Mu10er_ETM30 OR L1_Mu14er_ETM30, 1|1,1,1,8.58,+/-,0.01,9.45,+/-,0.43,9.45,+/-,0.43,9.17%,+/-,4.17%
HLT_Mu55,L1_SingleMu16 OR L1_SingleMu25,1 | 1,L1_SingleMu16 OR L1_SingleMu25, 1|1,1,1,8.55,+/-,0.01,8.39,+/-,0.41,8.39,+/-,0.41,1.84%,+/-,4.69%
HLT_Ele27_eta2p1_WPLoose_Gsf_LooseIsoPFTau20,L1_SingleIsoEG22er,1,L1_SingleIsoEG22er OR L1_SingleEG25, 1|1,1,1,8.52,+/-,0.01,9.15,+/-,0.43,9.15,+/-,0.43,6.92%,+/-,4.34%
HLT_MET200,L1_ETM50 OR L1_ETM60 OR L1_ETM70,1 | 1 | 1,L1_ETM50 OR L1_ETM60 OR L1_ETM70, 1|1|1,1,1,8.49,+/-,0.01,8.12,+/-,0.40,8.12,+/-,0.40,4.46%,+/-,4.52%
HLT_Rsq0p02_MR300_TriPFJet80_60_40_DoublePFBTagCSV0p7_Mbb60_200,L1_HTT100 OR L1_HTT75,1 | 1,L1_HTT75 OR L1_HTT100 OR L1_HTT125 OR L1_HTT150 OR L1_HTT175 OR L1_SingleJet128 OR L1_SingleJet176 OR L1_SingleJet200 OR L1_DoubleJetC84 OR L1_DoubleJetC100 OR L1_QuadJetC40 OR L1_QuadJetC60, 1|1|1|1|1|1|1|1|1|1|1|1,1,1,8.47,+/-,0.01,8.67,+/-,0.42,8.67,+/-,0.42,2.35%,+/-,4.68%
HLT_Photon36_R9Id85_OR_CaloId24b40e_Iso50T80L_Photon22_AND_HE10_R9Id65_Eta2_Mass15,L1_SingleEG35 OR L1_SingleEG40,1 | 1,L1_SingleEG40 OR L1_SingleEG35 OR L1_DoubleEG_22_10 OR L1_DoubleEG_15_10, 1|1|1|1,1,1,8.30,+/-,0.01,7.66,+/-,0.39,7.66,+/-,0.39,7.77%,+/-,4.34%
HLT_Ele35_CaloIdVT_GsfTrkIdT_PFJet150_PFJet50,L1_SingleEG25,1,L1_SingleEG25, 1,1,1,8.14,+/-,0.01,7.48,+/-,0.39,7.48,+/-,0.39,8.12%,+/-,4.36%
HLT_LooseIsoPFTau50_Trk30_eta2p1_MET80,L1_ETM50 OR L1_ETM60 OR L1_ETM70,1 | 1 | 1,L1_ETM50 OR L1_ETM60 OR L1_ETM70, 1|1|1,1,1,8.10,+/-,0.01,7.28,+/-,0.38,7.28,+/-,0.38,10.14%,+/-,4.22%
HLT_VBF_DisplacedJet40_Hadronic_2PromptTrack,L1_TripleJet_92_76_64_VBF,1,L1_TripleJet_92_76_64_VBF OR L1_HTT175, 1|1,1,1,8.06,+/-,0.01,8.00,+/-,0.40,8.00,+/-,0.40,0.75%,+/-,4.92%
HLT_Mu16_TkMu0_dEta18_Onia,L1_SingleMu16 OR L1_SingleMu14er,1 | 200,L1_SingleMu14er OR L1_SingleMu16, 200|1,1,1,7.95,+/-,0.01,7.86,+/-,0.40,7.86,+/-,0.40,1.21%,+/-,4.91%
HLT_L2Mu35_NoVertex_3Sta_NoBPTX3BX_NoHalo,L1_SingleMuOpen OR L1_SingleMuOpen_NotBptxOR,262139 | 1,L1_SingleMuOpen_NotBptxOR, 1,1,1,7.89,+/-,0.01,8.25,+/-,0.41,8.25,+/-,0.41,4.36%,+/-,4.70%
HLT_Photon36_R9Id90_HE10_Iso40_EBOnly_VBF,L1_SingleEG30,1,L1_SingleEG30, 1,1,1,7.86,+/-,0.01,7.98,+/-,0.40,7.98,+/-,0.40,1.41%,+/-,4.93%
HLT_Dimuon8_Upsilon_Barrel,L1_DoubleMu0_Eta1p6_WdEta18 OR L1_DoubleMu0,1 | 150,L1_DoubleMu0_Eta1p6_WdEta18, 1,1,1,7.82,+/-,0.01,7.90,+/-,0.40,7.90,+/-,0.40,0.96%,+/-,4.97%
HLT_RsqMR240_Rsq0p09_MR200,L1_HTT100 OR L1_HTT75,1 | 1,L1_HTT75 OR L1_HTT100 OR L1_HTT125 OR L1_HTT150 OR L1_HTT175 OR L1_SingleJet128 OR L1_SingleJet176 OR L1_SingleJet200 OR L1_DoubleJetC84 OR L1_DoubleJetC100 OR L1_QuadJetC40 OR L1_QuadJetC60, 1|1|1|1|1|1|1|1|1|1|1|1,1,1,7.69,+/-,0.01,8.12,+/-,0.40,8.12,+/-,0.40,5.20%,+/-,4.70%
HLT_Mu8_TrkIsoVVL_Ele17_CaloIdL_TrackIdL_IsoVL,L1_Mu5_EG15,1,L1_Mu5_EG15, 1,1,1,7.52,+/-,0.01,8.35,+/-,0.41,8.35,+/-,0.41,9.96%,+/-,4.40%
HLT_PFHT750_4JetPt50,L1_HTT175 OR L1_HTT150,1 | 1,L1_HTT150 OR L1_HTT175, 1|1,1,1,7.48,+/-,0.01,7.42,+/-,0.38,7.42,+/-,0.38,0.87%,+/-,5.09%
HLT_Mu20,L1_SingleMu16,1,L1_SingleMu16, 1,60,60,7.38,+/-,0.01,328.71,+/-,2.56,5.48,+/-,0.04,25.73%,+/-,0.47%
HLT_Ele105_CaloIdVT_GsfTrkIdT,L1_SingleEG35 OR L1_SingleEG40,1 | 1,L1_SingleEG35 OR L1_SingleEG40 OR L1_SingleJet200, 1|1|1,1,1,7.31,+/-,0.01,7.58,+/-,0.39,7.58,+/-,0.39,3.53%,+/-,4.95%
HLT_Diphoton30_18_R9Id_OR_IsoCaloId_AND_HE_R9Id_Mass95,L1_SingleEG25 OR L1_SingleEG40,1 | 1,L1_SingleEG40 OR L1_SingleEG25 OR L1_DoubleEG_22_10 OR L1_DoubleEG_15_10, 1|1|1|1,1,1,7.23,+/-,0.01,6.84,+/-,0.37,6.84,+/-,0.37,5.39%,+/-,4.83%
HLT_Diphoton30EB_18EB_R9Id_OR_IsoCaloId_AND_HE_R9Id_DoublePixelVeto_Mass55,L1_SingleEG25 OR L1_SingleEG40,1 | 1,L1_SingleEG40 OR L1_SingleEG25 OR L1_DoubleEG_22_10 OR L1_DoubleEG_15_10, 1|1|1|1,1,1,7.14,+/-,0.01,6.84,+/-,0.37,6.84,+/-,0.37,4.19%,+/-,4.95%
HLT_Mu17_TrkIsoVVL_TkMu8_TrkIsoVVL_DZ,L1_DoubleMu_10_3p5,1,L1_DoubleMu_10_3p5 OR L1_DoubleMu_12_5, 1|1,1,1,7.03,+/-,0.01,7.78,+/-,0.39,7.78,+/-,0.39,9.62%,+/-,4.57%
HLT_L2Mu40_NoVertex_3Sta_NoBPTX3BX_NoHalo,L1_SingleMuOpen OR L1_SingleMuOpen_NotBptxOR,262139 | 1,L1_SingleMuOpen_NotBptxOR, 1,1,1,6.95,+/-,0.01,7.06,+/-,0.37,7.06,+/-,0.37,1.60%,+/-,5.23%
HLT_BTagMu_DiJet110_Mu5,L1_Mu3_JetC52_WdEtaPhi2,7,L1_Mu3_JetC52_WdEtaPhi2, 7,1,1,6.86,+/-,0.01,7.40,+/-,0.38,7.40,+/-,0.38,7.32%,+/-,4.81%
HLT_L2Mu10,L1_SingleMu16,1,L1_SingleMu16, 1,500,500,6.76,+/-,0.01,2577.88,+/-,7.16,5.16,+/-,0.01,23.68%,+/-,0.25%
HLT_Ele22_eta2p1_WPLoose_Gsf_LooseIsoPFTau20,L1_IsoEG20er_TauJet20er_NotWdEta0,1,L1_IsoEG20er_TauJet20er_NotWdEta0, 1,1,1,6.67,+/-,0.01,7.14,+/-,0.38,7.14,+/-,0.38,6.55%,+/-,4.94%
HLT_Diphoton30PV_18PV_R9Id_AND_IsoCaloId_AND_HE_R9Id_DoublePixelVeto_Mass55,L1_SingleEG25 OR L1_SingleEG40,1 | 1,L1_SingleEG40 OR L1_SingleEG25 OR L1_DoubleEG_22_10 OR L1_DoubleEG_15_10, 1|1|1|1,1,1,6.54,+/-,0.01,6.36,+/-,0.36,6.36,+/-,0.36,2.72%,+/-,5.29%
HLT_HcalCalibration,,,none, -1|,1,1,6.51,+/-,0.01,0.00,+/-,0.00,0.00,+/-,0.00,100.00%,+/-,0.19%
HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ,L1_DoubleMu_10_3p5,1,L1_DoubleMu_10_3p5 OR L1_DoubleMu_12_5, 1|1,1,1,6.36,+/-,0.01,7.22,+/-,0.38,7.22,+/-,0.38,11.89%,+/-,4.63%
HLT_Mu30_TkMu11,L1_SingleMu16 OR L1_SingleMu25,1 | 1,L1_SingleMu16 OR L1_SingleMu25, 1|1,1,1,6.34,+/-,0.01,6.66,+/-,0.36,6.66,+/-,0.36,4.93%,+/-,5.20%
HLT_Diphoton30_18_Solid_R9Id_AND_IsoCaloId_AND_HE_R9Id_Mass55,L1_SingleEG25 OR L1_SingleEG40,1 | 1,L1_SingleEG40 OR L1_SingleEG25 OR L1_DoubleEG_22_10 OR L1_DoubleEG_15_10, 1|1|1|1,1,1,6.33,+/-,0.01,6.33,+/-,0.35,6.33,+/-,0.35,0.09%,+/-,5.60%
HLT_PFMET100_PFMHT100_IDTight,L1_ETM70,1,L1_ETM70 OR L1_DoubleJetC56_ETM60 OR L1_ETM60 OR L1_ETM50, 1|1|1|1,1,1,6.18,+/-,0.01,6.33,+/-,0.35,6.33,+/-,0.35,2.26%,+/-,5.48%
HLT_BTagMu_DiJet40_Mu5,L1_Mu3_JetC16_WdEtaPhi2,150,L1_Mu3_JetC16_WdEtaPhi2, 150,1,1,6.14,+/-,0.01,6.70,+/-,0.37,6.70,+/-,0.37,8.43%,+/-,4.99%
HLT_DoubleMu4_3_Bs,L1_DoubleMu0_Eta1p6_WdEta18 OR L1_DoubleMu0,1 | 150,L1_DoubleMu0_Eta1p6_WdEta18 OR L1_DoubleMu0_Eta1p6_WdEta18_OS OR L1_DoubleMu_10_0_WdEta18, 1|1|1,1,1,6.12,+/-,0.01,6.11,+/-,0.35,6.11,+/-,0.35,0.23%,+/-,5.68%
HLT_IsoMu18_CentralPFJet30_BTagCSV07,L1_SingleMu16,1,L1_SingleMu16, 1,1,1,5.94,+/-,0.01,5.79,+/-,0.34,5.79,+/-,0.34,2.50%,+/-,5.58%
