Path,L1Path,L1Prescale(5e33),Steam L1path,Steam L1Prescale,WBM hltPrescale(5e33),Steam hltPrescale,,Data Rate (Hz),,,Steam Rate (Hz),,,Steam Rate hltPrescaled(Hz),,,Bias(data-steam)
HLT_DoubleMu3_Mass10,L1_DoubleMu_10_3p5,1,L1_DoubleMu_10_3p5 OR L1_DoubleMu_12_5, 1|1,1,1,212.76,+/-,0.07,218.32,+/-,2.08,218.32,+/-,2.08,2.54%,+/-,0.93%
HLT_Ele23_WPLoose_Gsf,L1_SingleEG20,1,L1_SingleEG20 OR L1_SingleIsoEG18er OR L1_SingleIsoEG20 OR L1_SingleIsoEG20er OR L1_SingleIsoEG22er OR L1_SingleEG25, 10|1|1|10|1|1,1,1,170.75,+/-,0.06,172.93,+/-,1.85,172.93,+/-,1.85,1.26%,+/-,1.06%
HLT_Ele27_WPLoose_Gsf,L1_SingleIsoEG20 OR L1_SingleIsoEG20er,1 | 1,L1_SingleIsoEG20er OR L1_SingleEG20 OR L1_SingleEG25, 10|10|1,1,1,115.52,+/-,0.05,115.68,+/-,1.52,115.68,+/-,1.52,0.14%,+/-,1.31%
HLT_Ele22_eta2p1_WPLoose_Gsf,L1_SingleIsoEG20 OR L1_SingleIsoEG20er,1 | 1,L1_SingleIsoEG20er OR L1_SingleIsoEG22er OR L1_SingleEG25, 10|1|1,1,1,110.86,+/-,0.05,111.35,+/-,1.49,111.35,+/-,1.49,0.43%,+/-,1.33%
HLT_IsoMu18,L1_SingleMu16,1,L1_SingleMu16, 1,1,1,99.33,+/-,0.05,104.07,+/-,1.44,104.07,+/-,1.44,4.55%,+/-,1.32%
HLT_IsoTkMu18,L1_SingleMu16,1,L1_SingleMu16, 1,1,1,89.73,+/-,0.05,94.44,+/-,1.37,94.44,+/-,1.37,4.99%,+/-,1.38%
HLT_OldIsoMu18,L1_SingleMu16,1,L1_SingleMu16, 1,1,1,82.13,+/-,0.04,86.01,+/-,1.31,86.01,+/-,1.31,4.51%,+/-,1.45%
HLT_IsoMu20,L1_SingleMu16,1,L1_SingleMu16, 1,1,1,79.61,+/-,0.04,83.22,+/-,1.29,83.22,+/-,1.29,4.35%,+/-,1.48%
HLT_OldIsoTkMu18,L1_SingleMu16,1,L1_SingleMu16, 1,1,1,75.50,+/-,0.04,79.03,+/-,1.25,79.03,+/-,1.25,4.46%,+/-,1.52%
HLT_Ele27_eta2p1_WPLoose_Gsf,L1_SingleIsoEG22er,1,L1_SingleIsoEG22er OR L1_SingleEG25, 1|1,1,1,73.76,+/-,0.04,74.11,+/-,1.21,74.11,+/-,1.21,0.48%,+/-,1.63%
HLT_IsoTkMu20,L1_SingleMu16,1,L1_SingleMu16, 1,1,1,72.31,+/-,0.04,75.43,+/-,1.22,75.43,+/-,1.22,4.13%,+/-,1.56%
HLT_Ele22_eta2p1_WPTight_Gsf,L1_SingleIsoEG20 OR L1_SingleIsoEG20er,1 | 1,L1_SingleIsoEG20er OR L1_SingleIsoEG22er OR L1_SingleEG25, 10|1|1,1,1,71.85,+/-,0.04,72.76,+/-,1.20,72.76,+/-,1.20,1.25%,+/-,1.63%
HLT_IsoMu22,L1_SingleMu20,1,L1_SingleMu20, 1,1,1,64.38,+/-,0.04,67.79,+/-,1.16,67.79,+/-,1.16,5.02%,+/-,1.63%
HLT_IsoTkMu22,L1_SingleMu20,1,L1_SingleMu20, 1,1,1,59.81,+/-,0.04,62.71,+/-,1.12,62.71,+/-,1.12,4.63%,+/-,1.70%
HLT_Ele27_eta2p1_WPTight_Gsf,L1_SingleIsoEG22er,1,L1_SingleIsoEG22er OR L1_SingleEG25, 1|1,1,1,49.46,+/-,0.03,49.67,+/-,0.99,49.67,+/-,0.99,0.42%,+/-,1.99%
HLT_IsoMu27,L1_SingleMu25,1,L1_SingleMu25, 1,1,1,45.06,+/-,0.03,48.00,+/-,0.98,48.00,+/-,0.98,6.12%,+/-,1.91%
HLT_IsoTkMu27,L1_SingleMu25,1,L1_SingleMu25, 1,1,1,42.85,+/-,0.03,45.29,+/-,0.95,45.29,+/-,0.95,5.39%,+/-,1.98%
HLT_HT550to650,L1_HTT125 OR L1_HTT150,1 | 1,L1_HTT125 OR L1_HTT150 OR L1_HTT175, 1|1|1,1,1,36.74,+/-,0.03,35.58,+/-,0.84,35.58,+/-,0.84,3.15%,+/-,2.22%
HLT_HT500to550,L1_HTT125 OR L1_HTT150,1 | 1,L1_HTT125 OR L1_HTT150 OR L1_HTT175, 1|1|1,1,1,35.48,+/-,0.03,35.13,+/-,0.84,35.13,+/-,0.84,0.99%,+/-,2.33%
HLT_HT650,L1_HTT125 OR L1_HTT150,1 | 1,L1_HTT125 OR L1_HTT150 OR L1_HTT175, 1|1|1,1,1,33.44,+/-,0.03,32.22,+/-,0.80,32.22,+/-,0.80,3.65%,+/-,2.31%
HLT_HT470to500,L1_HTT125 OR L1_HTT150,1 | 1,L1_HTT125 OR L1_HTT150 OR L1_HTT175, 1|1|1,1,1,31.44,+/-,0.03,32.22,+/-,0.80,32.22,+/-,0.80,2.44%,+/-,2.43%
HLT_Ele32_eta2p1_WPTight_Gsf,L1_SingleIsoEG30er,1,L1_SingleIsoEG30er OR L1_SingleEG40, 1|1,1,1,30.26,+/-,0.03,30.81,+/-,0.78,30.81,+/-,0.78,1.78%,+/-,2.50%
HLT_HT450to470,L1_HTT125 OR L1_HTT150,1 | 1,L1_HTT125 OR L1_HTT150 OR L1_HTT175, 1|1|1,1,1,27.13,+/-,0.03,26.79,+/-,0.73,26.79,+/-,0.73,1.24%,+/-,2.66%
HLT_Mu17,L1_SingleMu12,70,L1_SingleMu12, 70,1,1,26.70,+/-,0.03,27.03,+/-,0.73,27.03,+/-,0.73,1.21%,+/-,2.68%
HLT_Ele30WP60_SC4_Mass55,L1_SingleEG25,1,L1_SingleEG25 OR L1_SingleIsoEG30er, 1|1,1,1,22.29,+/-,0.02,21.12,+/-,0.65,21.12,+/-,0.65,5.22%,+/-,2.76%
