Path,L1Path,L1Prescale(1e33),Steam L1path,Steam L1Prescale,WBM hltPrescale(1e33),Steam hltPrescale,,Data Rate (Hz),,,Steam Rate (Hz),,,Steam Rate hltPrescaled(Hz),,,Bias(data-steam)
HLT_HT550to650,L1_HTT125 OR L1_HTT150,1 | 1,L1_HTT125 OR L1_HTT150 OR L1_HTT175, 1|1|1,1,1,14.14,+/-,0.04,14.00,+/-,0.45,14.00,+/-,0.45,0.98%,+/-,3.15%
HLT_HT500to550,L1_HTT125 OR L1_HTT150,1 | 1,L1_HTT125 OR L1_HTT150 OR L1_HTT175, 1|1|1,1,1,13.73,+/-,0.04,13.80,+/-,0.44,13.80,+/-,0.44,0.55%,+/-,3.21%
HLT_BTagMu_DiJet110_Mu5,L1_Mu3_JetC52_WdEtaPhi2,1,L1_Mu3_JetC52_WdEtaPhi2, 1,1,1,13.69,+/-,0.04,13.30,+/-,0.44,13.30,+/-,0.44,2.84%,+/-,3.11%
HLT_HT650,L1_HTT125 OR L1_HTT150,1 | 1,L1_HTT125 OR L1_HTT150 OR L1_HTT175, 1|1|1,1,1,12.77,+/-,0.04,12.13,+/-,0.42,12.13,+/-,0.42,4.97%,+/-,3.12%
HLT_HT470to500,L1_HTT125 OR L1_HTT150,1 | 1,L1_HTT125 OR L1_HTT150 OR L1_HTT175, 1|1|1,1,1,12.16,+/-,0.04,11.65,+/-,0.41,11.65,+/-,0.41,4.26%,+/-,3.23%
HLT_Ele32_eta2p1_WPTight_Gsf,L1_SingleIsoEG30er,1,L1_SingleIsoEG30er OR L1_SingleEG40, 1|1,1,1,12.10,+/-,0.04,12.46,+/-,0.42,12.46,+/-,0.42,2.86%,+/-,3.30%
HLT_Mu20,L1_SingleMu16,1,L1_SingleMu16, 1,10,10,11.53,+/-,0.04,115.51,+/-,1.28,11.55,+/-,0.13,0.20%,+/-,1.16%
HLT_Ele30WP60_SC4_Mass55,L1_SingleEG25,1,L1_SingleEG25 OR L1_SingleIsoEG30er, 1|1,1,1,11.12,+/-,0.04,11.62,+/-,0.41,11.62,+/-,0.41,4.27%,+/-,3.37%
HLT_Dimuon10_Jpsi_Barrel,L1_DoubleMu0_Eta1p6_WdEta18 OR L1_DoubleMu0,1 | 30,L1_DoubleMu0_Eta1p6_WdEta18, 1,1,1,10.85,+/-,0.04,10.33,+/-,0.38,10.33,+/-,0.38,4.75%,+/-,3.39%
HLT_HT450to470,L1_HTT125 OR L1_HTT150,1 | 1,L1_HTT125 OR L1_HTT150 OR L1_HTT175, 1|1|1,1,1,10.51,+/-,0.04,10.93,+/-,0.40,10.93,+/-,0.40,3.88%,+/-,3.49%
HLT_LooseIsoPFTau50_Trk30_eta2p1,L1_QuadJetC36_TauJet52,2,L1_QuadJetC36_TauJet52, 2,1,1,10.05,+/-,0.04,10.29,+/-,0.38,10.29,+/-,0.38,2.36%,+/-,3.66%
HLT_BTagMu_DiJet40_Mu5,L1_Mu3_JetC16_WdEtaPhi2,25,L1_Mu3_JetC16_WdEtaPhi2, 25,1,1,9.95,+/-,0.04,9.82,+/-,0.37,9.82,+/-,0.37,1.31%,+/-,3.73%
HLT_ZeroBias_IsolatedBunches,L1_AlwaysTrue,23,L1_AlwaysTrue, 1,50,50,9.59,+/-,0.04,484.21,+/-,2.63,9.68,+/-,0.05,0.95%,+/-,0.65%
HLT_Ele12_CaloIdL_TrackIdL_IsoVL,L1_SingleEG10 OR L1_SingleEG15,1500 | 2,L1_SingleEG15 OR L1_SingleEG10, 2|1500,125,125,9.02,+/-,0.03,1142.44,+/-,4.04,9.14,+/-,0.03,1.31%,+/-,0.51%
HLT_L2Mu10,L1_SingleMu16,1,L1_SingleMu16, 1,100,100,8.89,+/-,0.03,896.10,+/-,3.58,8.96,+/-,0.04,0.81%,+/-,0.55%
HLT_Photon36_R9Id90_HE10_Iso40_EBOnly_PFMET40,L1_SingleEG30,1,L1_SingleEG30, 1,1,1,8.50,+/-,0.03,8.69,+/-,0.35,8.69,+/-,0.35,2.18%,+/-,3.99%
HLT_L1_TripleJet_VBF,L1_TripleJet_92_76_64_VBF,1,L1_TripleJet_92_76_64_VBF OR L1_TripleJet_84_68_48_VBF OR L1_HTT100 OR L1_HTT125 OR L1_HTT150 OR L1_HTT175 OR L1_SingleJet128 OR L1_DoubleJetC84, 1|1|1|1|1|1|1|1,680,680,8.37,+/-,0.03,5713.92,+/-,9.04,8.40,+/-,0.01,0.39%,+/-,0.42%
HLT_Rsq0p02_MR300_TriPFJet80_60_40_DoublePFBTagCSV0p7_0p4_Mbb60_200,L1_HTT100 OR L1_HTT75,1 | 1,L1_HTT75 OR L1_HTT100 OR L1_HTT125 OR L1_HTT150 OR L1_HTT175 OR L1_SingleJet128 OR L1_SingleJet176 OR L1_SingleJet200 OR L1_DoubleJetC84 OR L1_DoubleJetC100 OR L1_QuadJetC40 OR L1_QuadJetC60, 1|1|1|1|1|1|1|1|1|1|1|1,1,1,8.20,+/-,0.03,8.20,+/-,0.34,8.20,+/-,0.34,0.01%,+/-,4.19%
HLT_AK8DiPFJet250_200_TrimMass30_BTagCSV0p45,L1_SingleJet200 OR L1_SingleJet176,1 | 1,L1_SingleJet176 OR L1_SingleJet200, 1|1,1,1,7.68,+/-,0.03,7.73,+/-,0.33,7.73,+/-,0.33,0.66%,+/-,4.29%
HLT_DoubleMu4_LowMassNonResonantTrk_Displaced,L1_DoubleMu0_Eta1p6_WdEta18 OR L1_DoubleMu0,1 | 30,L1_DoubleMu0_Eta1p6_WdEta18 OR L1_DoubleMu0_Eta1p6_WdEta18_OS OR L1_DoubleMu_10_0_WdEta18, 1|1|1,1,1,7.63,+/-,0.03,7.74,+/-,0.33,7.74,+/-,0.33,1.46%,+/-,4.25%
HLT_L2Mu10_NoVertex_NoBPTX,L1_SingleMuOpen OR L1_SingleMuOpen_NotBptxOR,262139 | 1,L1_SingleMuOpen_NotBptxOR, 1,15,15,7.50,+/-,0.03,114.11,+/-,1.28,7.61,+/-,0.09,1.35%,+/-,1.18%
HLT_Mu10_CentralPFJet30_BTagCSV0p54PF,,,L1_Jet32_DoubleMu_Open_10_MuMuNotWdPhi23_JetMuWdPhi1, 1,3,3,6.91,+/-,0.03,20.26,+/-,0.54,6.75,+/-,0.18,2.20%,+/-,2.58%
HLT_Mu8_TrkIsoVVL,L1_SingleMu7 OR L1_SingleMu5,25 | 20,L1_SingleMu5 OR L1_SingleMu7, 20|25,30,30,6.86,+/-,0.03,207.88,+/-,1.72,6.93,+/-,0.06,1.04%,+/-,0.93%
HLT_Ele17_Ele12_CaloIdL_TrackIdL_IsoVL,L1_DoubleEG_15_10,1,L1_DoubleEG_15_10, 1,1,1,6.83,+/-,0.03,6.44,+/-,0.30,6.44,+/-,0.30,5.71%,+/-,4.21%
HLT_HcalCalibration,,,none, -1|,1,1,6.47,+/-,0.03,0.00,+/-,0.00,0.00,+/-,0.00,100.00%,+/-,0.45%
HLT_Mu12_Photon25_CaloIdL_L1OR,L1_Mu5_EG20 OR L1_Mu20_EG10,1 | 1,L1_Mu5_EG20 OR L1_Mu20_EG10, 1|1,1,1,6.45,+/-,0.03,7.00,+/-,0.32,7.00,+/-,0.32,7.92%,+/-,4.18%
