file1:	frozen_2015_25ns14e33_v4.4_HLT_V1_Rate_v2_hltmenu_13TeV_2.0e33_20151017_p.tsv
file2:	frozen_2015_25ns14e33_v4.4_HLT_V1_25ns_data_Run_256843_Rates.tsv
	file1						file2			
path	prescale1		rate1			prescale2		rate2				bias
HLT_Ele15_IsoVVVL_BTagCSV0p72_PFHT400_v3	1	1.06	 ±	0.06		1	0.96	 ±	0.05		9.43%	±	6.97%
HLT_Ele23_CaloIdL_TrackIdL_IsoVL_v3	400	1.38	 ±	0.06		400	1.25	 ±	0.06		9.42%	±	5.87%
HLT_PFHT650_WideJetMJJ900DEtaJJ1p5_v3	1	1.89	 ±	0.08		1	1.72	 ±	0.07		8.99%	±	5.34%
HLT_PFHT650_WideJetMJJ950DEtaJJ1p5_v3	1	1.45	 ±	0.06		1	1.32	 ±	0.06		8.97%	±	5.60%
HLT_PFMETNoMu120_JetIdCleaned_PFMHTNoMu120_IDTight_v2	1	1.90	 ±	0.08		1	1.73	 ±	0.07		8.95%	±	5.32%
HLT_PFMETNoMu120_PFMHTNoMu120_IDTight_v1	1	1.90	 ±	0.08		1	1.73	 ±	0.07		8.95%	±	5.32%
HLT_HT550_DisplacedDijet40_Inclusive_v2	1	0.56	 ±	0.04		1	0.51	 ±	0.04		8.93%	±	9.66%
HLT_DoublePhoton60_v1	1	1.01	 ±	0.06		1	0.92	 ±	0.05		8.91%	±	7.33%
HLT_Photon75_R9Id90_HE10_Iso40_EBOnly_VBF_v2	1	0.45	 ±	0.04		1	0.41	 ±	0.03		8.89%	±	10.49%
HLT_Diphoton30_18_R9Id_OR_IsoCaloId_AND_HE_R9Id_DoublePixelSeedMatch_Mass70_v1	1	0.90	 ±	0.05		1	0.82	 ±	0.05		8.89%	±	7.52%
HLT_DiPFJet40_DEta3p5_MJJ600_PFMETNoMu80_v1	1	1.70	 ±	0.07		1	1.55	 ±	0.06		8.82%	±	5.15%
HLT_CaloJet500_NoJetID_v2	1	1.95	 ±	0.08		1	1.78	 ±	0.07		8.72%	±	5.19%
HLT_DoublePhoton85_v2	1	0.23	 ±	0.02		1	0.21	 ±	0.02		8.70%	±	11.77%
HLT_DiPFJetAve500_v2	1	0.69	 ±	0.04		1	0.63	 ±	0.04		8.70%	±	7.85%
HLT_MonoCentralPFJet80_PFMETNoMu120_JetIdCleaned_PFMHTNoMu120_IDTight_v2	1	1.85	 ±	0.08		1	1.69	 ±	0.07		8.65%	±	5.47%
HLT_PFHT600_v3	6	3.70	 ±	0.10		6	3.38	 ±	0.09		8.65%	±	3.47%
HLT_MonoCentralPFJet80_PFMETNoMu120_PFMHTNoMu120_IDTight_v1	1	1.85	 ±	0.08		1	1.69	 ±	0.07		8.65%	±	5.47%
HLT_HT500_DisplacedDijet40_Inclusive_v2	1	0.81	 ±	0.04		1	0.74	 ±	0.04		8.64%	±	6.69%
HLT_PFMETNoMu90_PFMHTNoMu90_IDTight_v1	1	4.77	 ±	0.12		1	4.36	 ±	0.11		8.60%	±	3.26%
HLT_Photon120_R9Id90_HE10_IsoM_v3	1	1.28	 ±	0.06		1	1.17	 ±	0.06		8.59%	±	6.35%
HLT_Rsq0p25_v2	1	0.35	 ±	0.03		1	0.32	 ±	0.03		8.57%	±	11.61%
HLT_PFJet140_v4	1	0.70	 ±	0.04		1	0.64	 ±	0.04		8.57%	±	7.74%
HLT_QuadPFJet_DoubleBTagCSV_VBF_Mqq240_v4	1	2.47	 ±	0.08		1	2.26	 ±	0.08		8.50%	±	4.39%
HLT_MonoCentralPFJet80_PFMETNoMu90_PFMHTNoMu90_IDTight_v1	1	4.47	 ±	0.12		1	4.09	 ±	0.10		8.50%	±	3.32%
HLT_MonoCentralPFJet80_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v3	1	4.47	 ±	0.12		1	4.09	 ±	0.10		8.50%	±	3.32%
HLT_DoubleEle8_CaloIdM_TrackIdM_Mass8_PFHT250_v1	1	0.71	 ±	0.04		1	0.65	 ±	0.04		8.45%	±	7.64%
HLT_DiPFJetAve400_v2	1	2.14	 ±	0.08		1	1.96	 ±	0.07		8.41%	±	4.74%
HLT_Ele27_WPLoose_Gsf_TriCentralPFJet50_40_30_v1	1	1.19	 ±	0.06		1	1.09	 ±	0.05		8.40%	±	6.24%
HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v3	1	4.76	 ±	0.12		1	4.36	 ±	0.11		8.40%	±	3.27%
HLT_Ele23_Ele12_CaloIdL_TrackIdL_IsoVL_DZ_v3	1	2.03	 ±	0.08		1	1.86	 ±	0.07		8.37%	±	4.99%
HLT_DiPFJetAve300_HFJEC_v3	1	0.12	 ±	0.02		1	0.11	 ±	0.02		8.33%	±	22.61%
HLT_Ele16_Ele12_Ele8_CaloIdL_TrackIdL_v3	1	0.24	 ±	0.02		1	0.22	 ±	0.02		8.33%	±	11.30%
HLT_Photon300_NoHE_v2	1	0.48	 ±	0.04		1	0.44	 ±	0.03		8.33%	±	9.87%
HLT_Ele27_WPLoose_Gsf_WHbbBoost_v2	1	0.84	 ±	0.05		1	0.77	 ±	0.04		8.33%	±	7.24%
HLT_Photon90_R9Id90_HE10_Iso40_EBOnly_PFMET40_v3	1	0.36	 ±	0.04		1	0.33	 ±	0.03		8.33%	±	13.16%
HLT_PFMET170_NoiseCleaned_v3	1	1.81	 ±	0.08		1	1.66	 ±	0.07		8.29%	±	5.60%
HLT_PFJet500_v4	1	1.33	 ±	0.06		1	1.22	 ±	0.06		8.27%	±	6.12%
HLT_DoubleEle33_CaloIdL_GsfTrkIdVL_MW_v3	1	1.33	 ±	0.06		1	1.22	 ±	0.06		8.27%	±	6.12%
HLT_Photon90_CaloIdL_PFHT600_v2	1	1.09	 ±	0.06		1	1.00	 ±	0.05		8.26%	±	6.82%
HLT_PFHT350_DiPFJetAve90_PFAlphaT0p53_v2	1	0.73	 ±	0.04		1	0.67	 ±	0.04		8.22%	±	7.44%
HLT_Ele23_WPLoose_Gsf_CentralPFJet30_BTagCSV07_v2	1	5.97	 ±	0.13		1	5.48	 ±	0.12		8.21%	±	2.83%
HLT_QuadPFJet_DoubleBTagCSV_VBF_Mqq200_v4	1	5.73	 ±	0.12		1	5.26	 ±	0.12		8.20%	±	2.84%
HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v2	1	5.26	 ±	0.12		1	4.83	 ±	0.11		8.17%	±	2.96%
HLT_AK8PFHT700_TrimR0p1PT0p03Mass50_v3	1	4.04	 ±	0.10		1	3.71	 ±	0.10		8.17%	±	3.36%
HLT_Ele22_eta2p1_WPLoose_Gsf_LooseIsoPFTau20_v3	1	2.94	 ±	0.10		1	2.70	 ±	0.08		8.16%	±	4.14%
HLT_Photon90_CaloIdL_PFHT500_v3	1	2.33	 ±	0.08		1	2.14	 ±	0.07		8.15%	±	4.36%
HLT_Photon42_R9Id85_OR_CaloId24b40e_Iso50T80L_Photon25_AND_HE10_R9Id65_Eta2_Mass15_v2	1	2.21	 ±	0.08		1	2.03	 ±	0.07		8.14%	±	4.59%
HLT_Rsq0p02_MR300_TriPFJet80_60_40_DoublePFBTagCSV0p7_0p4_Mbb60_200_v1	1	7.99	 ±	0.15		1	7.34	 ±	0.14		8.14%	±	2.46%
HLT_LooseIsoPFTau50_Trk30_eta2p1_MET80_v1	1	3.32	 ±	0.10		1	3.05	 ±	0.09		8.13%	±	3.87%
HLT_PFHT800_v2	1	5.66	 ±	0.13		1	5.20	 ±	0.12		8.13%	±	2.99%
HLT_PFMET170_JetIdCleaned_v2	1	1.85	 ±	0.08		1	1.70	 ±	0.07		8.11%	±	5.49%
HLT_Ele27_eta2p1_WPLoose_Gsf_HT200_v2	1	2.59	 ±	0.08		1	2.38	 ±	0.08		8.11%	±	4.19%
HLT_Diphoton30PV_18PV_R9Id_AND_IsoCaloId_AND_HE_R9Id_DoublePixelVeto_Mass55_v1	1	2.96	 ±	0.10		1	2.72	 ±	0.08		8.11%	±	4.12%
HLT_AK8PFJet360_TrimMass30_v3	1	2.47	 ±	0.08		1	2.27	 ±	0.08		8.10%	±	4.40%
HLT_RsqMR270_Rsq0p09_MR200_v2	1	0.99	 ±	0.06		1	0.91	 ±	0.05		8.08%	±	7.52%
HLT_PFMET170_v2	1	5.12	 ±	0.12		1	4.71	 ±	0.11		8.01%	±	3.04%
HLT_DoubleEle33_CaloIdL_GsfTrkIdVL_v3	1	2.25	 ±	0.08		1	2.07	 ±	0.07		8.00%	±	4.51%
HLT_PFHT300_DiPFJetAve90_PFAlphaT0p53_v2	1	1.25	 ±	0.06		1	1.15	 ±	0.05		8.00%	±	5.96%
HLT_DiPFJetAve200_v2	35	1.88	 ±	0.08		35	1.73	 ±	0.07		7.98%	±	5.40%
HLT_Ele27_eta2p1_WPLoose_Gsf_v2	1	33.62	 ±	0.31		1	30.94	 ±	0.28		7.97%	±	1.19%
HLT_DiPFJetAve220_HFJEC_v3	1	1.38	 ±	0.06		1	1.27	 ±	0.06		7.97%	±	5.91%
HLT_Ele35_CaloIdVT_GsfTrkIdT_PFJet150_PFJet50_v1	1	3.64	 ±	0.10		1	3.35	 ±	0.09		7.97%	±	3.54%
HLT_PFJet450_v4	1	2.26	 ±	0.08		1	2.08	 ±	0.07		7.96%	±	4.50%
HLT_Photon250_NoHE_v2	1	1.13	 ±	0.06		1	1.04	 ±	0.05		7.96%	±	6.59%
HLT_Ele23_WPLoose_Gsf_WHbbBoost_v2	1	1.51	 ±	0.06		1	1.39	 ±	0.06		7.95%	±	5.40%
HLT_Ele30WP60_SC4_Mass55_v3	1	10.32	 ±	0.17		1	9.50	 ±	0.16		7.95%	±	2.17%
HLT_PFHT750_4JetPt50_v3	1	3.65	 ±	0.10		1	3.36	 ±	0.09		7.95%	±	3.53%
HLT_Photon75_R9Id90_HE10_Iso40_EBOnly_PFMET40_v3	1	0.63	 ±	0.04		1	0.58	 ±	0.04		7.94%	±	8.63%
HLT_HT450to470_v1	1	12.60	 ±	0.19		1	11.60	 ±	0.17		7.94%	±	1.94%
HLT_AK8DiPFJet280_200_TrimMass30_BTagCSV0p45_v3	1	6.30	 ±	0.14		1	5.80	 ±	0.12		7.94%	±	2.80%
HLT_HT550to650_v1	1	17.40	 ±	0.22		1	16.02	 ±	0.20		7.93%	±	1.64%
HLT_Ele27_WPLoose_Gsf_CentralPFJet30_BTagCSV07_v1	1	5.30	 ±	0.12		1	4.88	 ±	0.11		7.92%	±	2.94%
HLT_PFMET170_HBHECleaned_v2	1	5.05	 ±	0.12		1	4.65	 ±	0.11		7.92%	±	3.09%
HLT_HT500to550_v1	1	16.30	 ±	0.22		1	15.01	 ±	0.20		7.91%	±	1.75%
HLT_Ele27_WPLoose_Gsf_v1	1	54.35	 ±	0.39		1	50.05	 ±	0.36		7.91%	±	0.94%
HLT_PFHT200_DiPFJetAve90_PFAlphaT0p63_v2	1	2.15	 ±	0.08		1	1.98	 ±	0.07		7.91%	±	4.73%
HLT_Photon36_R9Id90_HE10_Iso40_EBOnly_PFMET40_v3	1	6.71	 ±	0.14		1	6.18	 ±	0.13		7.90%	±	2.73%
HLT_PFMET120_BTagCSV0p72_v1	1	0.38	 ±	0.04		1	0.35	 ±	0.03		7.89%	±	12.50%
HLT_AK8PFHT600_TrimR0p1PT0p03Mass50_BTagCSV0p45_v2	1	5.32	 ±	0.12		1	4.90	 ±	0.11		7.89%	±	2.93%
HLT_PFHT400_DiPFJetAve90_PFAlphaT0p51_v2	1	1.14	 ±	0.06		1	1.05	 ±	0.05		7.89%	±	6.54%
HLT_AK8DiPFJet250_200_TrimMass30_BTagCSV0p45_v2	1	9.00	 ±	0.16		1	8.29	 ±	0.15		7.89%	±	2.34%
HLT_HT470to500_v1	1	14.96	 ±	0.20		1	13.78	 ±	0.19		7.89%	±	1.77%
HLT_Photon175_v3	1	2.16	 ±	0.08		1	1.99	 ±	0.07		7.87%	±	4.71%
HLT_PFHT300_DiPFJetAve90_PFAlphaT0p54_v2	1	0.89	 ±	0.06		1	0.82	 ±	0.05		7.87%	±	8.38%
HLT_HT650_v2	1	15.26	 ±	0.21		1	14.06	 ±	0.19		7.86%	±	1.78%
HLT_Photon36_R9Id90_HE10_Iso40_EBOnly_VBF_v2	1	3.18	 ±	0.10		1	2.93	 ±	0.09		7.86%	±	4.05%
HLT_PFMET90_PFMHT90_IDTight_v2	1	4.71	 ±	0.12		1	4.34	 ±	0.11		7.86%	±	3.31%
HLT_Ele23_WPLoose_Gsf_v3	1	81.26	 ±	0.48		1	74.88	 ±	0.44		7.85%	±	0.77%
HLT_Rsq0p02_MR300_TriPFJet80_60_40_DoublePFBTagCSV0p7_Mbb60_200_v1	1	4.08	 ±	0.10		1	3.76	 ±	0.10		7.84%	±	3.33%
HLT_PFHT250_DiPFJetAve90_PFAlphaT0p58_v2	1	1.02	 ±	0.06		1	0.94	 ±	0.05		7.84%	±	7.31%
HLT_VBF_DisplacedJet40_DisplacedTrack_v2	1	0.47	 ±	0.04		1	0.51	 ±	0.04		7.84%	±	10.67%
HLT_Ele23_Ele12_CaloIdL_TrackIdL_IsoVL_v3	1	3.57	 ±	0.10		1	3.29	 ±	0.09		7.84%	±	3.61%
HLT_PFHT450_SixJet40_v3	1	2.68	 ±	0.09		1	2.47	 ±	0.08		7.84%	±	4.30%
HLT_MET200_v1	1	3.96	 ±	0.10		1	3.65	 ±	0.10		7.83%	±	3.43%
HLT_Ele22_eta2p1_WPLoose_Gsf_v3	1	48.66	 ±	0.37		1	44.86	 ±	0.34		7.81%	±	0.99%
HLT_Diphoton30_18_R9Id_OR_IsoCaloId_AND_HE_R9Id_Mass95_v1	1	3.33	 ±	0.10		1	3.07	 ±	0.09		7.81%	±	3.87%
HLT_HT400_DisplacedDijet40_Inclusive_v2	1	2.18	 ±	0.08		1	2.01	 ±	0.07		7.80%	±	4.66%
HLT_HT250_DisplacedDijet40_DisplacedTrack_v2	1	0.77	 ±	0.04		1	0.71	 ±	0.04		7.79%	±	7.07%
HLT_PFMET120_PFMHT120_IDTight_v2	1	1.54	 ±	0.06		1	1.42	 ±	0.06		7.79%	±	5.30%
HLT_Diphoton30EB_18EB_R9Id_OR_IsoCaloId_AND_HE_R9Id_DoublePixelVeto_Mass55_v1	1	3.34	 ±	0.10		1	3.08	 ±	0.09		7.78%	±	3.86%
HLT_Ele22_eta2p1_WPTight_Gsf_v3	1	31.98	 ±	0.30		1	29.50	 ±	0.28		7.75%	±	1.23%
HLT_Ele27_eta2p1_WPLoose_Gsf_LooseIsoPFTau20_v3	1	3.62	 ±	0.10		1	3.34	 ±	0.09		7.73%	±	3.56%
HLT_Ele27_eta2p1_WPTight_Gsf_v2	1	22.53	 ±	0.25		1	20.79	 ±	0.23		7.72%	±	1.45%
HLT_Ele30WP60_Ele8_Mass55_v2	1	4.67	 ±	0.12		1	4.31	 ±	0.11		7.71%	±	3.34%
HLT_Photon120_R9Id90_HE10_Iso40_EBOnly_VBF_v2	1	0.13	 ±	0.02		1	0.12	 ±	0.02		7.69%	±	20.94%
HLT_Photon36_v3	1250	0.48	 ±	0.04		1250	0.52	 ±	0.04		7.69%	±	10.47%
HLT_Photon90_R9Id90_HE10_Iso40_EBOnly_VBF_v2	1	0.26	 ±	0.02		1	0.24	 ±	0.02		7.69%	±	10.47%
HLT_Photon36_R9Id85_OR_CaloId24b40e_Iso50T80L_Photon22_AND_HE10_R9Id65_Eta2_Mass15_v2	1	3.77	 ±	0.10		1	3.48	 ±	0.10		7.69%	±	3.61%
HLT_Photon165_HE10_v3	1	2.34	 ±	0.08		1	2.16	 ±	0.07		7.69%	±	4.35%
HLT_Diphoton30_18_Solid_R9Id_AND_IsoCaloId_AND_HE_R9Id_Mass55_v1	1	2.87	 ±	0.09		1	2.65	 ±	0.08		7.67%	±	4.02%
HLT_PFMET110_PFMHT110_IDTight_v2	1	2.09	 ±	0.08		1	1.93	 ±	0.07		7.66%	±	4.87%
HLT_PFHT200_DiPFJetAve90_PFAlphaT0p57_v2	1	4.85	 ±	0.12		1	4.48	 ±	0.11		7.63%	±	3.22%
HLT_Ele22_eta2p1_WPLoose_Gsf_LooseIsoPFTau20_SingleL1_v2	1	4.72	 ±	0.12		1	4.36	 ±	0.11		7.63%	±	3.31%
HLT_QuadPFJet_SingleBTagCSV_VBF_Mqq460_v4	1	1.72	 ±	0.07		1	1.59	 ±	0.06		7.56%	±	5.13%
HLT_Ele27_eta2p1_WPLoose_Gsf_DoubleMediumIsoPFTau40_Trk1_eta2p1_Reg_v3	1	0.53	 ±	0.04		1	0.49	 ±	0.04		7.55%	±	10.28%
HLT_PFHT400_SixJet30_BTagCSV0p55_2PFBTagCSV0p72_v3	1	1.46	 ±	0.06		1	1.35	 ±	0.06		7.53%	±	5.60%
HLT_DiPFJetAve160_HFJEC_v3	6	1.86	 ±	0.08		6	1.72	 ±	0.07		7.53%	±	5.48%
HLT_Ele105_CaloIdVT_GsfTrkIdT_v3	1	3.19	 ±	0.10		1	2.95	 ±	0.09		7.52%	±	4.05%
HLT_Photon50_R9Id90_HE10_Iso40_EBOnly_VBF_v2	1	1.33	 ±	0.06		1	1.23	 ±	0.06		7.52%	±	6.14%
HLT_Ele15_IsoVVVL_PFHT350_v2	1	4.66	 ±	0.12		1	4.31	 ±	0.11		7.51%	±	3.35%
HLT_PFMET100_PFMHT100_IDTight_v2	1	2.81	 ±	0.09		1	2.60	 ±	0.08		7.47%	±	4.11%
HLT_Ele32_eta2p1_WPTight_Gsf_v2	1	13.92	 ±	0.20		1	12.88	 ±	0.18		7.47%	±	1.85%
HLT_Ele17_Ele12_CaloIdL_TrackIdL_IsoVL_DZ_v3	1	2.42	 ±	0.08		1	2.24	 ±	0.08		7.44%	±	4.50%
HLT_Ele27_eta2p1_WPLoose_Gsf_DoubleMediumIsoPFTau35_Trk1_eta2p1_Reg_v2	1	0.54	 ±	0.04		1	0.50	 ±	0.04		7.41%	±	10.10%
HLT_PFHT200_PFAlphaT0p51_v2	175	0.25	 ±	0.02		175	0.27	 ±	0.03		7.41%	±	13.06%
HLT_PFHT450_SixJet40_PFBTagCSV0p72_v3	1	1.35	 ±	0.06		1	1.25	 ±	0.06		7.41%	±	6.06%
HLT_RsqMR240_Rsq0p09_MR200_v2	1	3.25	 ±	0.10		1	3.01	 ±	0.09		7.38%	±	3.97%
HLT_CaloMHTNoPU90_PFMET90_PFMHT90_IDTight_BTagCSV0p72_v2	1	0.82	 ±	0.05		1	0.76	 ±	0.04		7.32%	±	7.47%
HLT_PFHT350_DiPFJetAve90_PFAlphaT0p52_v2	1	0.96	 ±	0.06		1	0.89	 ±	0.05		7.29%	±	7.79%
HLT_PFHT250_DiPFJetAve90_PFAlphaT0p55_v2	1	1.95	 ±	0.08		1	1.81	 ±	0.07		7.18%	±	5.23%
HLT_Photon50_R9Id90_HE10_Iso40_EBOnly_PFMET40_v3	1	2.09	 ±	0.08		1	1.94	 ±	0.07		7.18%	±	4.88%
HLT_Photon75_v3	180	0.28	 ±	0.03		180	0.26	 ±	0.03		7.14%	±	14.62%
HLT_PFHT400_DiPFJetAve90_PFAlphaT0p52_v2	1	0.56	 ±	0.04		1	0.52	 ±	0.04		7.14%	±	9.75%
HLT_QuadPFJet_SingleBTagCSV_VBF_Mqq500_v4	1	0.84	 ±	0.05		1	0.78	 ±	0.04		7.14%	±	7.30%
HLT_DoubleEle24_22_eta2p1_WPLoose_Gsf_v2	1	0.70	 ±	0.04		1	0.65	 ±	0.04		7.14%	±	7.80%
HLT_DoubleJetsC100_DoubleBTagCSV0p9_DoublePFJetsC100MaxDeta1p6_v2	1	1.70	 ±	0.07		1	1.58	 ±	0.06		7.06%	±	5.21%
HLT_Ele23_WPLoose_Gsf_TriCentralPFJet50_40_30_v2	1	1.44	 ±	0.06		1	1.34	 ±	0.06		6.94%	±	5.69%
HLT_DoubleJetsC100_DoubleBTagCSV0p85_DoublePFJetsC160_v2	1	0.87	 ±	0.05		1	0.81	 ±	0.05		6.90%	±	7.85%
HLT_Ele115_CaloIdVT_GsfTrkIdT_v2	1	2.20	 ±	0.08		1	2.05	 ±	0.07		6.82%	±	4.65%
HLT_LooseIsoPFTau50_Trk30_eta2p1_MET120_v1	1	0.44	 ±	0.04		1	0.41	 ±	0.03		6.82%	±	10.87%
HLT_Photon135_PFMET100_v1	1	0.89	 ±	0.05		1	0.83	 ±	0.05		6.74%	±	7.68%
HLT_Ele45_CaloIdVT_GsfTrkIdT_PFJet200_PFJet50_v3	1	1.04	 ±	0.06		1	0.97	 ±	0.05		6.73%	±	7.22%
HLT_DiCentralPFJet55_PFMET110_v1	1	1.19	 ±	0.06		1	1.11	 ±	0.05		6.72%	±	6.31%
HLT_DoubleJetsC112_DoubleBTagCSV0p9_DoublePFJetsC112MaxDeta1p6_v2	1	1.19	 ±	0.06		1	1.11	 ±	0.05		6.72%	±	6.31%
HLT_CaloMHTNoPU90_PFMET90_PFMHT90_IDTight_v2	7	0.42	 ±	0.04		7	0.45	 ±	0.03		6.67%	±	10.64%
HLT_QuadJet45_TripleBTagCSV0p67_v3	1	1.06	 ±	0.06		1	0.99	 ±	0.05		6.60%	±	7.09%
HLT_DoubleJet90_Double30_TripleBTagCSV0p67_v3	1	1.22	 ±	0.06		1	1.14	 ±	0.05		6.56%	±	6.16%
HLT_DoubleMediumIsoPFTau35_Trk1_eta2p1_Reg_v2	1	6.07	 ±	0.14		1	5.68	 ±	0.12		6.43%	±	2.93%
HLT_QuadJet45_DoubleBTagCSV0p67_v3	7	1.09	 ±	0.06		7	1.02	 ±	0.05		6.42%	±	6.90%
HLT_PFHT350_PFMET100_v1	1	1.61	 ±	0.07		1	1.51	 ±	0.06		6.21%	±	5.52%
HLT_Ele15_IsoVVVL_PFHT350_PFMET50_v2	1	0.65	 ±	0.04		1	0.61	 ±	0.04		6.15%	±	8.44%
HLT_DoubleJetsC112_DoubleBTagCSV0p85_DoublePFJetsC172_v2	1	0.66	 ±	0.05		1	0.62	 ±	0.04		6.06%	±	9.35%
HLT_PFJet260_v4	8	4.35	 ±	0.11		8	4.09	 ±	0.10		5.98%	±	3.31%
HLT_PFHT250_v2	2040	0.34	 ±	0.04		2040	0.32	 ±	0.03		5.88%	±	14.16%
HLT_Photon165_R9Id90_HE10_IsoM_v3	1	0.34	 ±	0.04		1	0.32	 ±	0.03		5.88%	±	14.16%
HLT_Photon22_R9Id90_HE10_Iso40_EBOnly_VBF_v2	12	1.03	 ±	0.06		12	0.97	 ±	0.05		5.83%	±	7.33%
HLT_DoubleMediumIsoPFTau40_Trk1_eta2p1_Reg_v4	1	4.99	 ±	0.12		1	4.70	 ±	0.11		5.81%	±	3.16%
HLT_PFJet400_v4	2	1.94	 ±	0.08		2	1.83	 ±	0.07		5.67%	±	5.31%
HLT_PFJet320_v4	4	3.00	 ±	0.10		4	2.83	 ±	0.09		5.67%	±	4.35%
HLT_Rsq0p30_v2	1	0.18	 ±	0.02		1	0.17	 ±	0.02		5.56%	±	15.28%
HLT_MET90_IsoTrk50_v2	1	0.18	 ±	0.02		1	0.17	 ±	0.02		5.56%	±	15.28%
HLT_Ele17_Ele12_CaloIdL_TrackIdL_IsoVL_v3	2	2.54	 ±	0.08		2	2.40	 ±	0.08		5.51%	±	4.33%
HLT_PFHT350_v3	180	1.18	 ±	0.06		180	1.12	 ±	0.05		5.08%	±	6.42%
HLT_VBF_DisplacedJet40_DisplacedTrack_2TrackIP2DSig5_v2	1	0.58	 ±	0.04		1	0.61	 ±	0.04		4.92%	±	9.05%
HLT_DoubleEle8_CaloIdM_TrackIdM_Mass8_PFHT300_v4	1	0.41	 ±	0.04		1	0.39	 ±	0.03		4.88%	±	11.82%
HLT_Photon90_R9Id90_HE10_IsoM_v3	2	1.86	 ±	0.08		2	1.77	 ±	0.07		4.84%	±	5.56%
HLT_HT425_v1	210	0.41	 ±	0.04		210	0.43	 ±	0.03		4.65%	±	11.28%
HLT_DiPFJetAve320_v2	4	1.57	 ±	0.07		4	1.50	 ±	0.06		4.46%	±	5.72%
HLT_Photon50_R9Id90_HE10_IsoM_v3	20	1.73	 ±	0.07		20	1.66	 ±	0.07		4.05%	±	5.61%
HLT_RsqMR240_Rsq0p09_MR200_4jet_v2	1	0.50	 ±	0.04		1	0.48	 ±	0.04		4.00%	±	11.09%
HLT_PFHT400_v2	120	1.03	 ±	0.06		120	0.99	 ±	0.05		3.88%	±	7.41%
HLT_HT200_v1	2800	0.54	 ±	0.04		2800	0.52	 ±	0.04		3.70%	±	10.28%
HLT_Photon36_R9Id90_HE10_IsoM_v3	200	0.56	 ±	0.04		200	0.54	 ±	0.04		3.57%	±	9.92%
HLT_Ele33_CaloIdL_TrackIdL_IsoVL_PFJet30_v3	380	0.30	 ±	0.03		380	0.29	 ±	0.03		3.33%	±	13.91%
HLT_Photon75_R9Id90_HE10_IsoM_v3	4	1.87	 ±	0.08		4	1.81	 ±	0.07		3.21%	±	5.58%
HLT_PFHT650_v3	5	2.99	 ±	0.09		5	2.92	 ±	0.09		2.34%	±	4.21%
HLT_Ele23_CaloIdL_TrackIdL_IsoVL_PFJet30_v3	650	0.42	 ±	0.04		650	0.43	 ±	0.03		2.33%	±	11.46%
HLT_HT325_v1	570	0.48	 ±	0.04		570	0.49	 ±	0.04		2.04%	±	11.43%
HLT_DiPFJetAve100_HFJEC_v3	1	0.49	 ±	0.04		1	0.50	 ±	0.04		2.00%	±	11.20%
HLT_DiPFJetAve260_v2	24	0.72	 ±	0.04		24	0.71	 ±	0.04		1.39%	±	7.80%
HLT_L1Tech_DT_GlobalOR_v2	3000	0.00	 ±	0.00		3000	0	 ±	0		0.00%	±	0.00%
********************************************************************************************************
path not matched in frozen_2015_25ns14e33_v4.4_HLT_V1_Rate_v2_hltmenu_13TeV_2.0e33_20151017_p.tsv
********************************************************************************************************
	HLT_Physics_v2
	HLT_Random_v1
********************************************************************************************************
path not matched in frozen_2015_25ns14e33_v4.4_HLT_V1_25ns_data_Run_256843_Rates.tsv
********************************************************************************************************
	HLT_HcalCalibration_v1
	HLT_HIL1DoubleMu0BPTX_v1
	HLT_HIL2Mu3BPTX_v1
	HLT_AK4CaloJet100_v2
	HLT_HISinglePhoton20ForEndOfFill_v1
	HLT_AK4CaloJet30_v3
	HLT_PFMET300_v1
	HLT_PFMET400_v1
	HLT_HT2500_v1
	HLT_FullTrack50_v2
	HLT_Mu300_v1
	HLT_HIL3Mu3BPTX_v1
	HLT_Photon500_v1
	HLT_AK4PFJet100_v3
	HLT_AK4PFJet50_v3
	HLT_IsoTrackHE_v1
	HLT_FullTrack12ForEndOfFill_v1
	HLT_HISinglePhoton60_v2
	HLT_AK4PFJet30_v3
	HLT_AK4PFJet80_v3
	HLT_HISinglePhoton15ForEndOfFill_v1
	HLT_ZeroBias_IsolatedBunches_v1
	HLT_IsoTrackHB_v1
	HLT_Activity_Ecal_SC7_v2
	HLT_Photon600_v1
	HLT_HISinglePhoton10ForEndOfFill_v1
	HLT_MET250_v1
	HLT_AK4CaloJet40_v2
	HLT_AK4CaloJet80_v2
	HLT_HIL2DoubleMu0BPTX_v1
	HLT_HISinglePhoton40_v2
	HLT_GlobalRunHPDNoise_v2
	HLT_MET300_v1
	HLT_AK4CaloJet50_v2
	HLT_HT2000_v1
	HLT_Mu350_v1
********************************************************************************************************
********************************************************************************************************
Numbers of the same path between file1 and file2 is: 399 
Numbers of the rest path in "frozen_2015_25ns14e33_v4.4_HLT_V1_Rate_v2_hltmenu_13TeV_2.0e33_20151017_p.tsv" is: 2 
Numbers of the rest path in "frozen_2015_25ns14e33_v4.4_HLT_V1_25ns_data_Run_256843_Rates.tsv" is: 36 
