Prescale	Path	Group	Total			HLTPhysics1			HLTPhysics2			HLTPhysics3			HLTPhysics4		
1	HLT_Ele23_WPLoose_Gsf_CentralPFJet30_BTagCSV07_v2	TOP	5.48	±	0.12	1.37	±	0.06	1.54	±	0.06	1.26	±	0.06	1.31	±	0.06
1	HLT_DoubleMu4_3_Jpsi_Displaced_v2	BPH	5.47	±	0.12	1.29	±	0.06	1.41	±	0.06	1.39	±	0.06	1.38	±	0.06
1	HLT_QuadPFJet_DoubleBTagCSV_VBF_Mqq200_v4	HIG	5.26	±	0.12	1.36	±	0.06	1.29	±	0.06	1.33	±	0.06	1.28	±	0.06
1	HLT_PFHT800_v2	SUSY	5.20	±	0.12	1.35	±	0.06	1.25	±	0.06	1.21	±	0.06	1.40	±	0.06
20	HLT_Mu20_v2	SMP,Muons	4.92	±	0.11	1.30	±	0.06	1.20	±	0.06	1.24	±	0.06	1.18	±	0.06
1	HLT_AK8PFHT600_TrimR0p1PT0p03Mass50_BTagCSV0p45_v2	B2G	4.90	±	0.11	1.27	±	0.06	1.20	±	0.06	1.25	±	0.06	1.17	±	0.06
1	HLT_Ele27_WPLoose_Gsf_CentralPFJet30_BTagCSV07_v1	TOP	4.88	±	0.11	1.20	±	0.06	1.35	±	0.06	1.11	±	0.05	1.21	±	0.06
1	HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v2	B2G	4.83	±	0.11	1.25	±	0.06	1.18	±	0.06	1.19	±	0.06	1.21	±	0.06
1	HLT_PFMET170_v2	SUSY,EXO,B2G	4.71	±	0.11	1.13	±	0.05	1.223322935	±	0.05636774544	1.166182586	±	0.05503555893	1.189558183	±	0.05558440357
1	HLT_DoubleMediumIsoPFTau40_Trk1_eta2p1_Reg_v4	TAU,HIG	4.70	±	0.11	1.25	±	0.06	1.18	±	0.06	1.11	±	0.05	1.17	±	0.06
1	HLT_PFMET170_HBHECleaned_v2	SUSY,EXO,B2G	4.65	±	0.11	1.12	±	0.05	1.215531069	±	0.05618794356	1.142806988	±	0.0544811855	1.171377163	±	0.05515799637
1	HLT_PFHT200_DiPFJetAve90_PFAlphaT0p57_v2	SUSY	4.48	±	0.11	1.10	±	0.05	1.07	±	0.05	1.23	±	0.06	1.08	±	0.05
1	HLT_BTagMu_DiJet110_Mu5_v2	BTV	4.38	±	0.11	1.08	±	0.05	1.12	±	0.05	1.01	±	0.05	1.17	±	0.06
1	HLT_Ele22_eta2p1_WPLoose_Gsf_LooseIsoPFTau20_SingleL1_v2	TAU,HIG	4.36	±	0.11	1.12	±	0.05	1.05	±	0.05	1.04	±	0.05	1.15	±	0.05
1	HLT_PFMETNoMu90_PFMHTNoMu90_IDTight_v1	EXO	4.36	±	0.11	1.01	±	0.05	1.15	±	0.05	1.11	±	0.05	1.09	±	0.05
1	HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v3	EXO	4.36	±	0.11	1.00	±	0.05	1.15	±	0.05	1.11	±	0.05	1.09	±	0.05
1	HLT_PFMET90_PFMHT90_IDTight_v2	HIG	4.34	±	0.11	1.02	±	0.05	1.10	±	0.05	1.12	±	0.05	1.10	±	0.05
1	HLT_Ele15_IsoVVVL_PFHT350_v2	SUSY	4.31	±	0.11	0.99	±	0.05	1.09	±	0.05	1.10	±	0.05	1.13	±	0.05
1	HLT_Ele30WP60_Ele8_Mass55_v2	HIG	4.31	±	0.11	1.03	±	0.05	1.09	±	0.05	1.13	±	0.05	1.06	±	0.05
1	HLT_DoubleMu4_JpsiTrk_Displaced_v2	BPH	4.15	±	0.10	0.99	±	0.05	1.03	±	0.05	1.06	±	0.05	1.07	±	0.05
1	HLT_MonoCentralPFJet80_PFMETNoMu90_PFMHTNoMu90_IDTight_v1	EXO	4.09	±	0.10	0.94	±	0.05	1.07	±	0.05	1.04	±	0.05	1.04	±	0.05
1	HLT_MonoCentralPFJet80_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v3	EXO	4.09	±	0.10	0.94	±	0.05	1.07	±	0.05	1.04	±	0.05	1.04	±	0.05
8	HLT_PFJet260_v4	JME,SMP,BTV	4.09	±	0.10	1.06	±	0.05	0.92	±	0.05	1.03	±	0.05	1.08	±	0.05
1	HLT_BTagMu_DiJet40_Mu5_v2	BTV	3.87	±	0.10	1.00	±	0.05	0.94	±	0.05	0.94	±	0.05	1.01	±	0.05
1	HLT_Dimuon0_Phi_Barrel_v2	BPH	3.80	±	0.10	0.91	±	0.05	0.88	±	0.05	1.02	±	0.05	0.98	±	0.05
1	HLT_Rsq0p02_MR300_TriPFJet80_60_40_DoublePFBTagCSV0p7_Mbb60_200_v1	SUSY	3.76	±	0.10	0.93	±	0.05	0.91	±	0.05	0.95	±	0.05	0.97	±	0.05
1	HLT_Mu50_v2	EXO,B2G	3.71	±	0.10	0.88	±	0.05	0.94	±	0.05	0.91	±	0.05	0.98	±	0.05
1	HLT_AK8PFHT700_TrimR0p1PT0p03Mass50_v3	B2G	3.71	±	0.10	0.94	±	0.05	0.8882727046	±	0.04803228683	0.9246347451	±	0.04900554348	0.9532049198	±	0.04975689179
1400	HLT_L1_TripleJet_VBF_v4	HIG	3.71	±	0.10	0.92	±	0.05	0.92	±	0.05	0.93	±	0.05	0.93	±	0.05
1	HLT_Dimuon16_Jpsi_v2	BPH	3.69	±	0.10	0.93	±	0.05	0.90	±	0.05	0.91	±	0.05	0.95	±	0.05
1	HLT_MET200_v1	EXO	3.65	±	0.10	0.92	±	0.05	0.91	±	0.05	0.90	±	0.05	0.93	±	0.05
200	HLT_L2Mu10_v1	Muons	3.60	±	0.10	0.92	±	0.05	0.89	±	0.05	0.89	±	0.05	0.90	±	0.05
1	HLT_Photon36_R9Id85_OR_CaloId24b40e_Iso50T80L_Photon22_AND_HE10_R9Id65_Eta2_Mass15_v2	EXO	3.48	±	0.10	0.81	±	0.05	0.93	±	0.05	0.83	±	0.05	0.91	±	0.05
6	HLT_PFHT600_v3	SUSY,EXO	3.38	±	0.09	0.85	±	0.05	0.80	±	0.05	0.81	±	0.05	0.91	±	0.05
1	HLT_PFHT750_4JetPt50_v3	SUSY	3.36	±	0.09	0.84	±	0.05	0.81	±	0.05	0.81	±	0.05	0.91	±	0.05
1	HLT_Ele35_CaloIdVT_GsfTrkIdT_PFJet150_PFJet50_v1	B2G	3.35	±	0.09	0.83	±	0.05	0.84	±	0.05	0.81	±	0.05	0.86	±	0.05
1	HLT_Ele27_eta2p1_WPLoose_Gsf_LooseIsoPFTau20_v3	HIG,TAU	3.34	±	0.09	0.86	±	0.05	0.83	±	0.05	0.76	±	0.04	0.89	±	0.05
1	HLT_Ele23_Ele12_CaloIdL_TrackIdL_IsoVL_v3	HIG,TOP,SMP	3.29	±	0.09	0.86	±	0.05	0.77	±	0.04	0.78	±	0.04	0.89	±	0.05
