Path,L1Path,L1Prescale(2e33),Steam L1path,Steam L1Prescale,WBM hltPrescale(2e33),Steam hltPrescale,,Data Rate (Hz),,,Steam Rate (Hz),,,Steam Rate hltPrescaled(Hz),,,Bias(data-steam)
HLT_Mu17,L1_SingleMu12,10,L1_SingleMu12, 10,1,1,23.04,+/-,0.03,23.20,+/-,0.24,23.20,+/-,0.24,0.70%,+/-,1.05%
HLT_IsoMu22,L1_SingleMu20,1,L1_SingleMu20, 1,1,1,21.86,+/-,0.03,24.98,+/-,0.25,24.98,+/-,0.25,12.47%,+/-,0.90%
HLT_Ele27_eta2p1_WPTight_Gsf,L1_SingleIsoEG22er,1,L1_SingleIsoEG22er OR L1_SingleEG25, 1|1,1,1,20.42,+/-,0.03,20.49,+/-,0.23,20.49,+/-,0.23,0.37%,+/-,1.12%
HLT_BTagMu_DiJet70_Mu5,L1_Mu3_JetC52_WdEtaPhi2,3,L1_Mu3_JetC52_WdEtaPhi2, 3,1,1,20.23,+/-,0.03,20.25,+/-,0.23,20.25,+/-,0.23,0.10%,+/-,1.13%
HLT_L2Mu35_NoVertex_3Sta_NoBPTX3BX_NoHalo,L1_SingleMuOpen OR L1_SingleMuOpen_NotBptxOR,262139 | 1,L1_SingleMuOpen_NotBptxOR, 1,1,1,17.12,+/-,0.03,17.20,+/-,0.21,17.20,+/-,0.21,0.50%,+/-,1.22%
HLT_IsoMu27,L1_SingleMu25,1,L1_SingleMu25, 1,1,1,16.17,+/-,0.03,17.47,+/-,0.21,17.47,+/-,0.21,7.42%,+/-,1.13%
HLT_IsoTkMu27,L1_SingleMu25,1,L1_SingleMu25, 1,1,1,15.80,+/-,0.03,16.97,+/-,0.21,16.97,+/-,0.21,6.87%,+/-,1.16%
HLT_DiPFJetAve60,L1_ZeroBias,631,L1_ZeroBias, 5000,1,1,15.67,+/-,0.03,15.31,+/-,0.20,15.31,+/-,0.20,2.27%,+/-,1.25%
HLT_HT550to650,L1_HTT125 OR L1_HTT150,1 | 1,L1_HTT125 OR L1_HTT150 OR L1_HTT175, 1|1|1,1,1,15.47,+/-,0.03,15.20,+/-,0.20,15.20,+/-,0.20,1.71%,+/-,1.27%
HLT_DiPFJetAve40,L1_ZeroBias,631,L1_ZeroBias, 5000,5,5,15.16,+/-,0.03,73.39,+/-,0.43,14.68,+/-,0.09,3.16%,+/-,0.58%
HLT_L2Mu40_NoVertex_3Sta_NoBPTX3BX_NoHalo,L1_SingleMuOpen OR L1_SingleMuOpen_NotBptxOR,262139 | 1,L1_SingleMuOpen_NotBptxOR, 1,1,1,15.05,+/-,0.03,15.06,+/-,0.20,15.06,+/-,0.20,0.06%,+/-,1.31%
HLT_HT500to550,L1_HTT125 OR L1_HTT150,1 | 1,L1_HTT125 OR L1_HTT150 OR L1_HTT175, 1|1|1,1,1,14.90,+/-,0.03,14.42,+/-,0.19,14.42,+/-,0.19,3.26%,+/-,1.26%
HLT_HT650,L1_HTT125 OR L1_HTT150,1 | 1,L1_HTT125 OR L1_HTT150 OR L1_HTT175, 1|1|1,1,1,14.07,+/-,0.02,13.33,+/-,0.18,13.33,+/-,0.18,5.27%,+/-,1.26%
HLT_Mu17_TrkIsoVVL,L1_SingleMu12,10,L1_SingleMu12, 10,1,1,13.94,+/-,0.02,14.11,+/-,0.19,14.11,+/-,0.19,1.22%,+/-,1.34%
HLT_HT470to500,L1_HTT125 OR L1_HTT150,1 | 1,L1_HTT125 OR L1_HTT150 OR L1_HTT175, 1|1|1,1,1,13.23,+/-,0.02,13.18,+/-,0.18,13.18,+/-,0.18,0.37%,+/-,1.40%
HLT_Ele32_eta2p1_WPTight_Gsf,L1_SingleIsoEG30er,1,L1_SingleIsoEG30er OR L1_SingleEG40, 1|1,1,1,12.70,+/-,0.02,12.68,+/-,0.18,12.68,+/-,0.18,0.20%,+/-,1.43%
HLT_Dimuon10_Jpsi_Barrel,L1_DoubleMu0_Eta1p6_WdEta18 OR L1_DoubleMu0,1 | 60,L1_DoubleMu0_Eta1p6_WdEta18, 1,1,1,12.44,+/-,0.02,12.53,+/-,0.18,12.53,+/-,0.18,0.70%,+/-,1.43%
HLT_HT450to470,L1_HTT125 OR L1_HTT150,1 | 1,L1_HTT125 OR L1_HTT150 OR L1_HTT175, 1|1|1,1,1,11.39,+/-,0.02,11.24,+/-,0.17,11.24,+/-,0.17,1.28%,+/-,1.48%
HLT_Ele30WP60_SC4_Mass55,L1_SingleEG25,1,L1_SingleEG25 OR L1_SingleIsoEG30er, 1|1,1,1,9.19,+/-,0.02,9.38,+/-,0.16,9.38,+/-,0.16,1.98%,+/-,1.63%
HLT_DoubleMu4_LowMassNonResonantTrk_Displaced,L1_DoubleMu0_Eta1p6_WdEta18 OR L1_DoubleMu0,1 | 60,L1_DoubleMu0_Eta1p6_WdEta18 OR L1_DoubleMu0_Eta1p6_WdEta18_OS OR L1_DoubleMu_10_0_WdEta18, 1|1|1,1,1,8.85,+/-,0.02,8.93,+/-,0.15,8.93,+/-,0.15,0.82%,+/-,1.69%
HLT_AK8DiPFJet250_200_TrimMass30_BTagCSV0p45,L1_SingleJet200 OR L1_SingleJet176,1 | 1,L1_SingleJet176 OR L1_SingleJet200, 1|1,1,1,8.03,+/-,0.02,7.86,+/-,0.14,7.86,+/-,0.14,2.01%,+/-,1.75%
HLT_DoubleMu4_3_Jpsi_Displaced,L1_DoubleMu0_Eta1p6_WdEta18 OR L1_DoubleMu0,1 | 60,L1_DoubleMu0_Eta1p6_WdEta18 OR L1_DoubleMu0_Eta1p6_WdEta18_OS OR L1_DoubleMu_10_0_WdEta18, 1|1|1,1,1,7.28,+/-,0.02,7.38,+/-,0.14,7.38,+/-,0.14,1.39%,+/-,1.85%
HLT_Mu45_eta2p1,L1_SingleMu16 OR L1_SingleMu25,1 | 1,L1_SingleMu16 OR L1_SingleMu25, 1|1,1,1,7.05,+/-,0.02,7.02,+/-,0.13,7.02,+/-,0.13,0.46%,+/-,1.91%
HLT_HcalCalibration,,,none, -1|,1,1,6.59,+/-,0.02,0.00,+/-,0.00,0.00,+/-,0.00,100.00%,+/-,0.26%
HLT_Mu20,L1_SingleMu16,1,L1_SingleMu16, 1,20,20,6.42,+/-,0.02,127.16,+/-,0.57,6.36,+/-,0.03,1.02%,+/-,0.51%
HLT_Photon36_R9Id90_HE10_Iso40_EBOnly_PFMET40,L1_SingleEG30,1,L1_SingleEG30, 1,1,1,5.95,+/-,0.02,6.07,+/-,0.12,6.07,+/-,0.12,2.00%,+/-,2.03%
HLT_DoubleMediumIsoPFTau35_Trk1_eta2p1_Reg,L1_DoubleIsoTau28er,1,L1_DoubleIsoTau28er OR L1_DoubleIsoTau32er OR L1_DoubleIsoTau36er OR L1_DoubleIsoTau40er OR L1_DoubleTauJet40er, 1|1|1|1|1,1,1,5.75,+/-,0.02,5.40,+/-,0.12,5.40,+/-,0.12,5.97%,+/-,1.95%
HLT_AK8DiPFJet280_200_TrimMass30_BTagCSV0p45,L1_SingleJet200 OR L1_SingleJet176,1 | 1,L1_SingleJet176 OR L1_SingleJet200, 1|1,1,1,5.66,+/-,0.02,5.49,+/-,0.12,5.49,+/-,0.12,2.98%,+/-,2.05%
HLT_BTagMu_DiJet40_Mu5,L1_Mu3_JetC16_WdEtaPhi2,50,L1_Mu3_JetC16_WdEtaPhi2, 50,1,1,5.51,+/-,0.02,5.70,+/-,0.12,5.70,+/-,0.12,3.39%,+/-,2.07%
HLT_Dimuon16_Jpsi,L1_DoubleMu_10_0_WdEta18,1,L1_DoubleMu_10_0_WdEta18, 1,1,1,5.42,+/-,0.02,5.30,+/-,0.12,5.30,+/-,0.12,2.26%,+/-,2.12%
HLT_DoubleMu4_JpsiTrk_Displaced,L1_DoubleMu0_Eta1p6_WdEta18 OR L1_DoubleMu0,1 | 60,L1_DoubleMu0_Eta1p6_WdEta18 OR L1_DoubleMu0_Eta1p6_WdEta18_OS OR L1_DoubleMu_10_0_WdEta18, 1|1|1,1,1,5.41,+/-,0.02,5.41,+/-,0.12,5.41,+/-,0.12,0.08%,+/-,2.19%
HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight,L1_ETM70,1,L1_ETM70 OR L1_DoubleJetC56_ETM60 OR L1_ETM60 OR L1_ETM50, 1|1|1|1,1,1,5.31,+/-,0.02,4.19,+/-,0.10,4.19,+/-,0.10,21.02%,+/-,1.57%
HLT_QuadPFJet_DoubleBTagCSV_VBF_Mqq200,L1_TripleJet_92_76_64_VBF,1,L1_TripleJet_92_76_64_VBF OR L1_TripleJet_84_68_48_VBF OR L1_HTT100 OR L1_HTT125 OR L1_HTT150 OR L1_HTT175 OR L1_SingleJet128 OR L1_DoubleJetC84, 1|1|1|1|1|1|1|1,1,1,5.18,+/-,0.02,5.13,+/-,0.11,5.13,+/-,0.11,1.07%,+/-,2.21%
HLT_PFHT800,L1_HTT125 OR L1_HTT100,1 | 1,L1_HTT100 OR L1_HTT125 OR L1_HTT150 OR L1_HTT175, 1|1|1|1,1,1,5.15,+/-,0.02,4.93,+/-,0.11,4.93,+/-,0.11,4.36%,+/-,2.11%
HLT_BTagMu_DiJet110_Mu5,L1_Mu3_JetC52_WdEtaPhi2,3,L1_Mu3_JetC52_WdEtaPhi2, 3,1,1,5.11,+/-,0.02,5.07,+/-,0.11,5.07,+/-,0.11,0.79%,+/-,2.23%
HLT_L2Mu10,L1_SingleMu16,1,L1_SingleMu16, 1,200,200,5.03,+/-,0.01,1006.63,+/-,1.61,5.03,+/-,0.01,0.06%,+/-,0.34%
HLT_Mu50,L1_SingleMu16 OR L1_SingleMu25,1 | 1,L1_SingleMu16 OR L1_SingleMu25, 1|1,1,1,4.91,+/-,0.01,4.90,+/-,0.11,4.90,+/-,0.11,0.29%,+/-,2.29%
HLT_AK8PFHT650_TrimR0p1PT0p03Mass50,L1_HTT175 OR L1_HTT150,1 | 1,L1_HTT150 OR L1_HTT175, 1|1,1,1,4.84,+/-,0.01,4.61,+/-,0.11,4.61,+/-,0.11,4.67%,+/-,2.16%
HLT_MonoCentralPFJet80_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight,L1_ETM70,1,L1_ETM70 OR L1_DoubleJetC56_ETM60 OR L1_ETM60 OR L1_ETM50, 1|1|1|1,1,1,4.80,+/-,0.01,3.94,+/-,0.10,3.94,+/-,0.10,17.95%,+/-,1.74%
HLT_Ele27_WPLoose_Gsf_CentralPFJet30_BTagCSV07,L1_SingleIsoEG20 OR L1_SingleIsoEG20er,1 | 4,L1_SingleIsoEG20er OR L1_SingleEG20 OR L1_SingleEG25, 4|1|1,1,1,4.76,+/-,0.01,4.85,+/-,0.11,4.85,+/-,0.11,1.90%,+/-,2.27%
HLT_AK8PFHT600_TrimR0p1PT0p03Mass50_BTagCSV0p45,L1_HTT175 OR L1_HTT150,1 | 1,L1_HTT150 OR L1_HTT175, 1|1,1,1,4.76,+/-,0.01,4.63,+/-,0.11,4.63,+/-,0.11,2.57%,+/-,2.25%
HLT_DoubleMediumIsoPFTau40_Trk1_eta2p1_Reg,L1_DoubleIsoTau28er,1,L1_DoubleIsoTau28er OR L1_DoubleIsoTau32er OR L1_DoubleIsoTau36er OR L1_DoubleIsoTau40er OR L1_DoubleTauJet40er, 1|1|1|1|1,1,1,4.67,+/-,0.01,4.43,+/-,0.11,4.43,+/-,0.11,5.17%,+/-,2.19%
HLT_PFMET170,L1_ETM60 OR L1_ETM70,1 | 1,L1_ETM60 OR L1_ETM70, 1|1,1,1,4.58,+/-,0.01,4.52,+/-,0.11,4.52,+/-,0.11,1.39%,+/-,2.34%
HLT_PFMET170_HBHECleaned,L1_ETM60 OR L1_ETM70,1 | 1,L1_ETM60 OR L1_ETM70, 1|1,1,1,4.51,+/-,0.01,4.46,+/-,0.11,4.46,+/-,0.11,1.14%,+/-,2.36%
HLT_PFHT200_DiPFJetAve90_PFAlphaT0p57,L1_HTT100 OR L1_HTT75,1 | 1,L1_HTT75 OR L1_HTT100 OR L1_HTT125 OR L1_HTT150 OR L1_HTT175 OR L1_HTT200 OR L1_HTT250 OR L1_ETM40 OR L1_ETM50 OR L1_ETM60 OR L1_ETM70 OR L1_ETM100, 1|1|1|1|1|1|1|2000|1|1|1|1,1,1,4.50,+/-,0.01,4.33,+/-,0.11,4.33,+/-,0.11,3.79%,+/-,2.27%
HLT_Ele15_IsoVVVL_PFHT350,L1_SingleEG5,262139,L1_HTT100 OR L1_HTT125 OR L1_HTT150 OR L1_HTT175, 1|1|1|1,1,1,4.46,+/-,0.01,4.26,+/-,0.10,4.26,+/-,0.10,4.47%,+/-,2.26%
HLT_Ele30WP60_Ele8_Mass55,L1_SingleEG25,1,L1_SingleEG25 OR L1_SingleIsoEG30er, 1|1,1,1,4.26,+/-,0.01,4.25,+/-,0.10,4.25,+/-,0.10,0.25%,+/-,2.46%
HLT_PFMET90_PFMHT90_IDTight,L1_ETM70,1,L1_ETM70 OR L1_DoubleJetC56_ETM60 OR L1_ETM60 OR L1_ETM50, 1|1|1|1,1,1,4.19,+/-,0.01,4.13,+/-,0.10,4.13,+/-,0.10,1.31%,+/-,2.45%
HLT_Ele22_eta2p1_WPLoose_Gsf_LooseIsoPFTau20_SingleL1,L1_SingleIsoEG20 OR L1_SingleIsoEG20er,1 | 4,L1_SingleIsoEG20er OR L1_SingleIsoEG22er OR L1_SingleEG25, 4|1|1,1,1,4.17,+/-,0.01,4.32,+/-,0.11,4.32,+/-,0.11,3.37%,+/-,2.38%
HLT_Dimuon0_Phi_Barrel,L1_DoubleMu0_Eta1p6_WdEta18 OR L1_DoubleMu0,1 | 60,L1_DoubleMu0_Eta1p6_WdEta18, 1,1,1,4.07,+/-,0.01,3.99,+/-,0.10,3.99,+/-,0.10,1.79%,+/-,2.47%
HLT_L1_TripleJet_VBF,L1_TripleJet_92_76_64_VBF,1,L1_TripleJet_92_76_64_VBF OR L1_TripleJet_84_68_48_VBF OR L1_HTT100 OR L1_HTT125 OR L1_HTT150 OR L1_HTT175 OR L1_SingleJet128 OR L1_DoubleJetC84, 1|1|1|1|1|1|1|1,1400,1400,3.96,+/-,0.01,5553.87,+/-,3.77,3.97,+/-,0.00,0.15%,+/-,0.34%
HLT_PFJet260,L1_SingleJet128 OR L1_SingleJet200,1 | 1,L1_SingleJet128 OR L1_SingleJet200, 1|1,8,8,3.94,+/-,0.01,30.87,+/-,0.28,3.86,+/-,0.04,2.14%,+/-,0.93%
HLT_AK8PFHT700_TrimR0p1PT0p03Mass50,L1_HTT175 OR L1_HTT150,1 | 1,L1_HTT150 OR L1_HTT175, 1|1,1,1,3.75,+/-,0.01,3.54,+/-,0.10,3.54,+/-,0.10,5.62%,+/-,2.42%
HLT_Mu27_TkMu8,L1_SingleMu16 OR L1_SingleMu25,1 | 1,L1_SingleMu16 OR L1_SingleMu25, 1|1,1,1,3.73,+/-,0.01,3.64,+/-,0.10,3.64,+/-,0.10,2.41%,+/-,2.55%
HLT_Ele12_CaloIdL_TrackIdL_IsoVL,L1_SingleEG10 OR L1_SingleEG15,3000 | 4,L1_SingleEG15 OR L1_SingleEG10, 4|3000,125,125,3.66,+/-,0.01,454.20,+/-,1.08,3.63,+/-,0.01,0.60%,+/-,0.42%
HLT_Mu12_Photon25_CaloIdL_L1OR,L1_Mu5_EG20 OR L1_Mu20_EG10,1 | 1,L1_Mu5_EG20 OR L1_Mu20_EG10, 1|1,2,2,3.44,+/-,0.01,6.98,+/-,0.13,3.49,+/-,0.07,1.31%,+/-,1.92%
HLT_Mu16_TkMu0_dEta18_Onia,L1_SingleMu16 OR L1_SingleMu14er,1 | 75,L1_SingleMu14er OR L1_SingleMu16, 75|1,1,1,3.43,+/-,0.01,3.44,+/-,0.09,3.44,+/-,0.09,0.24%,+/-,2.75%
HLT_Photon36_R9Id85_OR_CaloId24b40e_Iso50T80L_Photon22_AND_HE10_R9Id65_Eta2_Mass15,L1_SingleEG35 OR L1_SingleEG40,1 | 1,L1_SingleEG40 OR L1_SingleEG35 OR L1_DoubleEG_22_10 OR L1_DoubleEG_15_10, 1|1|1|1,1,1,3.43,+/-,0.01,3.43,+/-,0.09,3.43,+/-,0.09,0.17%,+/-,2.75%
HLT_Ele23_Ele12_CaloIdL_TrackIdL_IsoVL,L1_DoubleEG_22_10,1,L1_DoubleEG_22_10, 1,1,1,3.41,+/-,0.01,3.25,+/-,0.09,3.25,+/-,0.09,4.51%,+/-,2.58%
HLT_Ele27_eta2p1_WPLoose_Gsf_LooseIsoPFTau20,L1_SingleIsoEG22er,1,L1_SingleIsoEG22er OR L1_SingleEG25, 1|1,1,1,3.40,+/-,0.01,3.32,+/-,0.09,3.32,+/-,0.09,2.33%,+/-,2.67%
HLT_PFHT600,L1_HTT100 OR L1_HTT75,1 | 1,L1_HTT100 OR L1_HTT125 OR L1_HTT150 OR L1_HTT175, 1|1|1|1,6,6,3.39,+/-,0.01,19.61,+/-,0.22,3.27,+/-,0.04,3.65%,+/-,1.12%
HLT_Mu55,L1_SingleMu16 OR L1_SingleMu25,1 | 1,L1_SingleMu16 OR L1_SingleMu25, 1|1,1,1,3.34,+/-,0.01,3.33,+/-,0.09,3.33,+/-,0.09,0.45%,+/-,2.77%
HLT_Dimuon8_Upsilon_Barrel,L1_DoubleMu0_Eta1p6_WdEta18 OR L1_DoubleMu0,1 | 60,L1_DoubleMu0_Eta1p6_WdEta18, 1,1,1,3.29,+/-,0.01,3.24,+/-,0.09,3.24,+/-,0.09,1.53%,+/-,2.75%
HLT_PFHT750_4JetPt50,L1_HTT175 OR L1_HTT150,1 | 1,L1_HTT150 OR L1_HTT175, 1|1,1,1,3.05,+/-,0.01,3.23,+/-,0.09,3.23,+/-,0.09,5.48%,+/-,2.69%
HLT_Ele105_CaloIdVT_GsfTrkIdT,L1_SingleEG35 OR L1_SingleEG40,1 | 1,L1_SingleEG35 OR L1_SingleEG40 OR L1_SingleJet200, 1|1|1,1,1,3.04,+/-,0.01,2.93,+/-,0.09,2.93,+/-,0.09,3.54%,+/-,2.78%
HLT_Diphoton30_18_R9Id_OR_IsoCaloId_AND_HE_R9Id_Mass95,L1_SingleEG25 OR L1_SingleEG40,1 | 1,L1_SingleEG40 OR L1_SingleEG25 OR L1_DoubleEG_22_10 OR L1_DoubleEG_15_10, 1|1|1|1,1,1,3.04,+/-,0.01,3.03,+/-,0.09,3.03,+/-,0.09,0.39%,+/-,2.91%
HLT_Photon36_R9Id90_HE10_Iso40_EBOnly_VBF,L1_SingleEG30,1,L1_SingleEG30, 1,1,1,2.99,+/-,0.01,2.89,+/-,0.09,2.89,+/-,0.09,3.36%,+/-,2.81%
HLT_Diphoton30EB_18EB_R9Id_OR_IsoCaloId_AND_HE_R9Id_DoublePixelVeto_Mass55,L1_SingleEG25 OR L1_SingleEG40,1 | 1,L1_SingleEG40 OR L1_SingleEG25 OR L1_DoubleEG_22_10 OR L1_DoubleEG_15_10, 1|1|1|1,1,1,2.95,+/-,0.01,3.03,+/-,0.09,3.03,+/-,0.09,2.84%,+/-,2.85%
HLT_Mu17_TrkIsoVVL_TkMu8_TrkIsoVVL_DZ,L1_DoubleMu_10_3p5,1,L1_DoubleMu_10_3p5 OR L1_DoubleMu_12_5, 1|1,1,1,2.87,+/-,0.01,2.86,+/-,0.09,2.86,+/-,0.09,0.50%,+/-,2.99%
HLT_RsqMR240_Rsq0p09_MR200,L1_HTT100 OR L1_HTT75,1 | 1,L1_HTT75 OR L1_HTT100 OR L1_HTT125 OR L1_HTT150 OR L1_HTT175 OR L1_SingleJet128 OR L1_SingleJet176 OR L1_SingleJet200 OR L1_DoubleJetC84 OR L1_DoubleJetC100 OR L1_QuadJetC40 OR L1_QuadJetC60, 1|1|1|1|1|1|1|1|1|1|1|1,1,1,2.85,+/-,0.01,2.79,+/-,0.08,2.79,+/-,0.08,1.92%,+/-,2.94%
HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ,L1_DoubleMu_10_3p5,1,L1_DoubleMu_10_3p5 OR L1_DoubleMu_12_5, 1|1,1,1,2.84,+/-,0.01,2.87,+/-,0.09,2.87,+/-,0.09,1.05%,+/-,2.98%
HLT_PFJet320,L1_SingleJet128 OR L1_SingleJet200,1 | 1,L1_SingleJet128 OR L1_SingleJet200, 1|1,4,4,2.84,+/-,0.01,10.85,+/-,0.17,2.71,+/-,0.04,4.49%,+/-,1.46%
HLT_PFHT650,L1_HTT175 OR L1_HTT150,1 | 1,L1_HTT150 OR L1_HTT175, 1|1,5,5,2.81,+/-,0.01,13.36,+/-,0.18,2.67,+/-,0.04,4.82%,+/-,1.32%
HLT_Mu8_TrkIsoVVL_Ele17_CaloIdL_TrackIdL_IsoVL,L1_Mu5_EG15,1,L1_Mu5_EG15, 1,1,1,2.77,+/-,0.01,2.85,+/-,0.09,2.85,+/-,0.09,3.04%,+/-,2.93%
HLT_Diphoton30PV_18PV_R9Id_AND_IsoCaloId_AND_HE_R9Id_DoublePixelVeto_Mass55,L1_SingleEG25 OR L1_SingleEG40,1 | 1,L1_SingleEG40 OR L1_SingleEG25 OR L1_DoubleEG_22_10 OR L1_DoubleEG_15_10, 1|1|1|1,1,1,2.70,+/-,0.01,2.69,+/-,0.08,2.69,+/-,0.08,0.53%,+/-,3.08%
HLT_Ele22_eta2p1_WPLoose_Gsf_LooseIsoPFTau20,L1_IsoEG20er_TauJet20er_NotWdEta0,1,L1_IsoEG20er_TauJet20er_NotWdEta0, 1,1,1,2.67,+/-,0.01,2.68,+/-,0.08,2.68,+/-,0.08,0.35%,+/-,3.11%
HLT_Mu30_TkMu11,L1_SingleMu16 OR L1_SingleMu25,1 | 1,L1_SingleMu16 OR L1_SingleMu25, 1|1,1,1,2.66,+/-,0.01,2.66,+/-,0.08,2.66,+/-,0.08,0.03%,+/-,3.13%
HLT_DoubleMu4_3_Bs,L1_DoubleMu0_Eta1p6_WdEta18 OR L1_DoubleMu0,1 | 60,L1_DoubleMu0_Eta1p6_WdEta18 OR L1_DoubleMu0_Eta1p6_WdEta18_OS OR L1_DoubleMu_10_0_WdEta18, 1|1|1,1,1,2.61,+/-,0.01,2.55,+/-,0.08,2.55,+/-,0.08,2.37%,+/-,3.05%
HLT_Diphoton30_18_Solid_R9Id_AND_IsoCaloId_AND_HE_R9Id_Mass55,L1_SingleEG25 OR L1_SingleEG40,1 | 1,L1_SingleEG40 OR L1_SingleEG25 OR L1_DoubleEG_22_10 OR L1_DoubleEG_15_10, 1|1|1|1,1,1,2.60,+/-,0.01,2.61,+/-,0.08,2.61,+/-,0.08,0.19%,+/-,3.16%
HLT_L2Mu10_NoVertex_NoBPTX,L1_SingleMuOpen OR L1_SingleMuOpen_NotBptxOR,262139 | 1,L1_SingleMuOpen_NotBptxOR, 1,30,30,2.60,+/-,0.01,78.04,+/-,0.45,2.60,+/-,0.01,0.25%,+/-,0.70%
HLT_Dimuon20_Jpsi,L1_DoubleMu_10_0_WdEta18,1,L1_DoubleMu_10_0_WdEta18, 1,1,1,2.58,+/-,0.01,2.57,+/-,0.08,2.57,+/-,0.08,0.35%,+/-,3.16%
HLT_PFMET100_PFMHT100_IDTight,L1_ETM70,1,L1_ETM70 OR L1_DoubleJetC56_ETM60 OR L1_ETM60 OR L1_ETM50, 1|1|1|1,1,1,2.56,+/-,0.01,2.54,+/-,0.08,2.54,+/-,0.08,0.90%,+/-,3.15%
HLT_VBF_DisplacedJet40_Hadronic_2PromptTrack,L1_TripleJet_92_76_64_VBF,1,L1_TripleJet_92_76_64_VBF OR L1_HTT175, 1|1,1,1,2.54,+/-,0.01,2.18,+/-,0.07,2.18,+/-,0.07,14.10%,+/-,2.57%
HLT_PFHT450_SixJet40,L1_HTT175,1,L1_HTT175, 1,1,1,2.48,+/-,0.01,2.42,+/-,0.08,2.42,+/-,0.08,2.54%,+/-,3.12%
HLT_L2Mu10_NoVertex_NoBPTX3BX_NoHalo,L1_SingleMuOpen OR L1_SingleMuOpen_NotBptxOR,262139 | 1,L1_SingleMuOpen_NotBptxOR, 1,30,30,2.41,+/-,0.01,72.65,+/-,0.43,2.42,+/-,0.01,0.46%,+/-,0.73%
HLT_Ele17_Ele12_CaloIdL_TrackIdL_IsoVL,L1_DoubleEG_15_10,1,L1_DoubleEG_15_10, 1,2,2,2.41,+/-,0.01,4.67,+/-,0.11,2.34,+/-,0.05,2.97%,+/-,2.25%
HLT_Ele27_eta2p1_WPLoose_Gsf_HT200,L1_HTT125 OR L1_EG25er_HTT100,1 | 1,L1_EG25er_HTT125 OR L1_HTT125 OR L1_HTT100, -1||1|1,1,1,2.32,+/-,0.01,2.36,+/-,0.08,2.36,+/-,0.08,1.59%,+/-,3.27%
