Path,L1Path,L1Prescale(2e33),Steam L1path,Steam L1Prescale,WBM hltPrescale(2e33),Steam hltPrescale,,Data Rate (Hz),,,Steam Rate (Hz),,,Steam Rate hltPrescaled(Hz),,,Bias(data-steam)
HLT_Ele23_WPLoose_Gsf,L1_SingleEG20,1,L1_SingleEG20 OR L1_SingleIsoEG18er OR L1_SingleIsoEG20 OR L1_SingleIsoEG20er OR L1_SingleIsoEG22er OR L1_SingleEG25, 1|1|1|4|1|1,1,1,73.63,+/-,0.06,73.83,+/-,0.43,73.83,+/-,0.43,0.26%,+/-,0.59%
HLT_Ele27_WPLoose_Gsf,L1_SingleIsoEG20 OR L1_SingleIsoEG20er,1 | 4,L1_SingleIsoEG20er OR L1_SingleEG20 OR L1_SingleEG25, 4|1|1,1,1,49.34,+/-,0.05,49.37,+/-,0.36,49.37,+/-,0.36,0.08%,+/-,0.73%
HLT_Ele22_eta2p1_WPLoose_Gsf,L1_SingleIsoEG20 OR L1_SingleIsoEG20er,1 | 4,L1_SingleIsoEG20er OR L1_SingleIsoEG22er OR L1_SingleEG25, 4|1|1,1,1,40.20,+/-,0.04,44.22,+/-,0.34,44.22,+/-,0.34,9.08%,+/-,0.70%
HLT_IsoMu18,L1_SingleMu16,1,L1_SingleMu16, 1,1,1,31.32,+/-,0.04,37.50,+/-,0.31,37.50,+/-,0.31,16.49%,+/-,0.70%
HLT_Ele27_eta2p1_WPLoose_Gsf,L1_SingleIsoEG22er,1,L1_SingleIsoEG22er OR L1_SingleEG25, 1|1,1,1,30.44,+/-,0.04,30.52,+/-,0.28,30.52,+/-,0.28,0.26%,+/-,0.92%
HLT_Ele22_eta2p1_WPTight_Gsf,L1_SingleIsoEG20 OR L1_SingleIsoEG20er,1 | 4,L1_SingleIsoEG20er OR L1_SingleIsoEG22er OR L1_SingleEG25, 4|1|1,1,1,26.71,+/-,0.03,29.06,+/-,0.27,29.06,+/-,0.27,8.07%,+/-,0.87%
HLT_IsoMu20,L1_SingleMu16,1,L1_SingleMu16, 1,1,1,26.04,+/-,0.03,30.35,+/-,0.28,30.35,+/-,0.28,14.18%,+/-,0.80%
HLT_Ele17_CaloIdL_TrackIdL_IsoVL,L1_SingleEG15,4,L1_SingleEG15, 4,11,11,25.15,+/-,0.03,276.78,+/-,0.84,25.16,+/-,0.08,0.05%,+/-,0.33%
HLT_IsoTkMu20,L1_SingleMu16,1,L1_SingleMu16, 1,1,1,24.82,+/-,0.03,28.57,+/-,0.27,28.57,+/-,0.27,13.15%,+/-,0.83%
HLT_BTagMu_DiJet20_Mu5,L1_Mu3_JetC16_WdEtaPhi2,50,L1_Mu3_JetC16_WdEtaPhi2, 50,1,1,23.65,+/-,0.03,24.02,+/-,0.25,24.02,+/-,0.25,1.53%,+/-,1.03%
