Path,L1Path,L1Prescale(2e33),Steam L1path,Steam L1Prescale,WBM hltPrescale(2e33),Steam hltPrescale,,Data Rate (Hz),,,Steam Rate (Hz),,,Steam Rate hltPrescaled(Hz),,,Bias(data-steam)
HLT_Ele27_WPLoose_Gsf,L1_SingleIsoEG20 OR L1_SingleIsoEG20er,1 | 4,L1_SingleIsoEG20er OR L1_SingleEG20 OR L1_SingleEG25, 4|1|1,1,1,49.34,+/-,0.05,49.37,+/-,0.36,49.37,+/-,0.36,0.08%,+/-,0.73%
HLT_IsoMu20,L1_SingleMu16,1,L1_SingleMu16, 1,1,1,26.04,+/-,0.03,30.35,+/-,0.28,30.35,+/-,0.28,14.18%,+/-,0.80%
HLT_IsoMu22,L1_SingleMu20,1,L1_SingleMu20, 1,1,1,21.86,+/-,0.03,24.98,+/-,0.25,24.98,+/-,0.25,12.47%,+/-,0.90%
HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ,L1_DoubleMu_10_3p5,1,L1_DoubleMu_10_3p5 OR L1_DoubleMu_12_5, 1|1,1,1,2.84,+/-,0.01,2.87,+/-,0.09,2.87,+/-,0.09,1.05%,+/-,2.98%
HLT_PFHT800,L1_HTT125 OR L1_HTT100,1 | 1,L1_HTT100 OR L1_HTT125 OR L1_HTT150 OR L1_HTT175, 1|1|1|1,1,1,5.15,+/-,0.02,4.93,+/-,0.11,4.93,+/-,0.11,4.36%,+/-,2.11%
HLT_Ele15_IsoVVVL_PFHT350,L1_SingleEG5,262139,L1_HTT100 OR L1_HTT125 OR L1_HTT150 OR L1_HTT175, 1|1|1|1,1,1,4.46,+/-,0.01,4.26,+/-,0.10,4.26,+/-,0.10,4.47%,+/-,2.26%
HLT_Photon90_R9Id90_HE10_IsoM,L1_SingleEG25 OR L1_SingleEG40,1 | 1,L1_SingleEg25 OR L1_SingleEG40, -1||1,2,2,1.77,+/-,0.01,3.51,+/-,0.09,1.76,+/-,0.05,0.95%,+/-,2.70%
HLT_Photon36_R9Id90_HE10_Iso40_EBOnly_VBF,L1_SingleEG30,1,L1_SingleEG30, 1,1,1,2.99,+/-,0.01,2.89,+/-,0.09,2.89,+/-,0.09,3.36%,+/-,2.81%
HLT_DiPFJetAve320,L1_SingleJet128 OR L1_SingleJet176,1 | 1,L1_SingleJet128 OR L1_SingleJet176, 1|1,4,4,1.54,+/-,0.01,5.77,+/-,0.12,1.44,+/-,0.03,6.07%,+/-,1.93%
