		DST_CaloJet40_BTagScouting_v2			L1_ZeroBias		
		DST_CaloJet40_CaloBTagScouting_v1			L1_ZeroBias		
		DST_CaloJet40_CaloScouting_PFScouting_v2			L1_ZeroBias		
		DST_DoubleMu3_Mass10_BTagScouting_v2	EXO		L1_DoubleMu_11_4||L1_DoubleMu_12_5		
		DST_DoubleMu3_Mass10_CaloScouting_PFScouting_v1	EXO		L1_DoubleMu_11_4||L1_DoubleMu_12_5		
		DST_HT250_CaloBTagScouting_v1	EXO		L1_HTT200||L1_HTT240||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320		
		DST_HT250_CaloScouting_v3	EXO		L1_HTT200||L1_HTT240||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320		
		DST_HT410_BTagScouting_v2	EXO		L1_HTT200||L1_HTT240||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320		
		DST_HT410_PFScouting_v2	EXO		L1_HTT200||L1_HTT240||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320		
		DST_HT450_BTagScouting_v2	EXO		L1_HTT200||L1_HTT240||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320		
		DST_HT450_PFScouting_v2	EXO		L1_HTT200||L1_HTT240||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320		
		DST_L1DoubleMu_BTagScouting_v2	EXO		L1_DoubleMu_11_4||L1_DoubleMu_12_5		
		DST_L1DoubleMu_CaloScouting_PFScouting_v1	EXO		L1_DoubleMu_11_4||L1_DoubleMu_12_5		
		DST_L1HTT_BTagScouting_v2	EXO		L1_HTT200||L1_HTT240||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320		
		DST_L1HTT_CaloBTagScouting_v1	EXO		L1_HTT200||L1_HTT240||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320		
		DST_L1HTT_CaloScouting_PFScouting_v2	EXO		L1_HTT200||L1_HTT240||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320		
		DST_ZeroBias_BTagScouting_v2			L1_ZeroBias		
		DST_ZeroBias_CaloScouting_PFScouting_v1			L1_ZeroBias		
		HLT_AK4CaloJet100_v3	HIN		L1_SingleJet35		
		HLT_AK4CaloJet30_v4	HIN		L1_MinimumBiasHF0_OR_BptxAND		
		HLT_AK4CaloJet40_v3	HIN		L1_MinimumBiasHF0_OR_BptxAND		
		HLT_AK4CaloJet50_v3	HIN		L1_MinimumBiasHF0_OR_BptxAND		
		HLT_AK4CaloJet80_v3	HIN		L1_SingleJet35		
		HLT_AK4PFJet100_v4	HIN		L1_SingleJet35		
		HLT_AK4PFJet30_v4	HIN		L1_MinimumBiasHF0_OR_BptxAND		
		HLT_AK4PFJet50_v4	HIN		L1_MinimumBiasHF0_OR_BptxAND		
		HLT_AK4PFJet80_v4	HIN		L1_SingleJet35		
		HLT_AK8DiPFJet250_200_TrimMass30_BTagCSV_p20_v2	B2G PAG		L1_SingleJet180||L1_SingleJet200		
		HLT_AK8DiPFJet250_200_TrimMass30_v2	B2G PAG		L1_SingleJet180||L1_SingleJet200		
		HLT_AK8DiPFJet280_200_TrimMass30_BTagCSV_p20_v2	B2G PAG		L1_SingleJet180||L1_SingleJet200		
		HLT_AK8DiPFJet280_200_TrimMass30_v2	B2G PAG		L1_SingleJet180||L1_SingleJet200		
		HLT_AK8PFHT600_TrimR0p1PT0p03Mass50_BTagCSV_p20_v2	B2G		L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320		
		HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v3	B2G		L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320		
		HLT_AK8PFHT700_TrimR0p1PT0p03Mass50_v4	B2G		L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320		
		HLT_AK8PFJet140_v1	SMP		L1_SingleJet90		
		HLT_AK8PFJet200_v1	SMP		L1_SingleJet120		
		HLT_AK8PFJet260_v1	SMP		L1_SingleJet170		
		HLT_AK8PFJet320_v1	SMP		L1_SingleJet170		
		HLT_AK8PFJet360_TrimMass30_v4	B2G		L1_SingleJet180||L1_SingleJet200		
		HLT_AK8PFJet400_v1	SMP		L1_SingleJet170		
		HLT_AK8PFJet40_v1			L1_ZeroBias		
		HLT_AK8PFJet450_v1	SMP		L1_SingleJet170		
		HLT_AK8PFJet500_v1	SMP		L1_SingleJet170		
