Path,,Data Rate (Hz),,,Data Rate scaled (Hz),,,Steam Rate (Hz),,,Data - Steam (Hz),,,(Data - Steam)/Steam
HLT_Ele17_Ele12_CaloIdL_TrackIdL_IsoVL,2.740000,+/-,0.033975,2.968913,+/-,0.036814,0.000000,+/-,0.000000,2.968913,+/-,0.036814,999.000000,+/-,0.000000
HLT_IsoMu17_eta2p1_MediumIsoPFTau40_Trk1_eta2p1_Reg,0.170000,+/-,0.008543,0.184203,+/-,0.009257,0.000000,+/-,0.000000,0.184203,+/-,0.009257,999.000000,+/-,0.000000
HLT_Photon75_R9Id90_HE10_IsoM,1.950000,+/-,0.028633,2.112913,+/-,0.031025,0.000000,+/-,0.000000,2.112913,+/-,0.031025,999.000000,+/-,0.000000
HLT_IsoMu17_eta2p1_MediumIsoPFTau35_Trk1_eta2p1_Reg,0.190000,+/-,0.008898,0.205874,+/-,0.009641,0.000000,+/-,0.000000,0.205874,+/-,0.009641,999.000000,+/-,0.000000
HLT_PFHT450_SixJet40_PFBTagCSV0p72,1.370000,+/-,0.024031,1.484457,+/-,0.026039,0.000000,+/-,0.000000,1.484457,+/-,0.026039,999.000000,+/-,0.000000
HLT_AK8PFHT600_TrimR0p1PT0p03Mass50_BTagCSV0p45,5.120000,+/-,0.046394,5.547751,+/-,0.050270,0.000000,+/-,0.000000,5.547751,+/-,0.050270,999.000000,+/-,0.000000
HLT_Mu27_TkMu8,4.020000,+/-,0.041125,4.355851,+/-,0.044561,0.000000,+/-,0.000000,4.355851,+/-,0.044561,999.000000,+/-,0.000000
HLT_HT450to470,12.240000,+/-,0.071741,13.262591,+/-,0.077735,0.000000,+/-,0.000000,13.262591,+/-,0.077735,999.000000,+/-,0.000000
HLT_Mu8_TrkIsoVVL_Ele17_CaloIdL_TrackIdL_IsoVL,3.130000,+/-,0.036261,3.391496,+/-,0.039290,0.000000,+/-,0.000000,3.391496,+/-,0.039290,999.000000,+/-,0.000000
HLT_DoubleJet90_Double30_TripleBTagCSV0p67,1.210000,+/-,0.022520,1.311089,+/-,0.024401,0.000000,+/-,0.000000,1.311089,+/-,0.024401,999.000000,+/-,0.000000
HLT_DoubleJetsC112_DoubleBTagCSV0p85_DoublePFJetsC172,0.740000,+/-,0.017679,0.801823,+/-,0.019156,0.000000,+/-,0.000000,0.801823,+/-,0.019156,999.000000,+/-,0.000000
HLT_DoubleMu4_PsiPrimeTrk_Displaced,0.570000,+/-,0.015502,0.617621,+/-,0.016797,0.000000,+/-,0.000000,0.617621,+/-,0.016797,999.000000,+/-,0.000000
HLT_HT2500,0.010000,+/-,0.002000,0.010835,+/-,0.002167,0.000000,+/-,0.000000,0.010835,+/-,0.002167,999.000000,+/-,0.000000
HLT_AK4CaloJet30,0.000000,+/-,0.000000,0.000000,+/-,0.000000,0.000000,+/-,0.000000,0.000000,+/-,0.000000,999.000000,+/-,0.000000
HLT_PFMET120_JetIdCleaned_BTagCSV0p72,0.300000,+/-,0.011275,0.325064,+/-,0.012217,0.000000,+/-,0.000000,0.325064,+/-,0.012217,999.000000,+/-,0.000000
HLT_Ele16_Ele12_Ele8_CaloIdL_TrackIdL,0.280000,+/-,0.010809,0.303393,+/-,0.011712,0.000000,+/-,0.000000,0.303393,+/-,0.011712,999.000000,+/-,0.000000
HLT_Photon26_R9Id85_OR_CaloId24b40e_Iso50T80L_Photon16_AND_HE10_R9Id65_Eta2_Mass60,0.210000,+/-,0.009506,0.227544,+/-,0.010300,0.000000,+/-,0.000000,0.227544,+/-,0.010300,999.000000,+/-,0.000000
HLT_Diphoton30EB_18EB_R9Id_OR_IsoCaloId_AND_HE_R9Id_DoublePixelVeto_Mass55,3.200000,+/-,0.036675,3.467344,+/-,0.039739,0.000000,+/-,0.000000,3.467344,+/-,0.039739,999.000000,+/-,0.000000
HLT_HT500to550,16.160000,+/-,0.082434,17.510088,+/-,0.089321,0.000000,+/-,0.000000,17.510088,+/-,0.089321,999.000000,+/-,0.000000
HLT_Dimuon10_Jpsi_Barrel,13.440000,+/-,0.075198,14.562845,+/-,0.081480,0.000000,+/-,0.000000,14.562845,+/-,0.081480,999.000000,+/-,0.000000
HLT_Mu17_Mu8_DZ,0.430000,+/-,0.013497,0.465924,+/-,0.014625,0.000000,+/-,0.000000,0.465924,+/-,0.014625,999.000000,+/-,0.000000
HLT_PFJet260,4.190000,+/-,0.041965,4.540054,+/-,0.045471,0.000000,+/-,0.000000,4.540054,+/-,0.045471,999.000000,+/-,0.000000
HLT_Dimuon0_Phi_Barrel,4.400000,+/-,0.043042,4.767598,+/-,0.046638,0.000000,+/-,0.000000,4.767598,+/-,0.046638,999.000000,+/-,0.000000
HLT_L2Mu10_NoVertex_NoBPTX3BX_NoHalo,2.400000,+/-,0.031780,2.600508,+/-,0.034436,0.000000,+/-,0.000000,2.600508,+/-,0.034436,999.000000,+/-,0.000000
HLT_L1Tech_DT_GlobalOR,0.000000,+/-,0.000000,0.000000,+/-,0.000000,0.000000,+/-,0.000000,0.000000,+/-,0.000000,999.000000,+/-,0.000000
HLT_DoubleEle8_CaloIdM_TrackIdM_Mass8_PFHT300,0.460000,+/-,0.013965,0.498431,+/-,0.015132,0.000000,+/-,0.000000,0.498431,+/-,0.015132,999.000000,+/-,0.000000
HLT_L1_TripleJet_VBF,4.710000,+/-,0.044485,5.103497,+/-,0.048202,0.000000,+/-,0.000000,5.103497,+/-,0.048202,999.000000,+/-,0.000000
HLT_PFHT400_DiPFJetAve90_PFAlphaT0p51,1.050000,+/-,0.021055,1.137722,+/-,0.022814,0.000000,+/-,0.000000,1.137722,+/-,0.022814,999.000000,+/-,0.000000
HLT_PFMET170_HBHECleaned,5.000000,+/-,0.045856,5.417725,+/-,0.049687,0.000000,+/-,0.000000,5.417725,+/-,0.049687,999.000000,+/-,0.000000
HLT_PFHT200_DiPFJetAve90_PFAlphaT0p63,2.110000,+/-,0.029786,2.286280,+/-,0.032275,0.000000,+/-,0.000000,2.286280,+/-,0.032275,999.000000,+/-,0.000000
HLT_Dimuon16_Jpsi,5.800000,+/-,0.049382,6.284561,+/-,0.053507,0.000000,+/-,0.000000,6.284561,+/-,0.053507,999.000000,+/-,0.000000
HLT_DoubleMu4_LowMassNonResonantTrk_Displaced,9.450000,+/-,0.063034,10.239501,+/-,0.068300,0.000000,+/-,0.000000,10.239501,+/-,0.068300,999.000000,+/-,0.000000
