Prescale,Path,Group,Total,,,QCDPt15to30,,,,\QCDPt30to50,,,\QCDPt50to80,,,\QCDPt80to120,,,\QCDPt120to170,,,\QCDPt170to300,,,\QCDPt300to470,,,\QCDPt470to600,,,\DYToLLM1,,,\WJetsToLNu,,,\QCDPt15to20EMEnriched,,,\QCDPt20to30EMEnriched,,,\QCDPt30to50EMEnriched,,,\QCDPt50to80EMEnriched,,,\QCDPt80to120EMEnriched,,,\QCDPt120to170EMEnriched,,,\QCDPt15to20MuEnrichedPt5,,,\QCDPt20to30MuEnrichedPt5,,,\QCDPt30to50MuEnrichedPt5,,,\QCDPt50to80MuEnrichedPt5,,,\QCDPt80to120MuEnrichedPt5,,,\QCDPt120to170MuEnrichedPt5,
1,HLT_Diphoton30PV_18PV_R9Id_AND_IsoCaloId_AND_HE_R9Id_DoublePixelVeto_Mass55_v1,"HIG,SMP",4.45,±,0.17,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.43,±,0.06,1.16,±,0.07,1.50,±,0.08,0.13,±,0.01,0.01,±,0.00,0.02,±,0.00,0.17,±,0.02,0.00,±,0.00,0.01,±,0.01,0.05,±,0.03,0.02,±,0.01,0.28,±,0.06,0.62,±,0.09,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.01,0.03,±,0.01
1,HLT_Mu40_TkMu11_v2,EXO,4.41,±,0.81,0.00,±,0.00,2.57,±,0.78,1.19,±,0.20,0.13,±,0.03,0.02,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.03,±,0.02,0.27,±,0.08,0.12,±,0.03,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.01,0.03,±,0.01,0.00,±,0.00,0.00,±,0.00
1,HLT_QuadPFJet_DoubleBTagCSV_VBF_Mqq240_v4,HIG,4.40,±,0.17,0.00,±,0.00,0.00,±,0.00,0.06,±,0.05,0.92,±,0.09,0.96,±,0.06,1.18,±,0.07,0.16,±,0.01,0.02,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.05,±,0.02,0.26,±,0.06,0.31,±,0.06,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.20,±,0.03,0.26,±,0.03
0,HLT_MonoCentralPFJet80_PFMETNoMu90_PFMHTNoMu90_IDTight_v1,EXO,4.40,±,2.60,0.00,±,0.00,0.23,±,0.23,0.16,±,0.07,2.84,±,2.59,0.15,±,0.02,0.07,±,0.02,0.01,±,0.00,0.00,±,0.00,0.36,±,0.02,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.05,±,0.03,0.31,±,0.05,0.13,±,0.04,0.07,±,0.03,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.01,±,0.01
1,HLT_DoubleMu23NoFiltersNoVtxDisplaced_v2,EXO,4.34,±,0.13,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.01,0.04,±,0.01,0.59,±,0.05,0.11,±,0.01,0.01,±,0.00,0.31,±,0.01,1.23,±,0.05,0.01,±,0.01,0.03,±,0.02,0.05,±,0.03,0.11,±,0.03,0.10,±,0.04,0.06,±,0.03,0.00,±,0.00,0.03,±,0.01,0.06,±,0.01,0.25,±,0.03,0.66,±,0.05,0.67,±,0.06
1,HLT_PFHT200_PFAlphaT0p51_v2,SUSY,4.31,±,0.14,0.00,±,0.00,0.00,±,0.00,0.03,±,0.03,0.15,±,0.04,1.46,±,0.08,2.30,±,0.10,0.12,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.02,0.00,±,0.00,0.03,±,0.02,0.12,±,0.04,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.06,±,0.02
1,HLT_Mu7p5_Track7_Upsilon_v2,BPH,4.14,±,0.36,0.00,±,0.00,0.47,±,0.33,0.03,±,0.03,0.40,±,0.06,1.03,±,0.06,1.60,±,0.08,0.10,±,0.01,0.01,±,0.00,0.00,±,0.00,0.16,±,0.02,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.06,±,0.03,0.14,±,0.04,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.03,±,0.01,0.11,±,0.02
1,HLT_DoubleMu28NoFiltersNoVtxDisplaced_v2,EXO,3.91,±,0.52,0.00,±,0.00,0.94,±,0.47,0.32,±,0.10,0.06,±,0.02,0.01,±,0.01,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.01,±,0.00,0.06,±,0.01,0.23,±,0.03,0.63,±,0.08,1.16,±,0.17,0.35,±,0.05,0.13,±,0.04,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00
1,HLT_Ele22_eta2p1_WPTight_Gsf_v3,"HIG,TAU",3.87,±,0.27,0.00,±,0.00,0.23,±,0.23,0.10,±,0.06,0.02,±,0.01,0.00,±,0.00,0.02,±,0.01,0.00,±,0.00,0.00,±,0.00,0.07,±,0.01,0.47,±,0.03,0.00,±,0.00,0.00,±,0.00,0.10,±,0.05,0.10,±,0.03,0.01,±,0.01,0.00,±,0.00,0.01,±,0.01,0.36,±,0.05,1.34,±,0.06,0.80,±,0.06,0.21,±,0.03,0.03,±,0.01
1,HLT_Ele30WP60_Ele8_Mass55_v2,HIG,3.80,±,0.37,0.00,±,0.00,0.47,±,0.33,0.19,±,0.08,0.54,±,0.07,0.65,±,0.05,0.95,±,0.06,0.09,±,0.01,0.01,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.05,±,0.03,0.12,±,0.03,0.22,±,0.06,0.37,±,0.07,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.04,±,0.01,0.06,±,0.02
200,HLT_Photon120_v3,"SMP,EXO",3.79,±,0.31,0.00,±,0.00,0.23,±,0.23,0.42,±,0.12,1.12,±,0.10,0.61,±,0.05,0.23,±,0.03,0.03,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.05,±,0.02,0.02,±,0.02,0.19,±,0.04,0.47,±,0.08,0.32,±,0.06,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.02,±,0.01,0.03,±,0.01,0.03,±,0.01
50,HLT_ZeroBias_IsolatedBunches_v1,TSG,3.75,±,0.14,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.03,±,0.02,0.02,±,0.02,0.07,±,0.02,0.04,±,0.02,0.01,±,0.01,0.23,±,0.06,1.02,±,0.08,1.43,±,0.07,0.69,±,0.05,0.15,±,0.02,0.03,±,0.01
1,HLT_Ele27_WPLoose_Gsf_v1,TOP,3.74,±,2.59,0.00,±,0.00,0.00,±,0.00,0.32,±,0.10,2.85,±,2.59,0.22,±,0.03,0.09,±,0.02,0.01,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.04,±,0.02,0.13,±,0.04,0.05,±,0.02,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.01,0.01,±,0.01
1,HLT_Ele23_Ele12_CaloIdL_TrackIdL_IsoVL_DZ_v3,"HIG,TOP,SMP,B2G",3.69,±,0.26,0.00,±,0.00,0.23,±,0.23,0.06,±,0.05,0.00,±,0.00,0.14,±,0.02,2.74,±,0.10,0.49,±,0.02,0.02,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00
1,HLT_DoubleJetsC112_DoubleBTagCSV0p9_DoublePFJetsC112MaxDeta1p6_v2,SUSY,3.60,±,0.16,0.00,±,0.00,0.00,±,0.00,0.10,±,0.06,0.76,±,0.08,1.03,±,0.06,0.98,±,0.06,0.03,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.01,0.21,±,0.05,0.35,±,0.07,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.04,±,0.01,0.07,±,0.02
0,HLT_OldIsoTkMu18_v2,"SMP,TOP",3.54,±,0.28,0.00,±,0.00,0.23,±,0.23,0.19,±,0.08,0.74,±,0.08,0.83,±,0.06,0.75,±,0.05,0.06,±,0.01,0.01,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.02,0.05,±,0.02,0.14,±,0.04,0.25,±,0.06,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.14,±,0.02,0.10,±,0.02
1,HLT_TrkMu17_DoubleTrkMu8NoFiltersNoVtx_v2,"EXO,SUSY",3.51,±,0.47,0.00,±,0.00,0.70,±,0.40,1.55,±,0.22,0.62,±,0.07,0.09,±,0.02,0.02,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.30,±,0.05,0.13,±,0.04,0.02,±,0.02,0.00,±,0.00,0.00,±,0.00,0.02,±,0.01,0.04,±,0.01,0.01,±,0.01,0.00,±,0.00
1,HLT_Mu3er_PFHT140_PFMET125_v1,SUSY,3.50,±,0.31,0.00,±,0.00,0.23,±,0.23,0.77,±,0.16,0.62,±,0.07,0.40,±,0.04,0.59,±,0.05,0.11,±,0.01,0.02,±,0.00,0.01,±,0.00,0.04,±,0.01,0.00,±,0.00,0.02,±,0.01,0.02,±,0.02,0.11,±,0.03,0.14,±,0.04,0.11,±,0.04,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.03,±,0.01,0.08,±,0.02,0.18,±,0.03
1,HLT_Mu300_v1,Hotline,3.49,±,0.43,0.00,±,0.00,0.70,±,0.40,0.36,±,0.11,0.17,±,0.04,0.22,±,0.03,0.65,±,0.05,0.21,±,0.02,0.04,±,0.00,0.01,±,0.00,0.70,±,0.04,0.00,±,0.00,0.00,±,0.00,0.10,±,0.05,0.05,±,0.02,0.06,±,0.03,0.05,±,0.02,0.03,±,0.02,0.00,±,0.00,0.01,±,0.00,0.01,±,0.01,0.04,±,0.01,0.09,±,0.02
1,HLT_Rsq0p02_MR300_TriPFJet80_60_40_DoublePFBTagCSV0p7_0p4_Mbb60_200_v1,SUSY,3.38,±,0.16,0.00,±,0.00,0.00,±,0.00,0.03,±,0.03,0.02,±,0.01,0.01,±,0.01,0.20,±,0.03,0.03,±,0.01,0.00,±,0.00,0.04,±,0.00,0.16,±,0.02,0.00,±,0.00,0.03,±,0.02,0.39,±,0.10,0.42,±,0.06,0.22,±,0.06,0.07,±,0.03,0.00,±,0.00,0.03,±,0.01,0.31,±,0.03,0.80,±,0.06,0.44,±,0.04,0.17,±,0.03
1,HLT_HT350_DisplacedDijet80_DisplacedTrack_v2,EXO,3.30,±,0.18,0.00,±,0.00,0.00,±,0.00,0.13,±,0.06,0.37,±,0.05,0.28,±,0.03,0.27,±,0.03,0.03,±,0.01,0.00,±,0.00,0.08,±,0.01,0.46,±,0.03,0.00,±,0.00,0.00,±,0.00,0.02,±,0.02,0.39,±,0.06,0.90,±,0.11,0.31,±,0.06,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.01,0.02,±,0.01,0.01,±,0.01
1,HLT_PFHT800_v2,SUSY,3.23,±,2.59,0.00,±,0.00,0.00,±,0.00,0.16,±,0.07,2.93,±,2.59,0.04,±,0.01,0.04,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.01,0.03,±,0.02,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00
1,HLT_IsoMu22_TriCentralPFJet50_40_30_v2,TOP,3.08,±,0.14,0.00,±,0.00,0.00,±,0.00,0.16,±,0.07,0.08,±,0.03,0.16,±,0.03,0.83,±,0.06,0.24,±,0.02,0.04,±,0.00,0.04,±,0.01,0.80,±,0.04,0.00,±,0.00,0.01,±,0.01,0.10,±,0.05,0.06,±,0.02,0.06,±,0.03,0.04,±,0.02,0.01,±,0.01,0.00,±,0.00,0.01,±,0.00,0.02,±,0.01,0.12,±,0.02,0.32,±,0.04
10000,HLT_L1_TripleJet_VBF_v4,HIG,3.08,±,0.14,0.00,±,0.00,0.00,±,0.00,0.16,±,0.07,0.08,±,0.03,0.16,±,0.03,0.83,±,0.06,0.24,±,0.02,0.04,±,0.00,0.04,±,0.01,0.80,±,0.04,0.00,±,0.00,0.01,±,0.01,0.10,±,0.05,0.06,±,0.02,0.06,±,0.03,0.04,±,0.02,0.01,±,0.01,0.00,±,0.00,0.01,±,0.00,0.02,±,0.01,0.12,±,0.02,0.32,±,0.04
1,HLT_DoubleJet90_Double30_TripleBTagCSV0p67_v3,HIG,3.01,±,0.36,0.00,±,0.00,0.47,±,0.33,0.10,±,0.06,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.02,±,0.01,0.01,±,0.01,0.00,±,0.00,0.57,±,0.09,0.72,±,0.06,0.68,±,0.05,0.30,±,0.04,0.11,±,0.02,0.03,±,0.01
1,HLT_Photon120_R9Id90_HE10_Iso40_EBOnly_VBF_v2,HIG,3.00,±,0.14,0.00,±,0.00,0.00,±,0.00,0.03,±,0.03,0.14,±,0.03,0.51,±,0.04,1.24,±,0.07,0.15,±,0.01,0.01,±,0.00,0.01,±,0.00,0.10,±,0.02,0.00,±,0.00,0.01,±,0.01,0.05,±,0.03,0.04,±,0.02,0.19,±,0.05,0.48,±,0.08,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.01
1,HLT_Mu15_IsoVVVL_PFHT350_PFMET50_v2,SUSY,2.81,±,0.14,0.00,±,0.00,0.00,±,0.00,0.03,±,0.03,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.04,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.02,0.01,±,0.01,0.03,±,0.02,0.00,±,0.00,0.70,±,0.10,0.99,±,0.08,0.67,±,0.05,0.20,±,0.03,0.10,±,0.02,0.01,±,0.01
36,HLT_Photon30_v3,"SMP,EXO",2.74,±,0.38,0.00,±,0.00,0.47,±,0.33,0.06,±,0.05,0.02,±,0.01,0.00,±,0.00,0.02,±,0.01,0.00,±,0.00,0.00,±,0.00,0.01,±,0.00,0.04,±,0.01,0.08,±,0.02,0.49,±,0.07,1.01,±,0.16,0.32,±,0.05,0.15,±,0.05,0.04,±,0.02,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00
5,HLT_DoubleMu4_3_Jpsi_Displaced_v2,BPH,2.71,±,0.26,0.00,±,0.00,0.23,±,0.23,0.03,±,0.03,0.00,±,0.00,0.02,±,0.01,1.30,±,0.07,0.23,±,0.02,0.03,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.02,0.00,±,0.00,0.03,±,0.02,0.14,±,0.04,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.08,±,0.02,0.59,±,0.05
4,HLT_BTagMu_DiJet70_Mu5_v2,BTV,2.71,±,0.12,0.00,±,0.00,0.00,±,0.00,0.10,±,0.06,0.08,±,0.03,0.13,±,0.02,0.80,±,0.06,0.24,±,0.02,0.04,±,0.00,0.04,±,0.00,0.69,±,0.04,0.00,±,0.00,0.01,±,0.01,0.02,±,0.02,0.05,±,0.02,0.04,±,0.02,0.04,±,0.02,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.10,±,0.02,0.31,±,0.04
1,HLT_L2Mu35_NoVertex_3Sta_NoBPTX3BX_NoHalo_v2,EXO,2.71,±,0.12,0.00,±,0.00,0.00,±,0.00,0.10,±,0.06,0.08,±,0.03,0.13,±,0.02,0.80,±,0.06,0.24,±,0.02,0.04,±,0.00,0.04,±,0.00,0.69,±,0.04,0.00,±,0.00,0.01,±,0.01,0.02,±,0.02,0.05,±,0.02,0.04,±,0.02,0.04,±,0.02,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.10,±,0.02,0.31,±,0.04
1,HLT_PFMET400_v1,Hotline,2.63,±,0.28,0.00,±,0.00,0.23,±,0.23,0.26,±,0.09,0.78,±,0.08,0.42,±,0.04,0.15,±,0.02,0.02,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.03,±,0.02,0.02,±,0.02,0.14,±,0.03,0.31,±,0.07,0.21,±,0.05,0.00,±,0.00,0.00,±,0.00,0.01,±,0.00,0.01,±,0.01,0.02,±,0.01,0.02,±,0.01
0,HLT_Mu16_TkMu0_dEta18_Phi_v2,BPH,2.62,±,0.06,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.24,±,0.03,1.54,±,0.04,0.82,±,0.01,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00
1,HLT_Mu6_PFHT200_PFMET80_BTagCSV0p72_v1,SUSY,2.48,±,0.09,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.08,±,0.02,1.90,±,0.09,0.42,±,0.02,0.04,±,0.00,0.00,±,0.00,0.01,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01
1,HLT_Ele23_CaloIdL_TrackIdL_IsoVL_PFJet30_v3,SUSY,2.43,±,0.26,0.00,±,0.00,0.23,±,0.23,0.06,±,0.05,0.01,±,0.01,0.00,±,0.00,0.02,±,0.01,0.00,±,0.00,0.00,±,0.00,0.06,±,0.01,0.43,±,0.03,0.00,±,0.00,0.00,±,0.00,0.07,±,0.04,0.09,±,0.03,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.07,±,0.02,0.64,±,0.04,0.56,±,0.05,0.15,±,0.02,0.02,±,0.01
1,HLT_Mu45_eta2p1_v2,"EXO,B2G",2.39,±,0.11,0.00,±,0.00,0.00,±,0.00,0.06,±,0.05,0.02,±,0.01,0.03,±,0.01,1.11,±,0.07,0.14,±,0.01,0.01,±,0.00,0.01,±,0.00,-0.02,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.06,±,0.03,0.12,±,0.04,0.01,±,0.01,0.01,±,0.01,0.01,±,0.00,0.01,±,0.01,0.21,±,0.03,0.60,±,0.05
1,HLT_MET90_IsoTrk50_v2,EXO,2.33,±,0.05,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,1.21,±,0.04,1.06,±,0.01,0.00,±,0.00,0.01,±,0.01,0.01,±,0.01,0.01,±,0.01,0.02,±,0.02,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00
1,HLT_HT450to470_v1,"EXO,PPD",2.32,±,0.24,0.00,±,0.00,0.23,±,0.23,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.14,±,0.02,1.62,±,0.05,0.31,±,0.01,0.00,±,0.00,0.01,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00
1,HLT_HT470to500_v1,"EXO,PPD",2.29,±,0.13,0.00,±,0.00,0.00,±,0.00,0.13,±,0.06,0.37,±,0.05,0.67,±,0.05,0.72,±,0.05,0.03,±,0.01,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.01,0.08,±,0.03,0.19,±,0.05,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.01,0.05,±,0.01
1,HLT_PFJet450_v4,"SMP,B2G,BTV",2.22,±,0.13,0.00,±,0.00,0.00,±,0.00,0.13,±,0.06,0.29,±,0.05,0.23,±,0.03,0.15,±,0.02,0.02,±,0.00,0.00,±,0.00,0.56,±,0.02,0.03,±,0.01,0.00,±,0.00,0.00,±,0.00,0.02,±,0.02,0.32,±,0.05,0.32,±,0.07,0.10,±,0.04,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.01,0.02,±,0.01
1,HLT_PFJet60_v4,"SMP,BTV",2.17,±,0.28,0.00,±,0.00,0.23,±,0.23,0.13,±,0.06,0.03,±,0.02,0.01,±,0.01,0.08,±,0.02,0.01,±,0.00,0.00,±,0.00,0.02,±,0.00,0.17,±,0.02,0.00,±,0.00,0.04,±,0.02,0.22,±,0.07,0.67,±,0.07,0.36,±,0.07,0.19,±,0.05,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00
0,HLT_PFMET110_PFMHT110_IDTight_v2,HIG,2.17,±,0.10,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.05,±,0.01,0.00,±,0.00,0.00,±,0.00,0.02,±,0.00,0.13,±,0.02,0.02,±,0.01,0.01,±,0.01,0.05,±,0.03,0.04,±,0.02,0.03,±,0.02,0.00,±,0.00,0.06,±,0.03,0.29,±,0.04,0.64,±,0.04,0.57,±,0.05,0.19,±,0.03,0.05,±,0.02
1,HLT_PFHT400_SixJet30_BTagCSV0p55_2PFBTagCSV0p72_v3,HIG,2.12,±,0.13,0.00,±,0.00,0.00,±,0.00,0.19,±,0.08,0.34,±,0.05,0.39,±,0.04,0.66,±,0.05,0.17,±,0.01,0.03,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.01,±,0.01,0.07,±,0.03,0.11,±,0.04,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.03,±,0.01,0.09,±,0.02
1,HLT_MonoCentralPFJet80_PFMETNoMu120_JetIdCleaned_PFMHTNoMu120_IDTight_v2,EXO,2.07,±,0.10,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.24,±,0.04,0.66,±,0.05,0.66,±,0.05,0.12,±,0.01,0.01,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.02,0.00,±,0.00,0.03,±,0.02,0.11,±,0.04,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.05,±,0.01,0.16,±,0.03
0,HLT_VBF_DisplacedJet40_TightID_DisplacedTrack_v2,EXO,2.06,±,0.11,0.00,±,0.00,0.00,±,0.00,0.03,±,0.03,0.01,±,0.01,0.00,±,0.00,0.10,±,0.02,0.02,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.07,±,0.04,0.03,±,0.02,0.04,±,0.02,0.01,±,0.01,0.03,±,0.02,0.20,±,0.03,0.56,±,0.04,0.62,±,0.05,0.24,±,0.03,0.09,±,0.02
0,HLT_PFMETNoMu90_PFMHTNoMu90_IDTight_v1,EXO,2.02,±,0.16,0.00,±,0.00,0.00,±,0.00,0.26,±,0.09,0.19,±,0.04,0.11,±,0.02,0.18,±,0.03,0.02,±,0.01,0.00,±,0.00,0.03,±,0.00,0.16,±,0.02,0.00,±,0.00,0.00,±,0.00,0.07,±,0.04,0.33,±,0.05,0.49,±,0.08,0.14,±,0.04,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.02,±,0.01,0.01,±,0.01
0,HLT_Dimuon8_Upsilon_Barrel_v2,BPH,2.01,±,0.10,0.00,±,0.00,0.00,±,0.00,0.06,±,0.05,0.14,±,0.03,0.28,±,0.03,0.91,±,0.06,0.30,±,0.02,0.05,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.06,±,0.03,0.11,±,0.04,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.01,±,0.01,0.02,±,0.01,0.05,±,0.02
1,HLT_IsoTrackHE_v1,HCAL,1.99,±,0.11,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.04,±,0.01,0.01,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.05,±,0.03,0.05,±,0.02,0.03,±,0.02,0.01,±,0.01,0.19,±,0.05,0.46,±,0.05,0.60,±,0.04,0.35,±,0.04,0.15,±,0.02,0.06,±,0.02
1,HLT_RsqMR270_Rsq0p09_MR200_4jet_v2,SUSY,1.97,±,0.26,0.00,±,0.00,0.23,±,0.23,0.10,±,0.06,0.39,±,0.06,0.44,±,0.04,0.39,±,0.04,0.04,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.02,0.02,±,0.01,0.10,±,0.04,0.12,±,0.04,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.05,±,0.01,0.04,±,0.01
0,HLT_HIL1DoubleMu0BPTX_v1,HIN,1.96,±,0.04,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.05,±,0.01,1.14,±,0.04,0.75,±,0.01,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00
350,HLT_PFHT400_SixJet30_v3,HIG,1.91,±,0.07,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.23,±,0.03,0.05,±,0.01,0.01,±,0.00,0.93,±,0.02,0.04,±,0.01,0.00,±,0.00,0.00,±,0.00,0.02,±,0.02,0.03,±,0.02,0.01,±,0.01,0.02,±,0.02,0.00,±,0.00,0.00,±,0.00,0.02,±,0.01,0.11,±,0.02,0.24,±,0.03,0.19,±,0.03
