Prescale,Path,Group,Total,,,QCDPt15to30,,,,\QCDPt30to50,,,\QCDPt50to80,,,\QCDPt80to120,,,\QCDPt120to170,,,\QCDPt170to300,,,\QCDPt300to470,,,\QCDPt470to600,,,\DYToLLM1,,,\WJetsToLNu,,,\QCDPt15to20EMEnriched,,,\QCDPt20to30EMEnriched,,,\QCDPt30to50EMEnriched,,,\QCDPt50to80EMEnriched,,,\QCDPt80to120EMEnriched,,,\QCDPt120to170EMEnriched,,,\QCDPt15to20MuEnrichedPt5,,,\QCDPt20to30MuEnrichedPt5,,,\QCDPt30to50MuEnrichedPt5,,,\QCDPt50to80MuEnrichedPt5,,,\QCDPt80to120MuEnrichedPt5,,,\QCDPt120to170MuEnrichedPt5,
100,HLT_L2Mu10_NoVertex_NoBPTX_v2,EXO,12.59,±,0.64,0.00,±,0.00,1.17,±,0.52,0.90,±,0.17,0.54,±,0.07,0.21,±,0.03,0.19,±,0.03,0.02,±,0.01,0.00,±,0.00,1.10,±,0.03,1.72,±,0.06,0.00,±,0.00,0.25,±,0.05,1.88,±,0.21,2.96,±,0.16,1.25,±,0.13,0.30,±,0.06,0.00,±,0.00,0.01,±,0.01,0.02,±,0.01,0.02,±,0.01,0.02,±,0.01,0.01,±,0.01
1,HLT_BTagMu_DiJet40_Mu5_v2,BTV,12.08,±,0.50,0.00,±,0.00,0.70,±,0.40,0.06,±,0.05,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.02,±,0.01,0.05,±,0.03,0.08,±,0.03,0.04,±,0.02,0.00,±,0.00,3.19,±,0.21,4.36,±,0.16,2.60,±,0.09,0.80,±,0.06,0.14,±,0.02,0.02,±,0.01
1,HLT_DiPFJet40_DEta3p5_MJJ600_PFMETNoMu140_v1,HIG,11.72,±,2.62,0.00,±,0.00,0.23,±,0.23,0.68,±,0.15,4.99,±,2.60,2.45,±,0.10,1.70,±,0.08,0.03,±,0.01,0.00,±,0.00,0.00,±,0.00,0.03,±,0.01,0.00,±,0.00,0.00,±,0.00,0.02,±,0.02,0.13,±,0.03,0.54,±,0.09,0.60,±,0.09,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.01,0.13,±,0.02,0.15,±,0.03
0,HLT_PixelTracks_Multiplicity135ForEndOfFill_v1,HIN,11.16,±,0.50,0.00,±,0.00,0.70,±,0.40,0.71,±,0.15,2.55,±,0.14,2.50,±,0.10,2.06,±,0.09,0.17,±,0.01,0.02,±,0.00,0.00,±,0.00,0.01,±,0.00,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.17,±,0.04,0.54,±,0.09,0.58,±,0.09,0.01,±,0.01,0.00,±,0.00,0.01,±,0.00,0.07,±,0.02,0.49,±,0.04,0.56,±,0.05
3,HLT_Photon22_R9Id90_HE10_Iso40_EBOnly_VBF_v2,HIG,10.84,±,0.36,0.00,±,0.00,0.23,±,0.23,0.03,±,0.03,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.02,±,0.01,0.02,±,0.02,0.10,±,0.03,0.03,±,0.02,0.01,±,0.01,2.91,±,0.20,4.07,±,0.15,2.41,±,0.09,0.79,±,0.06,0.15,±,0.02,0.04,±,0.01
1,HLT_IsoMu17_eta2p1_v3,"TAU,HIG",10.08,±,0.41,0.00,±,0.00,0.47,±,0.33,0.13,±,0.06,1.91,±,0.12,2.08,±,0.09,2.75,±,0.10,0.41,±,0.02,0.06,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.07,±,0.02,0.51,±,0.08,0.68,±,0.09,0.00,±,0.00,0.01,±,0.01,0.01,±,0.00,0.03,±,0.01,0.41,±,0.04,0.55,±,0.05
1,HLT_PFMETNoMu120_JetIdCleaned_PFMHTNoMu120_IDTight_v2,EXO,9.86,±,0.48,0.00,±,0.00,0.70,±,0.40,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.02,±,0.01,0.05,±,0.03,0.07,±,0.02,0.03,±,0.02,0.00,±,0.00,2.50,±,0.19,3.46,±,0.14,2.17,±,0.08,0.70,±,0.05,0.13,±,0.02,0.02,±,0.01
1,HLT_DoubleMu4_LowMassNonResonantTrk_Displaced_v2,BPH,9.33,±,0.14,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.02,±,0.01,3.08,±,0.11,5.43,±,0.08,0.75,±,0.01,0.00,±,0.00,0.03,±,0.01,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00
1,HLT_Ele23_WPLoose_Gsf_CentralPFJet30_BTagCSV07_v2,TOP,8.80,±,0.24,0.00,±,0.00,0.00,±,0.00,0.45,±,0.12,0.15,±,0.04,0.09,±,0.02,0.27,±,0.03,0.02,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.14,±,0.06,0.54,±,0.07,0.40,±,0.07,0.14,±,0.04,0.01,±,0.01,0.03,±,0.01,0.77,±,0.05,3.23,±,0.12,1.98,±,0.09,0.55,±,0.05
60,HLT_PFHT450_SixJet40_v3,HIG,8.37,±,2.63,0.00,±,0.00,0.47,±,0.33,1.52,±,0.22,4.50,±,2.59,0.49,±,0.04,0.14,±,0.02,0.01,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.05,±,0.03,0.38,±,0.06,0.60,±,0.09,0.10,±,0.04,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.04,±,0.01,0.05,±,0.01,0.01,±,0.01
