Path,L1Path,L1Prescale(2e33),Steam L1path,Steam L1Prescale,WBM hltPrescale(2e33),Steam hltPrescale,,Data Rate (Hz),,,Steam Rate (Hz),,,Steam Rate hltPrescaled(Hz),,,Bias(data-steam)
HLT_Ele27_WPLoose_Gsf,L1_SingleIsoEG20 OR L1_SingleIsoEG20er,1 | 4,L1_SingleIsoEG20er OR L1_SingleEG20 OR L1_SingleEG25, 4|1|1,1,1,59.67,+/-,0.12,59.00,+/-,0.88,59.00,+/-,0.88,1.12%,+/-,1.47%
HLT_IsoMu20,L1_SingleMu16,1,L1_SingleMu16, 1,1,1,31.22,+/-,0.08,37.78,+/-,0.70,37.78,+/-,0.70,17.36%,+/-,1.55%
HLT_IsoMu22,L1_SingleMu20,1,L1_SingleMu20, 1,1,1,26.12,+/-,0.08,31.15,+/-,0.64,31.15,+/-,0.64,16.14%,+/-,1.73%
HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ,L1_DoubleMu_10_3p5,1,L1_DoubleMu_10_3p5 OR L1_DoubleMu_12_5, 1|1,1,1,3.32,+/-,0.03,3.53,+/-,0.21,3.53,+/-,0.21,5.96%,+/-,5.76%
HLT_PFHT800,L1_HTT125 OR L1_HTT100,1 | 1,L1_HTT100 OR L1_HTT125 OR L1_HTT150 OR L1_HTT175, 1|1|1|1,1,1,6.15,+/-,0.04,6.08,+/-,0.28,6.08,+/-,0.28,1.08%,+/-,4.57%
HLT_Ele15_IsoVVVL_PFHT350,L1_SingleEG5,262139,L1_HTT100 OR L1_HTT125 OR L1_HTT150 OR L1_HTT175, 1|1|1|1,1,1,5.38,+/-,0.03,5.50,+/-,0.27,5.50,+/-,0.27,2.14%,+/-,4.81%
HLT_Photon90_R9Id90_HE10_IsoM,L1_SingleEG25 OR L1_SingleEG40,1 | 1,L1_SingleEg25 OR L1_SingleEG40, -1||1,2,2,2.14,+/-,0.02,4.34,+/-,0.24,2.17,+/-,0.12,1.34%,+/-,5.50%
HLT_Photon36_R9Id90_HE10_Iso40_EBOnly_VBF,L1_SingleEG30,1,L1_SingleEG30, 1,1,1,3.75,+/-,0.03,3.62,+/-,0.22,3.62,+/-,0.22,3.42%,+/-,5.65%
HLT_DiPFJetAve320,L1_SingleJet128 OR L1_SingleJet176,1 | 1,L1_SingleJet128 OR L1_SingleJet176, 1|1,4,4,1.86,+/-,0.02,7.27,+/-,0.31,1.82,+/-,0.08,2.30%,+/-,4.19%
